period,cost,all_factor_rows,decision_origins,combined_target_max_error,saved_parent_close_targets_checked,parent_fee_dates_and_next_open_aligned,independent_mature_cycles_monthly_efficiency_and_unknown_equal
evaluation,BASE,3456,1604,3.3306690738754696e-16,3208,True,True
evaluation,STRESS,3456,1604,3.3306690738754696e-16,3208,True,True
earlier_diagnostic,BASE,1852,1219,2.7755575615628914e-16,2438,True,True
earlier_diagnostic,STRESS,1852,1219,2.7755575615628914e-16,2438,True,True
