period,model,cost,decision_origins,positive_target_origins,zero_target_origins,unknown_target_origins,month_first_attempts,positive_efficiency_updates,nonpositive_cash_updates,mean_reference_budget,mean_runs_budget,cash_budget_origins,mean_target
evaluation,RUNS_CLOSED_CYCLE_BUDGET,BASE,1604,445,1159,0,80,27,0,0.5110392823585462,0.4889607176414537,0,0.06301485527821998
evaluation,RUNS_CLOSED_CYCLE_BUDGET,STRESS,1604,445,1159,0,80,27,0,0.5110392823585462,0.4889607176414537,0,0.06301485527821998
earlier_diagnostic,RUNS_CLOSED_CYCLE_BUDGET,BASE,1219,449,770,0,60,23,0,0.46011231868983793,0.5398876813101621,0,0.11084641351786276
earlier_diagnostic,RUNS_CLOSED_CYCLE_BUDGET,STRESS,1219,455,764,0,60,23,0,0.46011231868983793,0.5398876813101621,0,0.11251865465632876
