period,cost,cycles,losing_cycles,net_profit,largest_three_vs_net_profit
evaluation,BASE,24,10,81755.33822000031,0.9679520379091359
evaluation,STRESS,24,10,72490.56351999994,1.0623383141276486
earlier_diagnostic,BASE,13,7,8530.143060000048,3.954687170275877
earlier_diagnostic,STRESS,13,7,4436.48320000003,7.350716342169357
