period,cost,holding_closes,buy_trades,sell_trades,unfilled_requests,learned_exit_cycles,prediction_available_closes,mean_exposure
evaluation,BASE,234,24,24,0,23,234,0.14559864102481232
evaluation,STRESS,234,24,24,0,23,234,0.14556155737620935
earlier_diagnostic,BASE,58,13,13,0,12,58,0.04741455815011683
earlier_diagnostic,STRESS,58,13,13,0,12,58,0.04742202163242516
