cycle,origin,mature_date,target
1,2006-04-27,2006-06-15,0.12253899353525366
1,2006-04-28,2006-06-15,0.08828558615304938
1,2006-05-08,2006-06-15,0.046811789792997605
1,2006-05-09,2006-06-15,0.0204589247557998
1,2006-05-10,2006-06-15,0.013022216365127015
1,2006-05-11,2006-06-15,0.022694573282750596
1,2006-05-12,2006-06-15,-0.021656275221261123
1,2006-05-15,2006-06-15,-0.06169936570540602
1,2006-05-16,2006-06-15,-0.03601825054855268
1,2006-05-17,2006-06-15,-0.029434046143656856
1,2006-05-18,2006-06-15,-0.03774017685741893
1,2006-05-19,2006-06-15,-0.06045087666396354
1,2006-05-22,2006-06-15,-0.05961394769613937
1,2006-05-23,2006-06-15,-0.03165311767594514
1,2006-05-24,2006-06-15,-0.016075787827806498
1,2006-05-25,2006-06-15,-0.02173008513712482
1,2006-05-26,2006-06-15,-0.04192489566354396
1,2006-05-29,2006-06-15,-0.06658702332149102
1,2006-05-30,2006-06-15,-0.06804462451967375
1,2006-05-31,2006-06-15,-0.05897837378993076
1,2006-06-01,2006-06-15,-0.08736990950628354
1,2006-06-02,2006-06-15,-0.07742940693271316
1,2006-06-05,2006-06-15,-0.08323126946503778
1,2006-06-06,2006-06-15,-0.08186547693293589
1,2006-06-07,2006-06-15,-0.01936412873261162
1,2006-06-08,2006-06-15,-0.02808270360755083
1,2006-06-09,2006-06-15,-8.256564163244828e-05
1,2006-06-12,2006-06-15,-0.009786270988762724
1,2006-06-13,2006-06-15,-0.006169436939203687
2,2006-06-20,2006-08-01,-0.03301287661518715
2,2006-06-21,2006-08-01,-0.029443827960412117
2,2006-06-22,2006-08-01,-0.02738457278802442
2,2006-06-23,2006-08-01,-0.03644877158695259
2,2006-06-26,2006-08-01,-0.05299027210131835
2,2006-06-27,2006-08-01,-0.05072947997932131
2,2006-06-28,2006-08-01,-0.05313524536129588
2,2006-06-29,2006-08-01,-0.07834478234985864
2,2006-06-30,2006-08-01,-0.07580200981457552
2,2006-07-03,2006-08-01,-0.09161057932172367
2,2006-07-04,2006-08-01,-0.08312072975336571
2,2006-07-05,2006-08-01,-0.07108817091801167
2,2006-07-06,2006-08-01,-0.09201892509612153
2,2006-07-07,2006-08-01,-0.08350750374336402
2,2006-07-10,2006-08-01,-0.08586656446056107
2,2006-07-11,2006-08-01,-0.08904686369200177
2,2006-07-12,2006-08-01,-0.08698931755981276
2,2006-07-13,2006-08-01,-0.03076604713201858
2,2006-07-14,2006-08-01,-0.04536320918784431
2,2006-07-17,2006-08-01,-0.057033502176678574
2,2006-07-18,2006-08-01,-0.05661441727171024
2,2006-07-19,2006-08-01,-0.03197739723770643
2,2006-07-20,2006-08-01,-0.03859286137672069
2,2006-07-21,2006-08-01,-0.035492610120728574
2,2006-07-24,2006-08-01,-0.04900527689151146
2,2006-07-25,2006-08-01,-0.06174770501036453
2,2006-07-26,2006-08-01,-0.056932377845980486
2,2006-07-27,2006-08-01,-0.045914183799917185
2,2006-07-28,2006-08-01,-0.033877936293336686
3,2006-09-01,2006-12-01,0.30673318603610067
3,2006-09-04,2006-12-01,0.2834359766794319
3,2006-09-05,2006-12-01,0.28170132316686325
3,2006-09-06,2006-12-01,0.2752641721320839
3,2006-09-07,2006-12-01,0.29507101400695257
3,2006-09-08,2006-12-01,0.29085585145920456
3,2006-09-11,2006-12-01,0.2841789194175446
3,2006-09-12,2006-12-01,0.2746259959417252
3,2006-09-13,2006-12-01,0.2846250980685172
3,2006-09-14,2006-12-01,0.28456846898070753
3,2006-09-15,2006-12-01,0.2571083870448838
3,2006-09-18,2006-12-01,0.2479190195947496
3,2006-09-19,2006-12-01,0.24936815011503377
3,2006-09-20,2006-12-01,0.24724909609011836
3,2006-09-21,2006-12-01,0.23700900877565978
3,2006-09-22,2006-12-01,0.25238052225802887
3,2006-09-25,2006-12-01,0.2541638217289053
3,2006-09-26,2006-12-01,0.2667130831997937
3,2006-09-27,2006-12-01,0.2529956986708295
3,2006-09-28,2006-12-01,0.2377143062829581
3,2006-09-29,2006-12-01,0.2104505752758803
3,2006-10-09,2006-12-01,0.1958622483722139
3,2006-10-10,2006-12-01,0.19670128581083768
3,2006-10-11,2006-12-01,0.1971037419631554
3,2006-10-12,2006-12-01,0.20710299297690593
3,2006-10-13,2006-12-01,0.20035662770385665
3,2006-10-16,2006-12-01,0.21336618325712498
3,2006-10-17,2006-12-01,0.2159775826681547
3,2006-10-18,2006-12-01,0.19490395748803535
3,2006-10-19,2006-12-01,0.19338945544705655
3,2006-10-20,2006-12-01,0.19432457590619223
3,2006-10-23,2006-12-01,0.22057706424493362
3,2006-10-24,2006-12-01,0.19137167834978408
3,2006-10-25,2006-12-01,0.1880949880034939
3,2006-10-26,2006-12-01,0.1808406445701789
3,2006-10-27,2006-12-01,0.19671877827739337
3,2006-10-30,2006-12-01,0.18812208243639672
3,2006-10-31,2006-12-01,0.17303452967147392
3,2006-11-01,2006-12-01,0.16124199706730802
3,2006-11-02,2006-12-01,0.1604339145588971
3,2006-11-03,2006-12-01,0.1636871886506388
3,2006-11-06,2006-12-01,0.13660075800797156
3,2006-11-07,2006-12-01,0.1368164500298208
3,2006-11-08,2006-12-01,0.15248481533394886
3,2006-11-09,2006-12-01,0.12722835828919776
3,2006-11-10,2006-12-01,0.14766658834335522
3,2006-11-13,2006-12-01,0.16526065017672642
3,2006-11-14,2006-12-01,0.15070068281269022
3,2006-11-15,2006-12-01,0.11622728140350502
3,2006-11-16,2006-12-01,0.12517678256709552
3,2006-11-17,2006-12-01,0.09693723904898977
3,2006-11-20,2006-12-01,0.08030814278622911
3,2006-11-21,2006-12-01,0.06784203462130667
3,2006-11-22,2006-12-01,0.05885519247847837
3,2006-11-23,2006-12-01,0.05484037612261905
3,2006-11-24,2006-12-01,0.05305394451627676
3,2006-11-27,2006-12-01,0.042188156376899544
3,2006-11-28,2006-12-01,0.06279818753902178
3,2006-11-29,2006-12-01,0.028482381338366336
4,2006-12-06,2007-02-05,0.2866583811722003
4,2006-12-07,2007-02-05,0.30237777781581276
4,2006-12-08,2007-02-05,0.3381530454988566
4,2006-12-11,2007-02-05,0.2692886818974414
4,2006-12-12,2007-02-05,0.26439551041749754
4,2006-12-13,2007-02-05,0.2632375230966659
4,2006-12-14,2007-02-05,0.23869502296130563
4,2006-12-15,2007-02-05,0.21747408673576873
4,2006-12-18,2007-02-05,0.18597838008020573
4,2006-12-19,2007-02-05,0.19335314265640102
4,2006-12-20,2007-02-05,0.17924830456290564
4,2006-12-21,2007-02-05,0.2036878849236481
4,2006-12-22,2007-02-05,0.20220516015481205
4,2006-12-25,2007-02-05,0.17559783602285517
4,2006-12-26,2007-02-05,0.17643572602107183
4,2006-12-27,2007-02-05,0.14826540631463736
4,2006-12-28,2007-02-05,0.14604021535477107
4,2006-12-29,2007-02-05,0.10105872422525031
4,2007-01-04,2007-02-05,0.11292093418722748
4,2007-01-05,2007-02-05,0.10172031438148066
4,2007-01-08,2007-02-05,0.06797006762620539
4,2007-01-09,2007-02-05,0.03257391020360889
4,2007-01-10,2007-02-05,0.01141333002512157
4,2007-01-11,2007-02-05,0.030196415927186804
4,2007-01-12,2007-02-05,0.05151079507845191
4,2007-01-15,2007-02-05,-0.012199676065778764
4,2007-01-16,2007-02-05,-0.03289259069398953
4,2007-01-17,2007-02-05,-0.004102220905664589
4,2007-01-18,2007-02-05,-0.016417529093578187
