source_cycle_id,entry_index,entry_date,entry_origin,entry_price,peak_price,exit_origin,exit_reasons,exit_index,mature_date,exit_price,status
1,255,2006-04-27,2006-04-26,1157.379,1403.163,2006-06-14,价格从周期高点回落百分之八,285.0,2006-06-15,1283.721,NATURALLY_CLOSED
2,288,2006-06-20,2006-06-19,1333.619,1420.328,2006-07-31,价格从周期高点回落百分之八,318.0,2006-08-01,1292.709,NATURALLY_CLOSED
3,341,2006-09-01,2006-08-31,1339.309,1714.358,2006-11-30,达到六十个持仓收盘,401.0,2006-12-01,1719.278,NATURALLY_CLOSED
4,404,2006-12-06,2006-12-05,1794.256,2576.917,2007-02-02,价格从周期高点回落百分之八,444.0,2007-02-05,2282.77,NATURALLY_CLOSED
5,447,2007-02-08,2007-02-07,2376.629,2707.676,2007-02-27,价格从周期高点回落百分之八,456.0,2007-02-28,2413.422,NATURALLY_CLOSED
6,459,2007-03-05,2007-03-02,2503.816,4168.289,2007-06-01,价格从周期高点回落百分之八；达到六十个持仓收盘,519.0,2007-06-04,3804.958,NATURALLY_CLOSED
7,522,2007-06-07,2007-06-06,3694.55,4253.0,2007-06-25,价格从周期高点回落百分之八,535.0,2007-06-26,3804.413,NATURALLY_CLOSED
8,538,2007-06-29,2007-06-28,3769.331,3832.227,2007-07-05,价格较进入开盘下跌百分之六,543.0,2007-07-06,3517.599,NATURALLY_CLOSED
9,546,2007-07-11,2007-07-10,3751.489,5675.927,2007-10-09,达到六十个持仓收盘,606.0,2007-10-10,5694.986,NATURALLY_CLOSED
10,609,2007-10-15,2007-10-12,5761.869,5877.202,2007-10-25,价格较进入开盘下跌百分之六；价格从周期高点回落百分之八,618.0,2007-10-26,5279.1,NATURALLY_CLOSED
11,801,2008-07-24,2008-07-23,2905.043,2977.362,2008-08-05,价格较进入开盘下跌百分之六；价格从周期高点回落百分之八,810.0,2008-08-06,2723.523,NATURALLY_CLOSED
12,875,2008-11-13,2008-11-12,1777.031,2096.393,2008-12-23,价格从周期高点回落百分之八,904.0,2008-12-24,1893.225,NATURALLY_CLOSED
13,907,2008-12-29,2008-12-26,1852.413,2462.245,2009-02-26,价格从周期高点回落百分之八,944.0,2009-02-27,2164.54,NATURALLY_CLOSED
14,947,2009-03-04,2009-03-03,2150.239,2858.342,2009-06-01,达到六十个持仓收盘,1007.0,2009-06-02,2878.528,NATURALLY_CLOSED
15,1010,2009-06-05,2009-06-04,2966.065,3787.033,2009-08-12,价格从周期高点回落百分之八,1059.0,2009-08-13,3398.889,NATURALLY_CLOSED
16,1125,2009-11-23,2009-11-20,3636.529,3665.509,2009-11-27,价格较进入开盘下跌百分之六,1130.0,2009-11-30,3415.077,NATURALLY_CLOSED
17,1285,2010-07-20,2010-07-19,2685.459,3396.879,2010-10-21,达到六十个持仓收盘,1345.0,2010-10-22,3365.597,NATURALLY_CLOSED
18,1348,2010-10-27,2010-10-26,3451.427,3548.566,2010-11-16,价格较进入开盘下跌百分之六；价格从周期高点回落百分之八,1363.0,2010-11-17,3124.109,NATURALLY_CLOSED
19,1436,2011-03-08,2011-03-07,3335.71,3372.031,2011-05-04,价格较进入开盘下跌百分之六,1475.0,2011-05-05,3115.003,NATURALLY_CLOSED
20,1478,2011-05-10,2011-05-09,3135.146,3153.221,2011-05-27,原日内强弱退出,1492.0,2011-05-30,2956.575,NATURALLY_CLOSED
21,1535,2011-07-29,2011-07-28,2981.021,2981.021,2011-08-08,价格较进入开盘下跌百分之六,1542.0,2011-08-09,2720.953,NATURALLY_CLOSED
22,1545,2011-08-12,2011-08-11,2881.554,2917.883,2011-09-19,价格较进入开盘下跌百分之六；价格从周期高点回落百分之八,1571.0,2011-09-20,2675.043,NATURALLY_CLOSED
23,1574,2011-09-23,2011-09-22,2644.294,2763.746,2011-11-16,原日内强弱退出,1608.0,2011-11-17,2671.953,NATURALLY_CLOSED
24,1679,2012-03-06,2012-03-05,2654.799,2681.073,2012-03-28,价格较进入开盘下跌百分之六,1696.0,2012-03-29,2463.688,NATURALLY_CLOSED
25,1702,2012-04-11,2012-04-10,2494.517,2717.778,,,,,,NO_VIEW_UNCLOSED_AT_SOURCE_CUTOFF
