fit_index,fit_origin,cycles,rows,index_cycles,etf_cycles,eligible
632,2014-12-31,20,588,19,1,True
633,2015-01-05,20,588,19,1,True
653,2015-02-02,20,581,18,2,True
668,2015-03-02,20,575,17,3,True
690,2015-04-01,20,575,17,3,True
711,2015-05-04,20,575,17,3,True
731,2015-06-01,20,630,16,4,True
752,2015-07-01,20,596,15,5,True
775,2015-08-03,20,596,15,5,True
796,2015-09-01,20,596,15,5,True
816,2015-10-08,20,596,15,5,True
833,2015-11-02,20,596,15,5,True
854,2015-12-01,20,596,15,5,True
877,2016-01-04,20,647,14,6,True
897,2016-02-01,20,640,13,7,True
913,2016-03-01,20,640,13,7,True
936,2016-04-01,20,640,13,7,True
956,2016-05-03,20,640,13,7,True
977,2016-06-01,20,640,13,7,True
997,2016-07-01,20,640,13,7,True
1018,2016-08-01,20,671,12,8,True
1041,2016-09-01,20,671,12,8,True
1061,2016-10-10,20,671,12,8,True
1077,2016-11-01,20,671,12,8,True
1099,2016-12-01,20,694,11,9,True
1121,2017-01-03,20,694,11,9,True
1139,2017-02-03,20,694,11,9,True
1157,2017-03-01,20,694,10,10,True
1180,2017-04-05,20,694,10,10,True
1198,2017-05-02,20,694,10,10,True
1218,2017-06-01,20,705,9,11,True
1240,2017-07-03,20,705,9,11,True
1261,2017-08-01,20,705,9,11,True
1284,2017-09-01,20,760,8,12,True
1305,2017-10-09,20,760,8,12,True
1322,2017-11-01,20,760,8,12,True
1344,2017-12-01,20,760,7,13,True
1365,2018-01-02,20,760,7,13,True
1387,2018-02-01,20,760,7,13,True
1402,2018-03-01,20,802,6,14,True
1424,2018-04-02,20,802,6,14,True
1442,2018-05-02,20,802,6,14,True
1464,2018-06-01,20,802,6,14,True
1484,2018-07-02,20,802,6,14,True
1506,2018-08-01,20,802,6,14,True
1529,2018-09-03,20,802,6,14,True
1548,2018-10-08,20,802,6,14,True
1566,2018-11-01,20,771,5,15,True
1588,2018-12-03,20,771,5,15,True
1608,2019-01-02,20,771,5,15,True
1630,2019-02-01,20,771,5,15,True
1645,2019-03-01,20,771,5,15,True
1666,2019-04-01,20,771,5,15,True
1687,2019-05-06,20,771,5,15,True
1707,2019-06-03,20,801,4,16,True
1726,2019-07-01,20,801,4,16,True
1749,2019-08-01,20,833,3,17,True
1771,2019-09-02,20,833,3,17,True
1791,2019-10-08,20,833,3,17,True
1809,2019-11-01,20,833,3,17,True
1830,2019-12-02,20,833,3,17,True
1852,2020-01-02,20,833,3,17,True
1868,2020-02-03,20,833,3,17,True
1888,2020-03-02,20,833,3,17,True
1910,2020-04-01,20,836,2,18,True
1931,2020-05-06,20,836,2,18,True
1949,2020-06-01,20,845,1,19,True
1969,2020-07-01,20,845,1,19,True
1992,2020-08-03,20,845,1,19,True
2013,2020-09-01,20,845,1,19,True
2035,2020-10-09,20,888,0,20,True
2051,2020-11-02,20,888,0,20,True
2072,2020-12-01,20,888,0,20,True
2095,2021-01-04,20,888,0,20,True
2115,2021-02-01,20,888,0,20,True
2130,2021-03-01,20,862,0,20,True
2153,2021-04-01,20,862,0,20,True
2174,2021-05-06,20,862,0,20,True
2192,2021-06-01,20,862,0,20,True
2213,2021-07-01,20,862,0,20,True
2235,2021-08-02,20,844,0,20,True
2257,2021-09-01,20,844,0,20,True
2277,2021-10-08,20,844,0,20,True
2293,2021-11-01,20,844,0,20,True
2315,2021-12-01,20,844,0,20,True
2338,2022-01-04,20,844,0,20,True
2357,2022-02-07,20,892,0,20,True
2373,2022-03-01,20,892,0,20,True
2396,2022-04-01,20,892,0,20,True
2415,2022-05-05,20,892,0,20,True
2434,2022-06-01,20,892,0,20,True
2455,2022-07-01,20,892,0,20,True
