period,model,parent,cost,decision_origins,positive_target_origins,zero_target_origins,unknown_target_origins,first_zero_origins,mean_target
evaluation,CONFIRMED_RISK_DAILY_30_10,RISK_DAILY_30_10,BASE,1604,436,1168,0,29,0.20090682251405428
evaluation,CONFIRMED_RISK_DAILY_30_12,RISK_DAILY_30_12,BASE,1604,436,1168,0,29,0.20920787458325332
evaluation,CONFIRMED_RISK_DAILY_30_15,RISK_DAILY_30_15,BASE,1604,436,1168,0,29,0.2176646682106492
evaluation,CONFIRMED_RISK_DAILY_120_10,RISK_DAILY_120_10,BASE,1604,436,1168,0,29,0.1786206679548139
evaluation,CONFIRMED_RISK_DAILY_120_12,RISK_DAILY_120_12,BASE,1604,436,1168,0,29,0.1900116393257608
evaluation,CONFIRMED_RISK_DAILY_120_15,RISK_DAILY_120_15,BASE,1604,436,1168,0,29,0.20243242324804475
evaluation,CONFIRMED_RISK_EPISODE_30_10,RISK_EPISODE_30_10,BASE,1604,436,1168,0,29,0.15823686785024804
evaluation,CONFIRMED_RISK_EPISODE_30_12,RISK_EPISODE_30_12,BASE,1604,436,1168,0,29,0.16155258751488005
evaluation,CONFIRMED_RISK_EPISODE_30_15,RISK_EPISODE_30_15,BASE,1604,436,1168,0,29,0.1641750216955268
evaluation,CONFIRMED_RISK_EPISODE_60_12,RISK_EPISODE_60_12,BASE,1604,436,1168,0,29,0.17145330618589158
evaluation,CONFIRMED_RISK_EPISODE_60_15,RISK_EPISODE_60_15,BASE,1604,436,1168,0,29,0.17978915443933438
evaluation,CONFIRMED_RISK_EPISODE_120_10,RISK_EPISODE_120_10,BASE,1604,436,1168,0,29,0.17945481579669645
evaluation,CONFIRMED_RISK_EPISODE_120_12,RISK_EPISODE_120_12,BASE,1604,436,1168,0,29,0.1909345549705761
evaluation,CONFIRMED_RISK_EPISODE_120_15,RISK_EPISODE_120_15,BASE,1604,436,1168,0,29,0.20401756795276677
evaluation,CONFIRMED_EPISODE_ACCOUNT_RISK_BUDGET,EPISODE_ACCOUNT_RISK_BUDGET,BASE,1604,436,1168,0,29,0.16487198436137376
evaluation,CONFIRMED_ACCOUNT_RISK_12,ACCOUNT_RISK_12,BASE,1604,436,1168,0,29,0.19876966928550444
evaluation,CONFIRMED_ACCOUNT_RISK_15,ACCOUNT_RISK_15,BASE,1604,436,1168,0,29,0.20907457092332193
evaluation,CONFIRMED_RISK_DAILY_30_10,RISK_DAILY_30_10,STRESS,1604,436,1168,0,29,0.20102217693730728
evaluation,CONFIRMED_RISK_DAILY_30_12,RISK_DAILY_30_12,STRESS,1604,436,1168,0,29,0.20930718619841343
evaluation,CONFIRMED_RISK_DAILY_30_15,RISK_DAILY_30_15,STRESS,1604,436,1168,0,29,0.2177237758654238
evaluation,CONFIRMED_RISK_DAILY_120_10,RISK_DAILY_120_10,STRESS,1604,436,1168,0,29,0.17881290588946688
evaluation,CONFIRMED_RISK_DAILY_120_12,RISK_DAILY_120_12,STRESS,1604,436,1168,0,29,0.19018119219522783
evaluation,CONFIRMED_RISK_DAILY_120_15,RISK_DAILY_120_15,STRESS,1604,436,1168,0,29,0.20257432982200843
evaluation,CONFIRMED_RISK_EPISODE_30_10,RISK_EPISODE_30_10,STRESS,1604,436,1168,0,29,0.15848292053955837
evaluation,CONFIRMED_RISK_EPISODE_30_12,RISK_EPISODE_30_12,STRESS,1604,436,1168,0,29,0.16165921105978642
evaluation,CONFIRMED_RISK_EPISODE_30_15,RISK_EPISODE_30_15,STRESS,1604,436,1168,0,29,0.16433144711627817
evaluation,CONFIRMED_RISK_EPISODE_60_12,RISK_EPISODE_60_12,STRESS,1604,436,1168,0,29,0.1715611799917884
evaluation,CONFIRMED_RISK_EPISODE_60_15,RISK_EPISODE_60_15,STRESS,1604,436,1168,0,29,0.17994695110256226
evaluation,CONFIRMED_RISK_EPISODE_120_10,RISK_EPISODE_120_10,STRESS,1604,436,1168,0,29,0.17961838243346226
evaluation,CONFIRMED_RISK_EPISODE_120_12,RISK_EPISODE_120_12,STRESS,1604,436,1168,0,29,0.19109156322153606
evaluation,CONFIRMED_RISK_EPISODE_120_15,RISK_EPISODE_120_15,STRESS,1604,436,1168,0,29,0.20416564700868117
evaluation,CONFIRMED_EPISODE_ACCOUNT_RISK_BUDGET,EPISODE_ACCOUNT_RISK_BUDGET,STRESS,1604,436,1168,0,29,0.16496162757528052
evaluation,CONFIRMED_ACCOUNT_RISK_12,ACCOUNT_RISK_12,STRESS,1604,436,1168,0,29,0.19885070978038383
evaluation,CONFIRMED_ACCOUNT_RISK_15,ACCOUNT_RISK_15,STRESS,1604,436,1168,0,29,0.20918964574625606
earlier_diagnostic,CONFIRMED_RISK_DAILY_30_10,RISK_DAILY_30_10,BASE,1219,446,773,0,15,0.25018326806608115
earlier_diagnostic,CONFIRMED_RISK_DAILY_30_12,RISK_DAILY_30_12,BASE,1219,446,773,0,15,0.26729792704054106
earlier_diagnostic,CONFIRMED_RISK_DAILY_30_15,RISK_DAILY_30_15,BASE,1219,446,773,0,15,0.2890186251620794
earlier_diagnostic,CONFIRMED_RISK_DAILY_120_10,RISK_DAILY_120_10,BASE,1219,446,773,0,15,0.2892704793552453
earlier_diagnostic,CONFIRMED_RISK_DAILY_120_12,RISK_DAILY_120_12,BASE,1219,446,773,0,15,0.3027633056827686
earlier_diagnostic,CONFIRMED_RISK_DAILY_120_15,RISK_DAILY_120_15,BASE,1219,446,773,0,15,0.3160434705080796
earlier_diagnostic,CONFIRMED_RISK_EPISODE_30_10,RISK_EPISODE_30_10,BASE,1219,446,773,0,15,0.2264014466789543
earlier_diagnostic,CONFIRMED_RISK_EPISODE_30_12,RISK_EPISODE_30_12,BASE,1219,446,773,0,15,0.22700141922624498
earlier_diagnostic,CONFIRMED_RISK_EPISODE_30_15,RISK_EPISODE_30_15,BASE,1219,446,773,0,15,0.22790137804718094
earlier_diagnostic,CONFIRMED_RISK_EPISODE_60_12,RISK_EPISODE_60_12,BASE,1219,446,773,0,15,0.2662983115525989
earlier_diagnostic,CONFIRMED_RISK_EPISODE_60_15,RISK_EPISODE_60_15,BASE,1219,446,773,0,15,0.2709086171605069
earlier_diagnostic,CONFIRMED_RISK_EPISODE_120_10,RISK_EPISODE_120_10,BASE,1219,446,773,0,15,0.29066015328184763
earlier_diagnostic,CONFIRMED_RISK_EPISODE_120_12,RISK_EPISODE_120_12,BASE,1219,446,773,0,15,0.2984267501753486
earlier_diagnostic,CONFIRMED_RISK_EPISODE_120_15,RISK_EPISODE_120_15,BASE,1219,446,773,0,15,0.3074988099364234
earlier_diagnostic,CONFIRMED_EPISODE_ACCOUNT_RISK_BUDGET,EPISODE_ACCOUNT_RISK_BUDGET,BASE,1219,446,773,0,15,0.26243192745686816
earlier_diagnostic,CONFIRMED_ACCOUNT_RISK_12,ACCOUNT_RISK_12,BASE,1219,446,773,0,15,0.28928300410355035
