model,period,cost,decisions,first_zero_held_origins,fills
CONFIRMED_RISK_DAILY_30_10,evaluation,BASE,1604,27,108
CONFIRMED_RISK_DAILY_30_10,evaluation,STRESS,1604,27,108
CONFIRMED_RISK_DAILY_30_10,earlier_diagnostic,BASE,1219,15,73
CONFIRMED_RISK_DAILY_30_10,earlier_diagnostic,STRESS,1219,15,74
CONFIRMED_RISK_DAILY_30_12,evaluation,BASE,1604,27,107
CONFIRMED_RISK_DAILY_30_12,evaluation,STRESS,1604,27,106
CONFIRMED_RISK_DAILY_30_12,earlier_diagnostic,BASE,1219,15,69
CONFIRMED_RISK_DAILY_30_12,earlier_diagnostic,STRESS,1219,15,69
CONFIRMED_RISK_DAILY_30_15,evaluation,BASE,1604,27,102
CONFIRMED_RISK_DAILY_30_15,evaluation,STRESS,1604,27,102
CONFIRMED_RISK_DAILY_30_15,earlier_diagnostic,BASE,1219,15,69
CONFIRMED_RISK_DAILY_30_15,earlier_diagnostic,STRESS,1219,15,69
CONFIRMED_RISK_DAILY_120_10,evaluation,BASE,1604,27,99
CONFIRMED_RISK_DAILY_120_10,evaluation,STRESS,1604,27,98
CONFIRMED_RISK_DAILY_120_10,earlier_diagnostic,BASE,1219,15,59
CONFIRMED_RISK_DAILY_120_10,earlier_diagnostic,STRESS,1219,15,59
CONFIRMED_RISK_DAILY_120_12,evaluation,BASE,1604,27,97
CONFIRMED_RISK_DAILY_120_12,evaluation,STRESS,1604,27,97
CONFIRMED_RISK_DAILY_120_12,earlier_diagnostic,BASE,1219,15,58
CONFIRMED_RISK_DAILY_120_12,earlier_diagnostic,STRESS,1219,15,58
CONFIRMED_RISK_DAILY_120_15,evaluation,BASE,1604,27,99
CONFIRMED_RISK_DAILY_120_15,evaluation,STRESS,1604,27,98
CONFIRMED_RISK_DAILY_120_15,earlier_diagnostic,BASE,1219,15,52
CONFIRMED_RISK_DAILY_120_15,earlier_diagnostic,STRESS,1219,15,52
CONFIRMED_RISK_EPISODE_30_10,evaluation,BASE,1604,27,91
CONFIRMED_RISK_EPISODE_30_10,evaluation,STRESS,1604,27,89
CONFIRMED_RISK_EPISODE_30_10,earlier_diagnostic,BASE,1219,15,58
CONFIRMED_RISK_EPISODE_30_10,earlier_diagnostic,STRESS,1219,15,58
CONFIRMED_RISK_EPISODE_30_12,evaluation,BASE,1604,27,88
CONFIRMED_RISK_EPISODE_30_12,evaluation,STRESS,1604,27,89
CONFIRMED_RISK_EPISODE_30_12,earlier_diagnostic,BASE,1219,15,58
CONFIRMED_RISK_EPISODE_30_12,earlier_diagnostic,STRESS,1219,15,58
CONFIRMED_RISK_EPISODE_30_15,evaluation,BASE,1604,27,85
CONFIRMED_RISK_EPISODE_30_15,evaluation,STRESS,1604,27,85
CONFIRMED_RISK_EPISODE_30_15,earlier_diagnostic,BASE,1219,15,58
CONFIRMED_RISK_EPISODE_30_15,earlier_diagnostic,STRESS,1219,15,58
CONFIRMED_RISK_EPISODE_60_12,evaluation,BASE,1604,27,87
CONFIRMED_RISK_EPISODE_60_12,evaluation,STRESS,1604,27,87
CONFIRMED_RISK_EPISODE_60_12,earlier_diagnostic,BASE,1219,15,52
CONFIRMED_RISK_EPISODE_60_12,earlier_diagnostic,STRESS,1219,15,52
CONFIRMED_RISK_EPISODE_60_15,evaluation,BASE,1604,28,90
CONFIRMED_RISK_EPISODE_60_15,evaluation,STRESS,1604,28,90
CONFIRMED_RISK_EPISODE_60_15,earlier_diagnostic,BASE,1219,15,53
CONFIRMED_RISK_EPISODE_60_15,earlier_diagnostic,STRESS,1219,15,53
CONFIRMED_RISK_EPISODE_120_10,evaluation,BASE,1604,27,96
CONFIRMED_RISK_EPISODE_120_10,evaluation,STRESS,1604,27,96
CONFIRMED_RISK_EPISODE_120_10,earlier_diagnostic,BASE,1219,15,46
CONFIRMED_RISK_EPISODE_120_10,earlier_diagnostic,STRESS,1219,15,46
CONFIRMED_RISK_EPISODE_120_12,evaluation,BASE,1604,27,96
CONFIRMED_RISK_EPISODE_120_12,evaluation,STRESS,1604,27,96
CONFIRMED_RISK_EPISODE_120_12,earlier_diagnostic,BASE,1219,15,48
CONFIRMED_RISK_EPISODE_120_12,earlier_diagnostic,STRESS,1219,15,48
CONFIRMED_RISK_EPISODE_120_15,evaluation,BASE,1604,27,95
CONFIRMED_RISK_EPISODE_120_15,evaluation,STRESS,1604,27,95
CONFIRMED_RISK_EPISODE_120_15,earlier_diagnostic,BASE,1219,15,45
CONFIRMED_RISK_EPISODE_120_15,earlier_diagnostic,STRESS,1219,15,45
CONFIRMED_EPISODE_ACCOUNT_RISK_BUDGET,evaluation,BASE,1604,27,87
CONFIRMED_EPISODE_ACCOUNT_RISK_BUDGET,evaluation,STRESS,1604,27,87
CONFIRMED_EPISODE_ACCOUNT_RISK_BUDGET,earlier_diagnostic,BASE,1219,15,52
CONFIRMED_EPISODE_ACCOUNT_RISK_BUDGET,earlier_diagnostic,STRESS,1219,15,53
CONFIRMED_ACCOUNT_RISK_12,evaluation,BASE,1604,27,109
CONFIRMED_ACCOUNT_RISK_12,evaluation,STRESS,1604,27,109
CONFIRMED_ACCOUNT_RISK_12,earlier_diagnostic,BASE,1219,15,61
CONFIRMED_ACCOUNT_RISK_12,earlier_diagnostic,STRESS,1219,15,61
CONFIRMED_ACCOUNT_RISK_15,evaluation,BASE,1604,27,103
CONFIRMED_ACCOUNT_RISK_15,evaluation,STRESS,1604,27,106
CONFIRMED_ACCOUNT_RISK_15,earlier_diagnostic,BASE,1219,15,57
CONFIRMED_ACCOUNT_RISK_15,earlier_diagnostic,STRESS,1219,15,57
