period,cost,candidate_signals,buy_requests,actual_cycles,different_breakout_events,positive_cycles,mean_holding_intervals
evaluation,BASE,16,14,14,14,7,12.571428571428571
evaluation,STRESS,16,14,14,14,7,12.571428571428571
earlier_diagnostic,BASE,10,7,7,7,3,17.0
earlier_diagnostic,STRESS,10,7,7,7,3,17.0
