period,status,decision_days,entry_signals
evaluation,后来回踩守住且收盘回升，发出一次信号,16,16
evaluation,收盘跌破原突破位，取消机会,31,0
evaluation,空闲，等待新的突破首日,1241,0
evaluation,突破首日收盘建立机会，当日不确认回踩,65,0
evaluation,等待后来回踩确认，原突破位固定,233,0
evaluation,等待期限结束,18,0
earlier_diagnostic,后来回踩守住且收盘回升，发出一次信号,10,10
earlier_diagnostic,收盘跌破原突破位，取消机会,22,0
earlier_diagnostic,空闲，等待新的突破首日,862,0
earlier_diagnostic,突破首日收盘建立机会，当日不确认回踩,52,0
earlier_diagnostic,等待后来回踩确认，原突破位固定,252,0
earlier_diagnostic,等待期限结束,21,0
