period,cost,cycles,losing_cycles,total_net_profit,largest_three_positive_profit,largest_three_vs_total
evaluation,BASE,22,8,59654.74752000008,36464.83324000001,0.6112645641115935
evaluation,STRESS,22,8,56493.91552000002,35674.893239999976,0.6314820438914404
earlier_diagnostic,BASE,17,8,49157.043120000024,56464.35576000001,1.1486524041358976
earlier_diagnostic,STRESS,16,7,52132.41952000005,61597.22576000005,1.1815531741504715
