date,downside_budget,continuous_budget,downside_sd,continuous_sd,reference_covariance,difference_variance,raw_downside_budget,risk_status,risk_update_scheduled,risk_attempt_origin,last_successful_risk_origin,risk_window_start,risk_window_observations,origin_index,risk_cost,downside_reference_return,continuous_reference_return,target_cost,downside_parent_target,continuous_parent_target,target
2020-01-02,0.5,0.5,,,,,,NO_VIEW_WARMUP_KEEP_BUDGET,True,2020-01-02,,2020-01-02,1,1852,BASE,0.0,0.0,BASE,0.0,0.0,0.0
2020-02-03,0.5,0.5,,,,,,NO_VIEW_WARMUP_KEEP_BUDGET,True,2020-02-03,,2020-01-02,17,1868,BASE,0.0,0.0,BASE,0.0,0.0,0.0
2020-03-02,0.5,0.5,,,,,,NO_VIEW_WARMUP_KEEP_BUDGET,True,2020-03-02,,2020-01-02,37,1888,BASE,0.0,0.00027496890699829635,BASE,0.0,0.0,0.0
2020-04-01,0.5,0.5,,,,,,NO_VIEW_WARMUP_KEEP_BUDGET,True,2020-04-01,,2020-01-02,59,1910,BASE,0.0,0.0,BASE,0.0,0.0,0.0
2020-05-06,0.5,0.5,,,,,,NO_VIEW_WARMUP_KEEP_BUDGET,True,2020-05-06,,2020-01-02,80,1931,BASE,0.0,0.0,BASE,0.0,0.0,0.0
2020-06-01,0.5,0.5,,,,,,NO_VIEW_WARMUP_KEEP_BUDGET,True,2020-06-01,,2020-01-02,98,1949,BASE,0.0,0.0,BASE,0.0,0.0,0.0
2020-07-01,0.5,0.5,,,,,,NO_VIEW_WARMUP_KEEP_BUDGET,True,2020-07-01,,2020-01-02,118,1969,BASE,0.019349305765796965,0.0,BASE,1.0,0.0,0.5
2020-08-03,0.5,0.5,,,,,,NO_VIEW_WARMUP_KEEP_BUDGET,True,2020-08-03,,2020-01-02,141,1992,BASE,0.0,0.0,BASE,0.0,0.0,0.0
2020-09-01,0.5,0.5,,,,,,NO_VIEW_WARMUP_KEEP_BUDGET,True,2020-09-01,,2020-01-02,162,2013,BASE,0.005471724912047504,1.592261366090142e-05,BASE,0.6969076114519388,0.0024608497738199953,0.3496842306128794
2020-10-09,0.5,0.5,,,,,,NO_VIEW_WARMUP_KEEP_BUDGET,True,2020-10-09,,2020-01-02,184,2035,BASE,0.0,0.0,BASE,0.0,0.0,0.0
2020-11-02,0.5,0.5,,,,,,NO_VIEW_WARMUP_KEEP_BUDGET,True,2020-11-02,,2020-01-02,200,2051,BASE,0.0,0.0,BASE,0.0,0.0,0.0
2020-12-01,0.5,0.5,,,,,,NO_VIEW_WARMUP_KEEP_BUDGET,True,2020-12-01,,2020-01-02,221,2072,BASE,0.0,0.0,BASE,0.0,0.0,0.0
2021-01-04,0.11472255405190791,0.8852774459480921,0.0058967449701828835,0.0023486594294151847,1.1605682360214855e-06,3.796666588671488e-05,0.11472255405190791,MIN_VARIANCE_BUDGET_AVAILABLE,True,2021-01-04,2021-01-04,2020-01-06,242,2095,BASE,0.0,0.0,BASE,0.815899676399381,0.000884365421071065,0.09438500348791276
