period,cost,block_days,replications,valid_sharpe_draws,net_sharpe_low,net_sharpe_high,cagr_excess_vs_buy_hold_low,cagr_excess_vs_buy_hold_high,sharpe_difference_vs_equal_low,sharpe_difference_vs_equal_high,sharpe_difference_vs_continuous_low,sharpe_difference_vs_continuous_high
evaluation,BASE,20,2000,2000,0.4690276278774414,1.898300130429952,-0.12892350019781912,0.11941048032030678,-0.22569472855611256,0.5457147470624669,-0.33589845785887223,0.5190277774880985
evaluation,STRESS,20,2000,2000,0.4035457832073091,1.8476438219725093,-0.130076957363956,0.11762656949009132,-0.2236516341512946,0.5514810836247019,-0.3405387749450573,0.5294655311115889
evaluation,BASE,60,2000,2000,0.6162356031910581,1.8351335908570268,-0.12549559275973451,0.11584165744143614,-0.2843484690865144,0.6178508788655175,-0.3215879757583305,0.49727185882363767
evaluation,STRESS,60,2000,2000,0.5524266740348345,1.7783985267744091,-0.12744427151179447,0.11380929051449426,-0.2734262301714393,0.6231746164566837,-0.3265447723909676,0.5125689635826923
earlier_diagnostic,BASE,20,2000,2000,-0.2563322857065762,1.7559377874944477,-0.20061628731256473,0.16642065359036365,-0.26897436198565794,0.13321734065539914,-0.1508747264932867,0.7073243595074613
earlier_diagnostic,STRESS,20,2000,2000,-0.25286422182284213,1.7791832653355384,-0.19661280266061162,0.17201051727019048,-0.2555256491211116,0.1848275631350598,-0.13763415632349119,0.796435989909141
earlier_diagnostic,BASE,60,2000,2000,-0.17799596177475763,1.7546063315572205,-0.1877073751315886,0.17597324871123438,-0.30590524211037495,0.15835366037096452,-0.10723603137160516,0.617041364769816
earlier_diagnostic,STRESS,60,2000,2000,-0.19207153009227929,1.7650269184969243,-0.18271102358064106,0.17754062143268315,-0.2919305999064137,0.22355103799342999,-0.09548017275760921,0.7374142612477705
