period,cost,year,days,held_closes,net_profit,cumulative_return,return_excess_vs_EQUAL_REFERENCE_PAIR,net_profit_difference_vs_EQUAL_REFERENCE_PAIR,return_excess_vs_CONTINUOUS_REFERENCE_MIN_VARIANCE,net_profit_difference_vs_CONTINUOUS_REFERENCE_MIN_VARIANCE,return_excess_vs_BUY_HOLD,net_profit_difference_vs_BUY_HOLD
evaluation,BASE,2020,243,52,21509.31764000001,0.10754658819999952,0.0,0.0,0.0400311755999998,8006.235119999996,-0.173941858600001,-34788.37171999998
evaluation,BASE,2021,243,64,11020.581159999985,0.04975222386766953,0.009078803823812542,2011.0396399999936,0.008851989562237206,2288.2550599999995,0.08884270503828773,21039.381159999983
evaluation,BASE,2022,242,36,-21.800079999996342,-9.37517287561418e-05,-0.00682058451654044,-1572.4619000000037,-0.0008392010746941514,-187.46532000000138,0.1954487900016666,48136.19991999999
evaluation,BASE,2023,242,0,0.0,0.0,0.0,0.0,0.0,0.0,0.09161073352048144,18150.0
evaluation,BASE,2024,242,42,9458.967860000012,0.04068231563577074,-0.014868966779773451,-3432.7916400000067,0.00016178763835328347,447.15891999999985,-0.11852565461927167,-19193.83213999999
evaluation,BASE,2025,243,30,13092.92690000002,0.054110367518429126,-0.0009492568171849403,-394.5491799999909,0.0005079974605775028,688.6479200000031,-0.1358949004432468,-26546.673099999978
evaluation,BASE,2026,149,49,4594.754040000022,0.0180144050711748,-0.005597433891507242,-1507.6963800000012,-0.003077299722929361,-547.7655599999989,-0.002076261143946656,-393.02083999997376
evaluation,STRESS,2020,243,52,21079.890519999997,0.10539945259999972,0.0,0.0,0.039480230200000355,7896.046039999988,-0.1754052474000023,-35081.04948
evaluation,STRESS,2021,243,64,10551.068480000025,0.04772513888614216,0.010266977582904957,2269.8222800000112,0.008554807473983184,2200.5866399999977,0.086836488180847,20569.86848000002
evaluation,STRESS,2022,242,36,-233.96087999998895,-0.0010100587633449232,-0.006211639890214227,-1427.0014399999955,-0.0007623792235125215,-179.0913599999916,0.19464112067305683,47924.039119999994
evaluation,STRESS,2023,242,0,0.0,0.0,0.0,0.0,0.0,0.0,0.09167400984745655,18150.0
evaluation,STRESS,2024,242,42,8784.133559999991,0.037961311647805474,-0.013440475731685053,-3066.7632399999966,-7.64422898318351e-05,359.5524800000003,-0.12136772342862678,-19868.66644000001
evaluation,STRESS,2025,243,30,12484.177079999965,0.051978175773744306,-0.0007831970174012604,-305.4474000000082,0.0004857695108360094,645.8649600000026,-0.13815171917315316,-27155.422920000034
evaluation,STRESS,2026,149,49,3828.606759999989,0.01515287863929382,-0.005423640973497346,-1422.4119600000072,-0.003292164026999833,-630.3412000000112,-0.004374208144732439,-1016.581720000017
earlier_diagnostic,BASE,2015,244,158,30326.068420000032,0.15163034209999893,0.0,0.0,0.03858941759999879,7717.883519999981,0.09449111449999892,18898.22290000006
earlier_diagnostic,BASE,2016,244,72,-895.7717800000137,-0.003889146313939662,-0.011048109914157944,-2544.6677200000013,-0.01484520483036711,-3334.6800800000074,0.09279915862395682,19546.828219999978
earlier_diagnostic,BASE,2017,244,60,7236.5520000000015,0.03154139669424261,-0.04099675347392018,-9590.482799999996,-8.718334555557483e-05,118.63200000000143,-0.19268639578994406,-35587.647999999965
earlier_diagnostic,BASE,2018,243,18,-3011.6996800000124,-0.012725481820992424,0.008758181726914782,2333.4787599999954,0.00513847951769153,1135.687139999999,0.2173482001055942,50781.70031999997
earlier_diagnostic,BASE,2019,244,23,15501.894159999989,0.06634518532546307,0.02480006093713194,5387.450259999994,0.05163553014112909,12147.83349999999,-0.28054694053818463,-46944.25455999999
earlier_diagnostic,STRESS,2015,244,158,29165.441519999997,0.1458272076000009,0.0,0.0,0.03899118100000232,7798.236199999999,0.08944197400000076,17888.394800000042
earlier_diagnostic,STRESS,2016,244,72,-1594.796119999999,-0.006959147546078959,-0.011261307214922023,-2580.702440000007,-0.013900487740435952,-3131.3812000000125,0.08979816858155554,18847.803879999992
earlier_diagnostic,STRESS,2017,244,60,7046.072000000002,0.030962130408406452,-0.04060003489965891,-9424.056799999997,4.86410254008085e-06,145.58000000000175,-0.19344284854611637,-35778.12799999997
earlier_diagnostic,STRESS,2018,243,18,-3446.679920000017,-0.014690683418452699,0.008105702024518213,2175.3983199999893,0.005418206075418985,1174.4289999999983,0.21553148364075314,50346.72007999996
earlier_diagnostic,STRESS,2019,244,28,20962.382040000015,0.09067949405776043,0.03986039724129298,8715.010280000011,0.07680629353517632,17838.370720000014,-0.2556372230174895,-41327.95971999997
