period,cost,monthly_attempts,target_origins_checked,base_risk_shared,terminal_open_excluded
evaluation,BASE,80,1604,True,True
evaluation,STRESS,80,1604,True,True
earlier_diagnostic,BASE,60,1219,True,True
earlier_diagnostic,STRESS,60,1219,True,True
