period,cost,decision_origins,monthly_attempts,budget_changes,downside_full_budget_origins,continuous_full_budget_origins,positive_target_origins,zero_target_origins,unknown_target_origins,new_model_fits,new_reference_accounts
evaluation,BASE,1604,80,22,0,903,304,1300,0,0,0
evaluation,STRESS,1604,80,22,0,903,304,1300,0,0,0
earlier_diagnostic,BASE,1219,60,22,160,349,331,888,0,0,0
earlier_diagnostic,STRESS,1219,60,22,160,349,336,883,0,0,0
