period,cost,observed_explicit_zero_exits,zero_gaps_followed_by_positive,one_origin_zero_gaps,two_origin_zero_gaps,price_only_change_1day_sum,price_only_change_1day_positive_count,available_1day_exits,price_only_change_2day_sum,price_only_change_2day_positive_count,available_2day_exits
evaluation,BASE,27,29,2,1,22819.200000000023,11,27,-2435.0999999998894,10,27
evaluation,STRESS,27,29,2,1,21915.30000000002,11,27,-2515.1999999998898,10,27
earlier_diagnostic,BASE,15,15,0,0,14912.500000000055,10,15,9024.600000000035,7,15
earlier_diagnostic,STRESS,15,15,0,0,17029.700000000048,10,15,7448.900000000036,7,15
