period,cost,exit_date,origin,sold_quantity,exit_open,price_only_change_1day,ex_dividend_in_1day_interval,price_only_change_2day,ex_dividend_in_2day_interval
evaluation,BASE,2020-01-21,2020-01-20,40800,4.163,-3019.1999999999935,False,-3345.599999999994,False
evaluation,BASE,2020-03-02,2020-02-28,2000,3.948,338.00000000000006,False,234.00000000000088,False
evaluation,BASE,2020-07-07,2020-07-06,49700,4.821,-4323.899999999987,False,-1242.4999999999736,False
evaluation,BASE,2020-09-30,2020-09-29,33700,4.673,1617.6000000000015,False,3100.399999999988,False
evaluation,BASE,2021-07-21,2021-07-20,600,5.18,15.000000000000213,False,18.00000000000015,False
evaluation,BASE,2021-08-11,2021-08-10,52600,5.098,-1998.8000000000134,False,-3418.9999999999736,False
evaluation,BASE,2021-12-13,2021-12-10,54000,5.167,-1620.0000000000134,False,-2537.999999999984,False
evaluation,BASE,2022-06-10,2022-06-09,68100,4.159,3473.100000000011,False,408.6000000000155,False
evaluation,BASE,2022-09-02,2022-09-01,9100,4.11,-318.5000000000013,False,-136.50000000000517,False
evaluation,BASE,2023-01-18,2023-01-17,49900,4.146,-1247.4999999999734,False,1347.3000000000068,False
evaluation,BASE,2023-04-12,2023-04-11,69100,4.093,-967.4000000000162,False,-1243.7999999999859,False
evaluation,BASE,2024-02-23,2024-02-22,83400,3.475,83.39999999999081,False,-3336.000000000003,False
evaluation,BASE,2024-05-24,2024-05-23,82100,3.632,-2216.700000000011,False,-82.10000000002742,False
evaluation,BASE,2024-07-18,2024-07-17,62000,3.541,1488.0000000000014,False,3348.000000000017,False
evaluation,BASE,2024-08-06,2024-08-05,66600,3.428,-1798.200000000009,False,-2131.200000000002,False
evaluation,BASE,2024-09-12,2024-09-11,87100,3.259,-1219.3999999999817,False,-2787.2000000000025,False
evaluation,BASE,2024-09-30,2024-09-27,65300,4.007,42379.700000000004,False,18153.40000000003,False
evaluation,BASE,2024-10-22,2024-10-21,25500,4.002,969.0000000000065,False,918.0000000000122,False
evaluation,BASE,2025-04-23,2025-04-22,83800,3.892,-837.9999999999822,False,-418.9999999999911,False
evaluation,BASE,2025-06-20,2025-06-19,25500,3.872,-76.49999999999157,False,612.0000000000006,False
evaluation,BASE,2025-06-26,2025-06-25,51700,3.995,-258.4999999999945,False,-1757.8000000000131,False
evaluation,BASE,2025-07-29,2025-07-28,81400,4.208,1546.6000000000104,False,1058.1999999999919,False
evaluation,BASE,2025-09-15,2025-09-12,61400,4.622,613.9999999999869,False,-429.79999999997995,False
evaluation,BASE,2026-02-04,2026-02-03,16300,4.652,456.39999999999316,False,-146.70000000000556,False
evaluation,BASE,2026-05-18,2026-05-15,75300,4.855,-903.6000000000342,False,-753.0000000000508,False
evaluation,BASE,2026-06-23,2026-06-22,41500,5.079,-6224.999999999978,False,-4398.9999999999945,False
evaluation,BASE,2026-07-31,2026-07-30,55900,4.68,-3130.400000000003,False,-3465.7999999999656,False
evaluation,STRESS,2020-01-21,2020-01-20,40800,4.163,-3019.1999999999935,False,-3345.599999999994,False
evaluation,STRESS,2020-03-02,2020-02-28,2000,3.948,338.00000000000006,False,234.00000000000088,False
evaluation,STRESS,2020-07-07,2020-07-06,49600,4.821,-4315.199999999987,False,-1239.9999999999736,False
evaluation,STRESS,2020-09-30,2020-09-29,33500,4.673,1608.0000000000014,False,3081.9999999999877,False
evaluation,STRESS,2021-07-21,2021-07-20,600,5.18,15.000000000000213,False,18.00000000000015,False
evaluation,STRESS,2021-08-11,2021-08-10,52000,5.098,-1976.0000000000132,False,-3379.999999999974,False
evaluation,STRESS,2021-12-13,2021-12-10,53400,5.167,-1602.0000000000132,False,-2509.7999999999843,False
evaluation,STRESS,2022-06-10,2022-06-09,67100,4.159,3422.1000000000104,False,402.60000000001526,False
evaluation,STRESS,2022-09-02,2022-09-01,9000,4.11,-315.00000000000125,False,-135.00000000000512,False
evaluation,STRESS,2023-01-18,2023-01-17,49100,4.146,-1227.4999999999739,False,1325.7000000000066,False
evaluation,STRESS,2023-04-12,2023-04-11,67800,4.093,-949.2000000000158,False,-1220.399999999986,False
evaluation,STRESS,2024-02-23,2024-02-22,81800,3.475,81.79999999999099,False,-3272.0000000000027,False
evaluation,STRESS,2024-05-24,2024-05-23,80400,3.632,-2170.8000000000106,False,-80.40000000002685,False
evaluation,STRESS,2024-07-18,2024-07-17,60400,3.541,1449.6000000000013,False,3261.6000000000163,False
evaluation,STRESS,2024-08-06,2024-08-05,64500,3.428,-1741.5000000000086,False,-2064.000000000002,False
evaluation,STRESS,2024-09-12,2024-09-11,85000,3.259,-1189.9999999999823,False,-2720.0000000000023,False
evaluation,STRESS,2024-09-30,2024-09-27,63200,4.007,41016.8,False,17569.60000000003,False
evaluation,STRESS,2024-10-22,2024-10-21,24700,4.002,938.6000000000063,False,889.2000000000118,False
evaluation,STRESS,2025-04-23,2025-04-22,81400,3.892,-813.9999999999826,False,-406.9999999999913,False
evaluation,STRESS,2025-06-20,2025-06-19,25600,3.872,-76.79999999999154,False,614.4000000000005,False
evaluation,STRESS,2025-06-26,2025-06-25,51700,3.995,-258.4999999999945,False,-1757.8000000000131,False
evaluation,STRESS,2025-07-29,2025-07-28,78700,4.208,1495.30000000001,False,1023.0999999999922,False
evaluation,STRESS,2025-09-15,2025-09-12,59100,4.622,590.9999999999874,False,-413.69999999998066,False
evaluation,STRESS,2026-02-04,2026-02-03,15700,4.652,439.59999999999343,False,-141.30000000000535,False
evaluation,STRESS,2026-05-18,2026-05-15,72500,4.855,-870.000000000033,False,-725.0000000000489,False
evaluation,STRESS,2026-06-23,2026-06-22,39800,5.079,-5969.999999999979,False,-4218.799999999995,False
evaluation,STRESS,2026-07-31,2026-07-30,53300,4.68,-2984.8000000000025,False,-3304.5999999999676,False
earlier_diagnostic,BASE,2015-05-15,2015-05-14,13100,4.668,-1244.4999999999968,False,-1493.3999999999985,False
earlier_diagnostic,BASE,2015-06-23,2015-06-19,7700,4.616,1339.800000000003,False,2125.2000000000053,False
earlier_diagnostic,BASE,2015-12-29,2015-12-28,31900,3.771,1339.8000000000084,False,957.000000000008,False
earlier_diagnostic,BASE,2016-07-28,2016-07-27,59500,3.245,1190.0000000000011,False,0.0,False
earlier_diagnostic,BASE,2016-10-10,2016-09-30,78600,3.33,2515.200000000002,False,2279.3999999999933,False
earlier_diagnostic,BASE,2017-02-27,2017-02-24,77000,3.468,-2464.0000000000023,False,-1616.999999999993,False
earlier_diagnostic,BASE,2017-08-14,2017-08-11,25900,3.701,1191.3999999999953,False,1320.8999999999926,False
earlier_diagnostic,BASE,2017-12-28,2017-12-27,47700,4.031,1669.5000000000068,False,2623.5000000000286,False
earlier_diagnostic,BASE,2018-01-22,2018-01-19,51000,4.322,1580.9999999999843,True,3365.999999999992,True
earlier_diagnostic,BASE,2018-03-06,2018-03-05,66800,4.042,1870.4000000000312,False,0.0,False
earlier_diagnostic,BASE,2018-10-19,2018-10-18,68700,3.09,10992.00000000001,False,17862.000000000015,False
earlier_diagnostic,BASE,2019-03-06,2019-03-05,77700,3.809,1631.6999999999928,False,-7381.5000000000155,False
earlier_diagnostic,BASE,2019-06-25,2019-06-24,81100,3.855,-4866.000000000005,False,-2838.5000000000114,False
earlier_diagnostic,BASE,2019-09-27,2019-09-26,78600,3.913,-235.79999999997403,False,-3065.3999999999764,False
earlier_diagnostic,BASE,2019-12-09,2019-12-06,79900,3.966,-1598.0000000000014,False,-5113.600000000005,True
earlier_diagnostic,STRESS,2015-05-15,2015-05-14,13100,4.668,-1244.4999999999968,False,-1493.3999999999985,False
earlier_diagnostic,STRESS,2015-06-23,2015-06-19,7700,4.616,1339.800000000003,False,2125.2000000000053,False
earlier_diagnostic,STRESS,2015-12-29,2015-12-28,31800,3.771,1335.6000000000083,False,954.000000000008,False
earlier_diagnostic,STRESS,2016-07-28,2016-07-27,59500,3.245,1190.0000000000011,False,0.0,False
earlier_diagnostic,STRESS,2016-10-10,2016-09-30,78300,3.33,2505.600000000002,False,2270.6999999999935,False
earlier_diagnostic,STRESS,2017-02-27,2017-02-24,76200,3.468,-2438.4000000000024,False,-1600.199999999993,False
earlier_diagnostic,STRESS,2017-08-14,2017-08-11,25700,3.701,1182.1999999999953,False,1310.6999999999925,False
earlier_diagnostic,STRESS,2017-12-28,2017-12-27,47100,4.031,1648.5000000000066,False,2590.5000000000286,False
earlier_diagnostic,STRESS,2018-01-22,2018-01-19,50300,4.322,1559.2999999999847,True,3319.799999999992,True
earlier_diagnostic,STRESS,2018-03-06,2018-03-05,65800,4.042,1842.4000000000308,False,0.0,False
earlier_diagnostic,STRESS,2018-10-19,2018-10-18,67600,3.09,10816.00000000001,False,17576.000000000015,False
earlier_diagnostic,STRESS,2019-03-06,2019-03-05,76400,3.809,1604.399999999993,False,-7258.000000000015,False
earlier_diagnostic,STRESS,2019-07-03,2019-07-02,79600,3.951,-2467.600000000011,False,-4059.6000000000126,False
earlier_diagnostic,STRESS,2019-09-27,2019-09-26,81200,3.913,-243.59999999997316,False,-3166.7999999999756,False
earlier_diagnostic,STRESS,2019-12-09,2019-12-06,80000,3.966,-1600.0000000000014,False,-5120.000000000005,True
