fit_index,fit_origin,fit_time,status,training_cycles,latest_exit_index,latest_exit_date
632,2014-12-31,2014-12-31 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES,1,588,2014-10-30
633,2015-01-05,2015-01-05 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES,1,588,2014-10-30
653,2015-02-02,2015-02-02 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES,2,644,2015-01-20
668,2015-03-02,2015-03-02 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES,2,644,2015-01-20
690,2015-04-01,2015-04-01 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES,2,644,2015-01-20
711,2015-05-04,2015-05-04 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES,2,644,2015-01-20
731,2015-06-01,2015-06-01 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES,3,720,2015-05-15
752,2015-07-01,2015-07-01 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES,4,746,2015-06-23
775,2015-08-03,2015-08-03 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES,4,746,2015-06-23
796,2015-09-01,2015-09-01 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES,4,746,2015-06-23
816,2015-10-08,2015-10-08 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES,4,746,2015-06-23
833,2015-11-02,2015-11-02 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES,4,746,2015-06-23
854,2015-12-01,2015-12-01 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES,4,746,2015-06-23
877,2016-01-04,2016-01-04 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES,5,874,2015-12-29
897,2016-02-01,2016-02-01 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES,5,874,2015-12-29
913,2016-03-01,2016-03-01 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES,5,874,2015-12-29
936,2016-04-01,2016-04-01 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES,5,874,2015-12-29
956,2016-05-03,2016-05-03 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES,5,874,2015-12-29
977,2016-06-01,2016-06-01 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES,5,874,2015-12-29
997,2016-07-01,2016-07-01 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES,5,874,2015-12-29
1018,2016-08-01,2016-08-01 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES,6,1016,2016-07-28
1041,2016-09-01,2016-09-01 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES,6,1016,2016-07-28
1061,2016-10-10,2016-10-10 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES,6,1016,2016-07-28
1077,2016-11-01,2016-11-01 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES,6,1016,2016-07-28
1099,2016-12-01,2016-12-01 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES,6,1016,2016-07-28
1121,2017-01-03,2017-01-03 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES,6,1016,2016-07-28
1139,2017-02-03,2017-02-03 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES,6,1016,2016-07-28
1157,2017-03-01,2017-03-01 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES,6,1016,2016-07-28
1180,2017-04-05,2017-04-05 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES,6,1016,2016-07-28
1198,2017-05-02,2017-05-02 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES,6,1016,2016-07-28
1218,2017-06-01,2017-06-01 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES,6,1016,2016-07-28
1240,2017-07-03,2017-07-03 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES,6,1016,2016-07-28
1261,2017-08-01,2017-08-01 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES,6,1016,2016-07-28
1284,2017-09-01,2017-09-01 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES,7,1270,2017-08-14
1305,2017-10-09,2017-10-09 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES,7,1270,2017-08-14
1322,2017-11-01,2017-11-01 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES,7,1270,2017-08-14
1344,2017-12-01,2017-12-01 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES,7,1270,2017-08-14
1365,2018-01-02,2018-01-02 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES,7,1270,2017-08-14
