fit_index,cycle_id,exit_index,used_in_fit
632,1,588,False
633,1,588,False
653,1,588,False
653,2,644,False
668,1,588,False
668,2,644,False
690,1,588,False
690,2,644,False
711,1,588,False
711,2,644,False
731,1,588,False
731,2,644,False
731,3,720,False
752,1,588,False
752,2,644,False
752,3,720,False
752,4,746,False
775,1,588,False
775,2,644,False
775,3,720,False
775,4,746,False
796,1,588,False
796,2,644,False
796,3,720,False
796,4,746,False
816,1,588,False
816,2,644,False
816,3,720,False
816,4,746,False
833,1,588,False
833,2,644,False
833,3,720,False
833,4,746,False
854,1,588,False
854,2,644,False
854,3,720,False
854,4,746,False
877,1,588,False
877,2,644,False
877,3,720,False
877,4,746,False
877,5,874,False
897,1,588,False
897,2,644,False
897,3,720,False
897,4,746,False
897,5,874,False
913,1,588,False
913,2,644,False
913,3,720,False
913,4,746,False
913,5,874,False
936,1,588,False
936,2,644,False
936,3,720,False
936,4,746,False
936,5,874,False
956,1,588,False
956,2,644,False
956,3,720,False
956,4,746,False
956,5,874,False
977,1,588,False
977,2,644,False
977,3,720,False
977,4,746,False
977,5,874,False
997,1,588,False
997,2,644,False
997,3,720,False
997,4,746,False
997,5,874,False
1018,1,588,False
1018,2,644,False
1018,3,720,False
1018,4,746,False
1018,5,874,False
1018,6,1016,False
1041,1,588,False
1041,2,644,False
1041,3,720,False
1041,4,746,False
1041,5,874,False
1041,6,1016,False
1061,1,588,False
1061,2,644,False
1061,3,720,False
1061,4,746,False
1061,5,874,False
1061,6,1016,False
1077,1,588,False
1077,2,644,False
1077,3,720,False
1077,4,746,False
1077,5,874,False
1077,6,1016,False
1099,1,588,False
1099,2,644,False
1099,3,720,False
1099,4,746,False
1099,5,874,False
1099,6,1016,False
1121,1,588,False
1121,2,644,False
1121,3,720,False
1121,4,746,False
1121,5,874,False
1121,6,1016,False
1139,1,588,False
1139,2,644,False
1139,3,720,False
1139,4,746,False
1139,5,874,False
1139,6,1016,False
1157,1,588,False
1157,2,644,False
1157,3,720,False
1157,4,746,False
1157,5,874,False
1157,6,1016,False
1180,1,588,False
1180,2,644,False
1180,3,720,False
1180,4,746,False
1180,5,874,False
1180,6,1016,False
1198,1,588,False
1198,2,644,False
1198,3,720,False
1198,4,746,False
1198,5,874,False
1198,6,1016,False
1218,1,588,False
1218,2,644,False
1218,3,720,False
1218,4,746,False
1218,5,874,False
1218,6,1016,False
1240,1,588,False
1240,2,644,False
1240,3,720,False
1240,4,746,False
1240,5,874,False
1240,6,1016,False
1261,1,588,False
1261,2,644,False
1261,3,720,False
1261,4,746,False
1261,5,874,False
1261,6,1016,False
1284,1,588,False
1284,2,644,False
1284,3,720,False
1284,4,746,False
1284,5,874,False
