period,cost,year,return_difference_vs128
evaluation,BASE,2020,-0.15428175149999923
evaluation,BASE,2021,-0.05333604584037214
evaluation,BASE,2022,-0.032651999700913745
evaluation,BASE,2023,0.0
evaluation,BASE,2024,-0.11234005797796666
evaluation,BASE,2025,0.02313755372714106
evaluation,BASE,2026,-0.10220349992821597
evaluation,STRESS,2020,-0.15337740439999978
evaluation,STRESS,2021,-0.05688376972023526
evaluation,STRESS,2022,-0.03393255381506198
evaluation,STRESS,2023,0.0
evaluation,STRESS,2024,-0.11483026485281979
evaluation,STRESS,2025,0.02452271572575608
evaluation,STRESS,2026,-0.10300838997597578
earlier_diagnostic,BASE,2015,0.0
earlier_diagnostic,BASE,2016,0.0
earlier_diagnostic,BASE,2017,-0.026351258363681018
earlier_diagnostic,BASE,2018,0.04768225699779958
earlier_diagnostic,BASE,2019,-0.07242575283781144
earlier_diagnostic,STRESS,2015,0.0
earlier_diagnostic,STRESS,2016,0.0
earlier_diagnostic,STRESS,2017,-0.026323731654222193
earlier_diagnostic,STRESS,2018,0.04765458949033507
earlier_diagnostic,STRESS,2019,-0.09935148947917481
