period,cost,entry_date,exit_date_new,exit_date_old,net_profit_cny_new,net_profit_cny_old,exit_reasons_new,exit_reasons_old
evaluation,BASE,2020-02-05,2020-02-07,2020-02-24,4248.773760000011,17551.712640000012,连续两个收盘预测继续持有收益为负，学习条件请求退出,连续两个收盘预测继续持有收益为负，学习条件请求退出
evaluation,BASE,2020-07-01,2020-07-03,2020-07-07,9315.59897999998,32499.69695999997,连续两个收盘预测继续持有收益为负，学习条件请求退出,连续两个收盘预测继续持有收益为负，学习条件请求退出
evaluation,BASE,2020-08-19,2020-08-21,2020-09-30,-4727.193839999993,-10357.880399999996,连续两个收盘预测继续持有收益为负，学习条件请求退出,本持仓模式的价格退出条件成立
evaluation,BASE,2021-01-05,2021-01-07,2021-01-14,6288.757980000024,14224.61633999998,连续两个收盘预测继续持有收益为负，学习条件请求退出,连续两个收盘预测继续持有收益为负，学习条件请求退出
evaluation,BASE,2021-02-03,2021-02-26,2021-02-19,-4307.881599999964,11215.207079999993,连续两个收盘预测继续持有收益为负，学习条件请求退出,连续两个收盘预测继续持有收益为负，学习条件请求退出
evaluation,BASE,2021-06-08,2021-06-10,2021-07-28,-1914.6824799999888,-24700.919999999984,连续两个收盘预测继续持有收益为负，学习条件请求退出,持仓含分红收益触及固定止损；含分红持仓价值从周期高点回落至追踪退出线
evaluation,BASE,2021-07-07,2021-07-09,,283.06849999993574,,连续两个收盘预测继续持有收益为负，学习条件请求退出,
evaluation,BASE,2021-10-29,2021-11-02,2021-12-13,338.3764800000354,10329.403900000005,连续两个收盘预测继续持有收益为负，学习条件请求退出,连续两个收盘预测继续持有收益为负，学习条件请求退出
evaluation,BASE,2021-11-25,2021-11-29,,-4429.947279999993,,连续两个收盘预测继续持有收益为负，学习条件请求退出,
evaluation,BASE,2021-12-02,2021-12-06,,2247.215360000002,,连续两个收盘预测继续持有收益为负，学习条件请求退出,
evaluation,BASE,2022-05-13,2022-05-17,2022-06-08,-1743.3002399999823,11954.959680000058,连续两个收盘预测继续持有收益为负，学习条件请求退出,连续两个收盘预测继续持有收益为负，学习条件请求退出
evaluation,BASE,2022-06-08,2022-06-10,,-1649.7712000000463,,连续两个收盘预测继续持有收益为负，学习条件请求退出,
evaluation,BASE,2022-08-10,2022-08-12,2022-09-08,2043.5343599999612,-5399.229500000016,连续两个收盘预测继续持有收益为负，学习条件请求退出,本持仓模式的价格退出条件成立
evaluation,BASE,2024-02-19,2024-02-21,2024-02-26,527.5036000000255,7363.206000000006,连续两个收盘预测继续持有收益为负，学习条件请求退出,连续两个收盘预测继续持有收益为负，学习条件请求退出
evaluation,BASE,2024-06-18,2024-07-29,2024-07-18,-4903.860780000017,-999.6410000000031,连续两个收盘预测继续持有收益为负，学习条件请求退出,连续两个收盘预测继续持有收益为负，学习条件请求退出
evaluation,BASE,2024-08-02,2024-08-06,2024-09-12,-2160.425279999996,-15599.591279999991,连续两个收盘预测继续持有收益为负，学习条件请求退出,持仓含分红收益触及固定止损
evaluation,BASE,2024-08-28,2024-08-30,,-1967.2016000000003,,连续两个收盘预测继续持有收益为负，学习条件请求退出,
evaluation,BASE,2024-09-04,2024-09-10,,-4325.809199999989,,连续两个收盘预测继续持有收益为负，学习条件请求退出,
evaluation,BASE,2024-09-25,2024-09-27,2024-09-30,11367.589659999969,36316.57100000005,连续两个收盘预测继续持有收益为负，学习条件请求退出,连续两个收盘预测继续持有收益为负，学习条件请求退出
evaluation,BASE,2025-04-10,2025-07-09,2025-05-08,16714.85519999999,7101.703200000047,预定最长持有交易日到期,连续两个收盘预测继续持有收益为负，学习条件请求退出
evaluation,BASE,2025-06-03,,2025-06-26,,9658.767300000009,,连续两个收盘预测继续持有收益为负，学习条件请求退出
evaluation,BASE,2025-12-19,2026-02-04,2026-01-07,4112.7059199999785,14899.535999999964,本持仓模式的价格退出条件成立,连续两个收盘预测继续持有收益为负，学习条件请求退出
evaluation,BASE,2026-01-16,,2026-02-04,,-8867.703019999957,,本持仓模式的价格退出条件成立
evaluation,BASE,2026-05-06,2026-05-22,2026-05-13,-2122.372559999989,4160.4443999999785,连续两个收盘预测继续持有收益为负，学习条件请求退出,连续两个收盘预测继续持有收益为负，学习条件请求退出
evaluation,BASE,2026-06-05,2026-06-12,2026-06-22,-4833.859759999963,4165.9629600000335,连续两个收盘预测继续持有收益为负，学习条件请求退出,连续两个收盘预测继续持有收益为负，学习条件请求退出
evaluation,BASE,2026-06-23,2026-06-30,,-5992.222559999995,,连续两个收盘预测继续持有收益为负，学习条件请求退出,
evaluation,BASE,2026-07-23,2026-07-30,2026-08-14,-6743.507520000014,-2963.545199999993,连续两个收盘预测继续持有收益为负，学习条件请求退出,研究终点统一开盘退出
evaluation,BASE,2026-08-07,2026-08-14,,1007.657039999991,,研究终点统一开盘退出,
evaluation,STRESS,2020-02-05,2020-02-07,2020-02-24,3949.2536799999934,17224.341519999987,连续两个收盘预测继续持有收益为负，学习条件请求退出,连续两个收盘预测继续持有收益为负，学习条件请求退出
evaluation,STRESS,2020-07-01,2020-07-03,2020-07-07,9018.740879999998,32074.51455999998,连续两个收盘预测继续持有收益为负，学习条件请求退出,连续两个收盘预测继续持有收益为负，学习条件请求退出
evaluation,STRESS,2020-08-19,2020-08-21,2020-09-30,-4964.016959999979,-10619.397599999967,连续两个收盘预测继续持有收益为负，学习条件请求退出,本持仓模式的价格退出条件成立
evaluation,STRESS,2021-01-05,2021-01-07,2021-01-14,5939.080840000039,13764.148719999996,连续两个收盘预测继续持有收益为负，学习条件请求退出,连续两个收盘预测继续持有收益为负，学习条件请求退出
evaluation,STRESS,2021-02-03,2021-02-26,2021-02-19,-4603.892799999972,10763.862119999976,连续两个收盘预测继续持有收益为负，学习条件请求退出,连续两个收盘预测继续持有收益为负，学习条件请求退出
evaluation,STRESS,2021-06-08,2021-06-10,2021-07-28,-2220.50039999999,-24851.44512000002,连续两个收盘预测继续持有收益为负，学习条件请求退出,持仓含分红收益触及固定止损；含分红持仓价值从周期高点回落至追踪退出线
evaluation,STRESS,2021-07-07,2021-07-09,,-43.92699999999604,,连续两个收盘预测继续持有收益为负，学习条件请求退出,
evaluation,STRESS,2021-10-29,2021-11-02,2021-12-13,84.93455999999424,9885.849600000016,连续两个收盘预测继续持有收益为负，学习条件请求退出,连续两个收盘预测继续持有收益为负，学习条件请求退出
evaluation,STRESS,2021-11-25,2021-11-29,,-4623.9149599999655,,连续两个收盘预测继续持有收益为负，学习条件请求退出,
evaluation,STRESS,2021-12-02,2021-12-06,,1969.6071999999983,,连续两个收盘预测继续持有收益为负，学习条件请求退出,
evaluation,STRESS,2022-05-13,2022-05-17,2022-06-08,-2005.9750399999607,11471.807519999971,连续两个收盘预测继续持有收益为负，学习条件请求退出,连续两个收盘预测继续持有收益为负，学习条件请求退出
evaluation,STRESS,2022-06-08,2022-06-10,,-1900.00608000005,,连续两个收盘预测继续持有收益为负，学习条件请求退出,
evaluation,STRESS,2022-08-10,2022-08-12,2022-09-08,1739.3740000000107,-5678.294999999984,连续两个收盘预测继续持有收益为负，学习条件请求退出,本持仓模式的价格退出条件成立
evaluation,STRESS,2024-02-19,2024-02-21,2024-02-26,197.0529599999718,6853.626000000018,连续两个收盘预测继续持有收益为负，学习条件请求退出,连续两个收盘预测继续持有收益为负，学习条件请求退出
evaluation,STRESS,2024-06-18,2024-07-29,2024-07-18,-5110.052439999941,-1380.6787999999651,连续两个收盘预测继续持有收益为负，学习条件请求退出,连续两个收盘预测继续持有收益为负，学习条件请求退出
evaluation,STRESS,2024-08-02,2024-08-06,2024-09-12,-2415.668800000014,-15728.388680000033,连续两个收盘预测继续持有收益为负，学习条件请求退出,持仓含分红收益触及固定止损
evaluation,STRESS,2024-08-28,2024-08-30,,-2228.244479999994,,连续两个收盘预测继续持有收益为负，学习条件请求退出,
evaluation,STRESS,2024-09-04,2024-09-10,,-4521.661999999982,,连续两个收盘预测继续持有收益为负，学习条件请求退出,
evaluation,STRESS,2024-09-25,2024-09-27,2024-09-30,10766.69272000002,35268.33939999997,连续两个收盘预测继续持有收益为负，学习条件请求退出,连续两个收盘预测继续持有收益为负，学习条件请求退出
evaluation,STRESS,2025-04-10,2025-07-09,2025-05-08,15956.428799999994,6563.138000000035,预定最长持有交易日到期,连续两个收盘预测继续持有收益为负，学习条件请求退出
evaluation,STRESS,2025-06-03,,2025-06-26,,9059.299200000009,,连续两个收盘预测继续持有收益为负，学习条件请求退出
evaluation,STRESS,2025-12-19,2026-02-04,2026-01-07,3722.0377599999774,14202.84799999994,本持仓模式的价格退出条件成立,连续两个收盘预测继续持有收益为负，学习条件请求退出
evaluation,STRESS,2026-01-16,,2026-02-04,,-9032.071839999931,,本持仓模式的价格退出条件成立
