fit_index,fit_origin,source_input_identity,first_fit_index,reused,independent_class_parameter_max_error,active_factor_count
2035,2020-10-09,809eeeaee25f9c2010732b36fb6b9b63957fe963773f208bec80297e4b470068,2035,False,1.6370526052052328e-15,7
2051,2020-11-02,809eeeaee25f9c2010732b36fb6b9b63957fe963773f208bec80297e4b470068,2035,True,1.6370526052052328e-15,7
2072,2020-12-01,809eeeaee25f9c2010732b36fb6b9b63957fe963773f208bec80297e4b470068,2035,True,1.6370526052052328e-15,7
2095,2021-01-04,809eeeaee25f9c2010732b36fb6b9b63957fe963773f208bec80297e4b470068,2035,True,1.6370526052052328e-15,7
2115,2021-02-01,809eeeaee25f9c2010732b36fb6b9b63957fe963773f208bec80297e4b470068,2035,True,1.6370526052052328e-15,7
2130,2021-03-01,65f476331433311a5ebd38d7e04e5cfbe675defca16a9f796902a638fa5a257b,2130,False,2.3597502834453308e-15,7
2153,2021-04-01,65f476331433311a5ebd38d7e04e5cfbe675defca16a9f796902a638fa5a257b,2130,True,2.3597502834453308e-15,7
2174,2021-05-06,65f476331433311a5ebd38d7e04e5cfbe675defca16a9f796902a638fa5a257b,2130,True,2.3597502834453308e-15,7
2192,2021-06-01,65f476331433311a5ebd38d7e04e5cfbe675defca16a9f796902a638fa5a257b,2130,True,2.3597502834453308e-15,7
2213,2021-07-01,65f476331433311a5ebd38d7e04e5cfbe675defca16a9f796902a638fa5a257b,2130,True,2.3597502834453308e-15,7
2235,2021-08-02,28693a776993ef1c3ce0beecb382d246104cce4adefea731bb74072df45fbf62,2235,False,1.6370526052052328e-15,7
2257,2021-09-01,28693a776993ef1c3ce0beecb382d246104cce4adefea731bb74072df45fbf62,2235,True,1.6370526052052328e-15,7
2277,2021-10-08,28693a776993ef1c3ce0beecb382d246104cce4adefea731bb74072df45fbf62,2235,True,1.6370526052052328e-15,7
2293,2021-11-01,28693a776993ef1c3ce0beecb382d246104cce4adefea731bb74072df45fbf62,2235,True,1.6370526052052328e-15,7
2315,2021-12-01,28693a776993ef1c3ce0beecb382d246104cce4adefea731bb74072df45fbf62,2235,True,1.6370526052052328e-15,7
2338,2022-01-04,28693a776993ef1c3ce0beecb382d246104cce4adefea731bb74072df45fbf62,2235,True,1.6370526052052328e-15,7
2357,2022-02-07,a1d2870d25de2b9748ff8a7c5108d18ac32f6609e7eea4204ae033e27041a7ac,2357,False,1.249527258613379e-15,7
2373,2022-03-01,a1d2870d25de2b9748ff8a7c5108d18ac32f6609e7eea4204ae033e27041a7ac,2357,True,1.249527258613379e-15,7
2396,2022-04-01,a1d2870d25de2b9748ff8a7c5108d18ac32f6609e7eea4204ae033e27041a7ac,2357,True,1.249527258613379e-15,7
2415,2022-05-05,a1d2870d25de2b9748ff8a7c5108d18ac32f6609e7eea4204ae033e27041a7ac,2357,True,1.249527258613379e-15,7
2434,2022-06-01,a1d2870d25de2b9748ff8a7c5108d18ac32f6609e7eea4204ae033e27041a7ac,2357,True,1.249527258613379e-15,7
2455,2022-07-01,a1d2870d25de2b9748ff8a7c5108d18ac32f6609e7eea4204ae033e27041a7ac,2357,True,1.249527258613379e-15,7
2476,2022-08-01,a1d2870d25de2b9748ff8a7c5108d18ac32f6609e7eea4204ae033e27041a7ac,2357,True,1.249527258613379e-15,7
2499,2022-09-01,9cf5033c0afa2c357ee77dfb3f3aaffb1b2ce0ce84125c287de759c5fe2e9877,2499,False,2.7472756300371845e-15,7
2520,2022-10-10,0e90be5cf4f477c1e95c0b6b44ec3fb2146b610d2d79ac9ed5f00b6a146ea1c6,2520,False,2.8038394930885982e-15,7
2536,2022-11-01,0e90be5cf4f477c1e95c0b6b44ec3fb2146b610d2d79ac9ed5f00b6a146ea1c6,2520,True,2.8038394930885982e-15,7
2558,2022-12-01,0e90be5cf4f477c1e95c0b6b44ec3fb2146b610d2d79ac9ed5f00b6a146ea1c6,2520,True,2.8038394930885982e-15,7
2580,2023-01-03,0e90be5cf4f477c1e95c0b6b44ec3fb2146b610d2d79ac9ed5f00b6a146ea1c6,2520,True,2.8038394930885982e-15,7
2596,2023-02-01,0e90be5cf4f477c1e95c0b6b44ec3fb2146b610d2d79ac9ed5f00b6a146ea1c6,2520,True,2.8038394930885982e-15,7
2616,2023-03-01,0e90be5cf4f477c1e95c0b6b44ec3fb2146b610d2d79ac9ed5f00b6a146ea1c6,2520,True,2.8038394930885982e-15,7
2639,2023-04-03,0e90be5cf4f477c1e95c0b6b44ec3fb2146b610d2d79ac9ed5f00b6a146ea1c6,2520,True,2.8038394930885982e-15,7
2658,2023-05-04,0e90be5cf4f477c1e95c0b6b44ec3fb2146b610d2d79ac9ed5f00b6a146ea1c6,2520,True,2.8038394930885982e-15,7
2678,2023-06-01,0e90be5cf4f477c1e95c0b6b44ec3fb2146b610d2d79ac9ed5f00b6a146ea1c6,2520,True,2.8038394930885982e-15,7
2698,2023-07-03,0e90be5cf4f477c1e95c0b6b44ec3fb2146b610d2d79ac9ed5f00b6a146ea1c6,2520,True,2.8038394930885982e-15,7
2719,2023-08-01,0e90be5cf4f477c1e95c0b6b44ec3fb2146b610d2d79ac9ed5f00b6a146ea1c6,2520,True,2.8038394930885982e-15,7
2742,2023-09-01,0e90be5cf4f477c1e95c0b6b44ec3fb2146b610d2d79ac9ed5f00b6a146ea1c6,2520,True,2.8038394930885982e-15,7
2762,2023-10-09,0e90be5cf4f477c1e95c0b6b44ec3fb2146b610d2d79ac9ed5f00b6a146ea1c6,2520,True,2.8038394930885982e-15,7
2779,2023-11-01,0e90be5cf4f477c1e95c0b6b44ec3fb2146b610d2d79ac9ed5f00b6a146ea1c6,2520,True,2.8038394930885982e-15,7
2801,2023-12-01,0e90be5cf4f477c1e95c0b6b44ec3fb2146b610d2d79ac9ed5f00b6a146ea1c6,2520,True,2.8038394930885982e-15,7
2822,2024-01-02,0e90be5cf4f477c1e95c0b6b44ec3fb2146b610d2d79ac9ed5f00b6a146ea1c6,2520,True,2.8038394930885982e-15,7
2844,2024-02-01,0e90be5cf4f477c1e95c0b6b44ec3fb2146b610d2d79ac9ed5f00b6a146ea1c6,2520,True,2.8038394930885982e-15,7
2859,2024-03-01,0e90be5cf4f477c1e95c0b6b44ec3fb2146b610d2d79ac9ed5f00b6a146ea1c6,2520,True,2.8038394930885982e-15,7
2880,2024-04-01,0e90be5cf4f477c1e95c0b6b44ec3fb2146b610d2d79ac9ed5f00b6a146ea1c6,2520,True,2.8038394930885982e-15,7
2900,2024-05-06,0e90be5cf4f477c1e95c0b6b44ec3fb2146b610d2d79ac9ed5f00b6a146ea1c6,2520,True,2.8038394930885982e-15,7
2920,2024-06-03,8a6255c33fc2c0e0429792014c975b441c98b0de3d10bfc050e6598cc9f0c571,2920,False,2.0811418150552954e-15,7
2939,2024-07-01,8a6255c33fc2c0e0429792014c975b441c98b0de3d10bfc050e6598cc9f0c571,2920,True,2.0811418150552954e-15,7
2962,2024-08-01,51ef1d2b7208fa545d603d364d69d9b14519b1febf4ab8f8d9626784d31b1431,2962,False,1.6936164686702368e-15,7
2984,2024-09-02,51ef1d2b7208fa545d603d364d69d9b14519b1febf4ab8f8d9626784d31b1431,2962,True,1.6936164686702368e-15,7
3003,2024-10-08,b15cbc77a4615e60cfe805ac67686e77a972ccadfad853e4bd003094def68ffe,3003,False,7.488741855051076e-16,7
3021,2024-11-01,80a58080f9fdb637b3b8d5da03f555a6194890cbea03866cdca06408a70c50b6,3021,False,1.1929633953551702e-15,7
3042,2024-12-02,80a58080f9fdb637b3b8d5da03f555a6194890cbea03866cdca06408a70c50b6,3021,True,1.1929633953551702e-15,7
3064,2025-01-02,80a58080f9fdb637b3b8d5da03f555a6194890cbea03866cdca06408a70c50b6,3021,True,1.1929633953551702e-15,7
3082,2025-02-05,80a58080f9fdb637b3b8d5da03f555a6194890cbea03866cdca06408a70c50b6,3021,True,1.1929633953551702e-15,7
3100,2025-03-03,80a58080f9fdb637b3b8d5da03f555a6194890cbea03866cdca06408a70c50b6,3021,True,1.1929633953551702e-15,7
3121,2025-04-01,80a58080f9fdb637b3b8d5da03f555a6194890cbea03866cdca06408a70c50b6,3021,True,1.1929633953551702e-15,7
3142,2025-05-06,80a58080f9fdb637b3b8d5da03f555a6194890cbea03866cdca06408a70c50b6,3021,True,1.1929633953551702e-15,7
3161,2025-06-03,80a58080f9fdb637b3b8d5da03f555a6194890cbea03866cdca06408a70c50b6,3021,True,1.1929633953551702e-15,7
3181,2025-07-01,80a58080f9fdb637b3b8d5da03f555a6194890cbea03866cdca06408a70c50b6,3021,True,1.1929633953551702e-15,7
3204,2025-08-01,9133acbc4344b95c1a24ee164551c08f18fccbe57b560a804ba5340dbc7cde61,3204,False,1.4150080002802015e-15,7
3225,2025-09-01,9133acbc4344b95c1a24ee164551c08f18fccbe57b560a804ba5340dbc7cde61,3204,True,1.4150080002802015e-15,7
3247,2025-10-09,9133acbc4344b95c1a24ee164551c08f18fccbe57b560a804ba5340dbc7cde61,3204,True,1.4150080002802015e-15,7
3264,2025-11-03,d05876b5d11339fd39cbda60ccc4369be4c2fd060392ab522137c62625d0727b,3264,False,9.709187904301389e-16,7
3284,2025-12-01,d05876b5d11339fd39cbda60ccc4369be4c2fd060392ab522137c62625d0727b,3264,True,9.709187904301389e-16,7
3307,2026-01-05,d05876b5d11339fd39cbda60ccc4369be4c2fd060392ab522137c62625d0727b,3264,True,9.709187904301389e-16,7
3327,2026-02-02,dc05c3c1441e2901cdb15533a3b56af451832a6dfce14baf7dff8ca35c20343b,3327,False,1.1929633953551702e-15,7
3341,2026-03-02,a26aaa3754622813d5c491e58a91bfcd9dceaeeafab4506f33e7d7d4ffcea68e,3341,False,8.0543804876331645e-16,7
3363,2026-04-01,a26aaa3754622813d5c491e58a91bfcd9dceaeeafab4506f33e7d7d4ffcea68e,3341,True,8.0543804876331645e-16,7
3384,2026-05-06,a26aaa3754622813d5c491e58a91bfcd9dceaeeafab4506f33e7d7d4ffcea68e,3341,True,8.0543804876331645e-16,7
3402,2026-06-01,a26aaa3754622813d5c491e58a91bfcd9dceaeeafab4506f33e7d7d4ffcea68e,3341,True,8.0543804876331645e-16,7
3423,2026-07-01,a26aaa3754622813d5c491e58a91bfcd9dceaeeafab4506f33e7d7d4ffcea68e,3341,True,8.0543804876331645e-16,7
3446,2026-08-03,9b7dbb5534363676063e19a048aed053f2a7efa321ac5c62a7f0ac3c6c534582,3446,False,1.1929633953551702e-15,7
