period,cost,cycle_id,entry_date,selected_model_date,prediction_identity,states
evaluation,BASE,1.0,2020-02-05,2020-02-03,c1d030fcb0e5af387748a7c141965deb1447ab64aea165b2836a5972c1225010,2
evaluation,BASE,2.0,2020-07-01,2020-07-01,22104a650359019e18654f983c12e9804d878bed5701dc809e9a29c04adb5379,2
evaluation,BASE,3.0,2020-08-19,2020-08-03,22104a650359019e18654f983c12e9804d878bed5701dc809e9a29c04adb5379,2
evaluation,BASE,4.0,2021-01-05,2021-01-04,c38159bfbf4735efa976e1933f314f0c9c1315766077b3d95313b29dda024500,2
evaluation,BASE,5.0,2021-02-03,2021-02-01,c38159bfbf4735efa976e1933f314f0c9c1315766077b3d95313b29dda024500,12
evaluation,BASE,6.0,2021-06-08,2021-06-01,3d06c586fe2be3fdcdb9f2785b8368799cf6be2b4911a6a8d795ec8f75d52365,2
evaluation,BASE,7.0,2021-07-07,2021-07-01,3d06c586fe2be3fdcdb9f2785b8368799cf6be2b4911a6a8d795ec8f75d52365,2
evaluation,BASE,8.0,2021-10-29,2021-10-08,9d72eb9020ac60a1b7cb4a956c3a46e998170739a122d0acc34cbb3d686973fb,2
evaluation,BASE,9.0,2021-11-25,2021-11-01,9d72eb9020ac60a1b7cb4a956c3a46e998170739a122d0acc34cbb3d686973fb,2
evaluation,BASE,10.0,2021-12-02,2021-12-01,9d72eb9020ac60a1b7cb4a956c3a46e998170739a122d0acc34cbb3d686973fb,2
evaluation,BASE,11.0,2022-05-13,2022-05-05,cb3b5fd6f5ba6c8bdf32b3cc96b5fdf0988bedc45d447959d1718d1d4997d74d,2
evaluation,BASE,12.0,2022-06-08,2022-06-01,cb3b5fd6f5ba6c8bdf32b3cc96b5fdf0988bedc45d447959d1718d1d4997d74d,2
evaluation,BASE,13.0,2022-08-10,2022-08-01,cb3b5fd6f5ba6c8bdf32b3cc96b5fdf0988bedc45d447959d1718d1d4997d74d,2
evaluation,BASE,14.0,2024-02-19,2024-02-01,59cf0316edf52f8e17708d473c5e69e95443ec6690eda7d6ec91d370e77e9970,2
evaluation,BASE,15.0,2024-06-18,2024-06-03,660fd70d88d2f042be04ecddd7b9985f7268430d86ff38ac8964c1700eaddee8,29
evaluation,BASE,16.0,2024-08-02,2024-08-01,3937d8ffc6984146458299346581f8d148661b3b043c47fbc0be0dc7ca8706c6,2
evaluation,BASE,17.0,2024-08-28,2024-08-01,3937d8ffc6984146458299346581f8d148661b3b043c47fbc0be0dc7ca8706c6,2
evaluation,BASE,18.0,2024-09-04,2024-09-02,3937d8ffc6984146458299346581f8d148661b3b043c47fbc0be0dc7ca8706c6,4
evaluation,BASE,19.0,2024-09-25,2024-09-02,3937d8ffc6984146458299346581f8d148661b3b043c47fbc0be0dc7ca8706c6,2
evaluation,BASE,20.0,2025-04-10,2025-04-01,84f5f962be73e7fba432a18a0487c659005fdf4cd971b9938a7a7117d5c1022b,60
evaluation,BASE,21.0,2025-12-19,2025-12-01,622c2494aaf4a9f061ea55e317f793fb9283a483ced53020bb3b593a8816842f,31
evaluation,BASE,22.0,2026-05-06,2026-05-06,35318ddc6161d6dffaa8f825c6d059bab4255140c28674aa7ae80c946ab92e60,12
evaluation,BASE,23.0,2026-06-05,2026-06-01,35318ddc6161d6dffaa8f825c6d059bab4255140c28674aa7ae80c946ab92e60,5
evaluation,BASE,24.0,2026-06-23,2026-06-01,35318ddc6161d6dffaa8f825c6d059bab4255140c28674aa7ae80c946ab92e60,5
evaluation,BASE,25.0,2026-07-23,2026-07-01,35318ddc6161d6dffaa8f825c6d059bab4255140c28674aa7ae80c946ab92e60,5
evaluation,BASE,26.0,2026-08-07,2026-08-03,34c7c627cedd25a0bb3b74b6829f6d18a4cc4855b4caf8649cfaadf6fa968bf3,5
evaluation,STRESS,1.0,2020-02-05,2020-02-03,c1d030fcb0e5af387748a7c141965deb1447ab64aea165b2836a5972c1225010,2
evaluation,STRESS,2.0,2020-07-01,2020-07-01,22104a650359019e18654f983c12e9804d878bed5701dc809e9a29c04adb5379,2
evaluation,STRESS,3.0,2020-08-19,2020-08-03,22104a650359019e18654f983c12e9804d878bed5701dc809e9a29c04adb5379,2
evaluation,STRESS,4.0,2021-01-05,2021-01-04,c38159bfbf4735efa976e1933f314f0c9c1315766077b3d95313b29dda024500,2
evaluation,STRESS,5.0,2021-02-03,2021-02-01,c38159bfbf4735efa976e1933f314f0c9c1315766077b3d95313b29dda024500,12
evaluation,STRESS,6.0,2021-06-08,2021-06-01,3d06c586fe2be3fdcdb9f2785b8368799cf6be2b4911a6a8d795ec8f75d52365,2
evaluation,STRESS,7.0,2021-07-07,2021-07-01,3d06c586fe2be3fdcdb9f2785b8368799cf6be2b4911a6a8d795ec8f75d52365,2
evaluation,STRESS,8.0,2021-10-29,2021-10-08,9d72eb9020ac60a1b7cb4a956c3a46e998170739a122d0acc34cbb3d686973fb,2
evaluation,STRESS,9.0,2021-11-25,2021-11-01,9d72eb9020ac60a1b7cb4a956c3a46e998170739a122d0acc34cbb3d686973fb,2
evaluation,STRESS,10.0,2021-12-02,2021-12-01,9d72eb9020ac60a1b7cb4a956c3a46e998170739a122d0acc34cbb3d686973fb,2
evaluation,STRESS,11.0,2022-05-13,2022-05-05,cb3b5fd6f5ba6c8bdf32b3cc96b5fdf0988bedc45d447959d1718d1d4997d74d,2
evaluation,STRESS,12.0,2022-06-08,2022-06-01,cb3b5fd6f5ba6c8bdf32b3cc96b5fdf0988bedc45d447959d1718d1d4997d74d,2
evaluation,STRESS,13.0,2022-08-10,2022-08-01,cb3b5fd6f5ba6c8bdf32b3cc96b5fdf0988bedc45d447959d1718d1d4997d74d,2
evaluation,STRESS,14.0,2024-02-19,2024-02-01,59cf0316edf52f8e17708d473c5e69e95443ec6690eda7d6ec91d370e77e9970,2
evaluation,STRESS,15.0,2024-06-18,2024-06-03,660fd70d88d2f042be04ecddd7b9985f7268430d86ff38ac8964c1700eaddee8,29
evaluation,STRESS,16.0,2024-08-02,2024-08-01,3937d8ffc6984146458299346581f8d148661b3b043c47fbc0be0dc7ca8706c6,2
evaluation,STRESS,17.0,2024-08-28,2024-08-01,3937d8ffc6984146458299346581f8d148661b3b043c47fbc0be0dc7ca8706c6,2
evaluation,STRESS,18.0,2024-09-04,2024-09-02,3937d8ffc6984146458299346581f8d148661b3b043c47fbc0be0dc7ca8706c6,4
evaluation,STRESS,19.0,2024-09-25,2024-09-02,3937d8ffc6984146458299346581f8d148661b3b043c47fbc0be0dc7ca8706c6,2
evaluation,STRESS,20.0,2025-04-10,2025-04-01,84f5f962be73e7fba432a18a0487c659005fdf4cd971b9938a7a7117d5c1022b,60
evaluation,STRESS,21.0,2025-12-19,2025-12-01,622c2494aaf4a9f061ea55e317f793fb9283a483ced53020bb3b593a8816842f,31
evaluation,STRESS,22.0,2026-05-06,2026-05-06,35318ddc6161d6dffaa8f825c6d059bab4255140c28674aa7ae80c946ab92e60,12
evaluation,STRESS,23.0,2026-06-05,2026-06-01,35318ddc6161d6dffaa8f825c6d059bab4255140c28674aa7ae80c946ab92e60,5
evaluation,STRESS,24.0,2026-06-23,2026-06-01,35318ddc6161d6dffaa8f825c6d059bab4255140c28674aa7ae80c946ab92e60,5
evaluation,STRESS,25.0,2026-07-23,2026-07-01,35318ddc6161d6dffaa8f825c6d059bab4255140c28674aa7ae80c946ab92e60,5
evaluation,STRESS,26.0,2026-08-07,2026-08-03,34c7c627cedd25a0bb3b74b6829f6d18a4cc4855b4caf8649cfaadf6fa968bf3,5
earlier_diagnostic,BASE,1.0,2015-01-05,2015-01-05,NO_MODEL,11
earlier_diagnostic,BASE,2.0,2015-02-11,2015-02-02,NO_MODEL,60
earlier_diagnostic,BASE,3.0,2015-06-03,2015-06-01,NO_MODEL,13
earlier_diagnostic,BASE,4.0,2015-09-29,2015-09-01,NO_MODEL,60
earlier_diagnostic,BASE,5.0,2016-05-03,2016-05-03,NO_MODEL,60
earlier_diagnostic,BASE,6.0,2017-05-18,2017-05-02,c497993dd5984d7049cf64f0b9894754bcd4625d702fe9b1a2bd94a852d6caf6,60
earlier_diagnostic,BASE,7.0,2018-10-09,2018-10-08,4240aaf6286b2f91a747e755256e0c98ee870fdae6860b6d6f29cff9ccf45118,2
earlier_diagnostic,BASE,8.0,2019-02-28,2019-02-01,58d36d5700b577dfad170bae2ba481ddfbb5537c624ecb0322e9893fef7a2227,2
earlier_diagnostic,BASE,9.0,2019-05-31,2019-05-06,58d36d5700b577dfad170bae2ba481ddfbb5537c624ecb0322e9893fef7a2227,2
earlier_diagnostic,STRESS,1.0,2015-01-05,2015-01-05,NO_MODEL,11
earlier_diagnostic,STRESS,2.0,2015-02-11,2015-02-02,NO_MODEL,60
earlier_diagnostic,STRESS,3.0,2015-06-03,2015-06-01,NO_MODEL,13
earlier_diagnostic,STRESS,4.0,2015-09-29,2015-09-01,NO_MODEL,60
earlier_diagnostic,STRESS,5.0,2016-05-03,2016-05-03,NO_MODEL,60
earlier_diagnostic,STRESS,6.0,2017-05-18,2017-05-02,c497993dd5984d7049cf64f0b9894754bcd4625d702fe9b1a2bd94a852d6caf6,60
earlier_diagnostic,STRESS,7.0,2018-10-09,2018-10-08,4240aaf6286b2f91a747e755256e0c98ee870fdae6860b6d6f29cff9ccf45118,2
earlier_diagnostic,STRESS,8.0,2019-02-28,2019-02-01,58d36d5700b577dfad170bae2ba481ddfbb5537c624ecb0322e9893fef7a2227,2
earlier_diagnostic,STRESS,9.0,2019-05-31,2019-05-06,58d36d5700b577dfad170bae2ba481ddfbb5537c624ecb0322e9893fef7a2227,2
