period,cost,holding_decisions,model_available_rows,no_model_rows,learned_exit_cycles,completed_round_trips,unfilled_requests
evaluation,BASE,200,200,0,23,26,0
evaluation,STRESS,200,200,0,23,26,0
earlier_diagnostic,BASE,270,66,204,3,9,0
earlier_diagnostic,STRESS,270,66,204,3,9,0
