period,cost,days,cycles,net_sharpe,net_profit
evaluation,BASE,1604,26,0.11596730906455104,6673.600939999975
evaluation,STRESS,1604,26,0.018925430839720658,-692.39079999979
earlier_diagnostic,BASE,1219,9,0.7159838316602426,92546.96387999994
earlier_diagnostic,STRESS,1219,9,0.6916014071977953,88450.53531999991
