origin,ts_code,institution,report_id,prior_report_id,profit_revision,target_fiscal_year,status
2024-09-30,000333.SZ,guosen,AP202408211639370914,AP202403281628434247,0.021557870314425888,2025.0,CURRENT_FORWARD_EPS_AVAILABLE
2024-09-30,601166.SH,guosen,AP202408261639463099,AP202404281631514466,0.02775735871579807,2025.0,CURRENT_FORWARD_EPS_AVAILABLE
2024-10-31,000333.SZ,guosen,AP202408211639370914,AP202403281628434247,0.021557870314425888,2025.0,CURRENT_FORWARD_EPS_AVAILABLE
2024-10-31,601166.SH,guosen,AP202408261639463099,AP202404281631514466,0.02775735871579807,2025.0,CURRENT_FORWARD_EPS_AVAILABLE
2024-11-29,000333.SZ,guosen,AP202411041640708828,AP202408211639370914,0.019767758430889786,2025.0,CURRENT_FORWARD_EPS_AVAILABLE
2024-11-29,601166.SH,guosen,AP202408261639463099,AP202408261639463099,0.0,2025.0,CURRENT_FORWARD_EPS_AVAILABLE
2024-12-31,000333.SZ,guosen,AP202411041640708828,AP202408211639370914,0.019767758430889786,2025.0,CURRENT_FORWARD_EPS_AVAILABLE
2024-12-31,601166.SH,guosen,AP202408261639463099,AP202408261639463099,0.0,2025.0,CURRENT_FORWARD_EPS_AVAILABLE
2025-01-27,000333.SZ,guosen,AP202411041640708828,AP202408211639370914,0.013033751580585546,2026.0,CURRENT_FORWARD_EPS_AVAILABLE
2025-01-27,601166.SH,guosen,AP202408261639463099,AP202408261639463099,0.0,2026.0,CURRENT_FORWARD_EPS_AVAILABLE
2025-02-28,000333.SZ,guosen,AP202502131643053017,AP202411041640708828,,2026.0,CURRENT_FORWARD_EPS_AVAILABLE
2025-02-28,601166.SH,guosen,,,,,NO_VIEW_LATEST_REPORT_MISSING_OR_STALE
2025-03-31,000333.SZ,guosen,AP202502131643053017,AP202411041640708828,,2026.0,CURRENT_FORWARD_EPS_AVAILABLE
2025-03-31,601166.SH,guosen,,,,,NO_VIEW_LATEST_REPORT_MISSING_OR_STALE
2025-04-30,000333.SZ,guosen,AP202503311649595017,AP202411041640708828,,2026.0,CURRENT_FORWARD_EPS_AVAILABLE
2025-04-30,601166.SH,guosen,AP202503311649636738,AP202408261639463099,,2026.0,CURRENT_FORWARD_EPS_AVAILABLE
2025-05-30,000333.SZ,guosen,AP202503311649595017,AP202502131643053017,0.007221604991026408,2026.0,CURRENT_FORWARD_EPS_AVAILABLE
2025-05-30,601166.SH,guosen,AP202504301665028879,,,2026.0,CURRENT_FORWARD_EPS_AVAILABLE
2025-06-30,000333.SZ,guosen,AP202503311649595017,AP202503311649595017,0.0,2026.0,CURRENT_FORWARD_EPS_AVAILABLE
2025-06-30,601166.SH,guosen,AP202504301665028879,AP202503311649636738,0.0,2026.0,CURRENT_FORWARD_EPS_AVAILABLE
2025-07-31,000333.SZ,guosen,AP202503311649595017,AP202503311649595017,0.0,2026.0,CURRENT_FORWARD_EPS_AVAILABLE
2025-07-31,601166.SH,guosen,AP202504301665028879,AP202504301665028879,0.0,2026.0,CURRENT_FORWARD_EPS_AVAILABLE
