cost,model,assumption,kind,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown,trading_days,mean_exposure,trade_count,commission,slippage_cost,terminal_unliquidated,max_accounting_error,annualized_return_excess_vs_buy_hold,meets_point_target
BASE,S1_TREND_REBOUND_D50_L1,OPEN_ONLY,LIMIT_POLICY,0.008365887100000448,0.0012577248487976361,0.0021127864524661693,0.04124701792128186,0.051222768552585556,-0.10325671638761852,1604,0.02841223366547553,14,553.9225800000002,1683.399999999952,False,2.9118041311448906e-11,-0.03499974679681934,False
BASE,S1_TREND_REBOUND_D50_L3,OPEN_ONLY,LIMIT_POLICY,-0.021237192600000378,-0.0032333891097234683,-0.001014012420044234,0.06658107133787941,-0.015229740219985624,-0.181000206750915,1604,0.08837791884390753,42,1588.83852,4852.000000000016,False,2.8322233447397593e-11,-0.039490860755340446,False
BASE,S1_TREND_REBOUND_D100_L1,OPEN_ONLY,LIMIT_POLICY,0.010489646300000125,0.0015755995742891104,0.002292738877133424,0.037762811888366,0.060714199035580105,-0.10375894592708983,1604,0.014191067177505236,6,243.77074000000005,724.6000000000117,False,2.3874235921539366e-11,-0.03468187207132786,False
BASE,S1_TREND_REBOUND_D100_L3,OPEN_ONLY,LIMIT_POLICY,0.016258667200000007,0.0024362260855943854,0.004194898334337458,0.05917433368871631,0.07089050392023873,-0.1468349946109578,1604,0.052470212305382104,24,932.4665600000001,2772.2000000000075,False,2.8194335754960775e-11,-0.03382124556002259,False
BASE,R2_Z_CONFIRM_D50_L1,OPEN_ONLY,LIMIT_POLICY,0.05014288759999968,0.007408950910468614,0.008189109331543381,0.04006323921960272,0.20440457364557021,-0.10318198827669607,1604,0.026545589932921436,10,404.22248,1170.000000000012,False,2.262368070660159e-11,-0.02884852073514836,False
BASE,R2_Z_CONFIRM_D50_L3,OPEN_ONLY,LIMIT_POLICY,0.07888130110000034,0.011520828605419087,0.012964000605903173,0.05495687585922121,0.2358940606287747,-0.12328862596766417,1604,0.06494635726993031,24,971.43978,2770.600000000017,False,3.461764208623208e-11,-0.02473664304019789,False
BASE,R2_Z_CONFIRM_D100_L1,OPEN_ONLY,LIMIT_POLICY,0.010489646300000125,0.0015755995742891104,0.002292738877133424,0.037762811888366,0.060714199035580105,-0.10375894592708983,1604,0.014191067177505236,6,243.77074000000005,724.6000000000117,False,2.3874235921539366e-11,-0.03468187207132786,False
BASE,R2_Z_CONFIRM_D100_L3,OPEN_ONLY,LIMIT_POLICY,0.05573325700000032,0.00821624069656789,0.009367413303770547,0.048654500505262314,0.19252922559049593,-0.10372443437118016,1604,0.040844139529356976,16,649.9486,1852.4000000000065,False,3.505817858240334e-11,-0.028041230949049086,False
BASE,V1_CLIMAX_RECOVERY_D50_L1,OPEN_ONLY,LIMIT_POLICY,0.04712269579999977,0.006971293946724366,0.007123479892654721,0.01878967796862195,0.3791166567383785,-0.05488296666723314,1604,0.014885043210903988,6,241.46084000000002,671.0000000000097,False,1.77351466845721e-11,-0.02928617769889261,False
BASE,V1_CLIMAX_RECOVERY_D50_L3,OPEN_ONLY,LIMIT_POLICY,0.04712269579999977,0.006971293946724366,0.007123479892654721,0.01878967796862195,0.3791166567383785,-0.05488296666723314,1604,0.014885043210903988,6,241.46084000000002,671.0000000000097,False,1.77351466845721e-11,-0.02928617769889261,False
BASE,V1_CLIMAX_RECOVERY_D100_L1,OPEN_ONLY,LIMIT_POLICY,0.017799066499999756,0.0026653220782124737,0.0026711276720693413,0.004330891761082951,0.6167615861638202,-0.002403365987127091,1604,0.0024806764670709486,2,80.2867,245.4000000000093,False,1.6370904631912708e-11,-0.0335921495674045,False
BASE,V1_CLIMAX_RECOVERY_D100_L3,OPEN_ONLY,LIMIT_POLICY,0.017799066499999756,0.0026653220782124737,0.0026711276720693413,0.004330891761082951,0.6167615861638202,-0.002403365987127091,1604,0.0024806764670709486,2,80.2867,245.4000000000093,False,1.6370904631912708e-11,-0.0335921495674045,False
STRESS,S1_TREND_REBOUND_D50_L1,OPEN_ONLY,LIMIT_POLICY,0.028192671000000755,0.004203462346574974,0.004979493363266509,0.03948692064009757,0.12610487935111378,-0.10449375374642801,1604,0.020949775951022844,10,788.3658,2203.200000000002,False,2.8563817977556027e-11,-0.03188148216716767,False
STRESS,S1_TREND_REBOUND_D50_L3,OPEN_ONLY,LIMIT_POLICY,-0.011843685799998864,-0.0017959415983919878,0.0004320889997789377,0.06665536363522534,0.006482434064024696,-0.1879113339045723,1604,0.08531475547002748,42,3136.23716,8715.999999999985,False,3.504396772768814e-11,-0.03788088611213464,False
STRESS,S1_TREND_REBOUND_D100_L1,OPEN_ONLY,LIMIT_POLICY,0.006251105199999757,0.000940628420846005,0.001658255476994308,0.03774916038819709,0.043928274428927154,-0.10499864321008746,1604,0.014192953172077846,6,486.57896000000005,1346.799999999988,False,2.546585164964199e-11,-0.035144316092896644,False
