assumption,cost,model,orders_created,filled_orders,intraday_conditional_fills,expired_orders,invalidated_orders,observed_real_fills
OPEN_ONLY,BASE,S1_TREND_REBOUND_D50_L1,98,7,0,91,0,0
OPEN_ONLY,BASE,S1_TREND_REBOUND_D50_L3,68,21,0,33,14,0
OPEN_ONLY,BASE,S1_TREND_REBOUND_D100_L1,98,3,0,95,0,0
OPEN_ONLY,BASE,S1_TREND_REBOUND_D100_L3,72,12,0,43,17,0
OPEN_ONLY,BASE,R2_Z_CONFIRM_D50_L1,34,5,0,29,0,0
OPEN_ONLY,BASE,R2_Z_CONFIRM_D50_L3,26,12,0,13,1,0
OPEN_ONLY,BASE,R2_Z_CONFIRM_D100_L1,34,3,0,31,0,0
OPEN_ONLY,BASE,R2_Z_CONFIRM_D100_L3,27,8,0,18,1,0
OPEN_ONLY,BASE,V1_CLIMAX_RECOVERY_D50_L1,7,3,0,4,0,0
OPEN_ONLY,BASE,V1_CLIMAX_RECOVERY_D50_L3,7,3,0,4,0,0
OPEN_ONLY,BASE,V1_CLIMAX_RECOVERY_D100_L1,7,1,0,6,0,0
OPEN_ONLY,BASE,V1_CLIMAX_RECOVERY_D100_L3,7,1,0,6,0,0
OPEN_ONLY,STRESS,S1_TREND_REBOUND_D50_L1,98,5,0,93,0,0
OPEN_ONLY,STRESS,S1_TREND_REBOUND_D50_L3,69,21,0,34,14,0
OPEN_ONLY,STRESS,S1_TREND_REBOUND_D100_L1,98,3,0,95,0,0
OPEN_ONLY,STRESS,S1_TREND_REBOUND_D100_L3,72,12,0,43,17,0
OPEN_ONLY,STRESS,R2_Z_CONFIRM_D50_L1,34,4,0,30,0,0
OPEN_ONLY,STRESS,R2_Z_CONFIRM_D50_L3,26,12,0,13,1,0
OPEN_ONLY,STRESS,R2_Z_CONFIRM_D100_L1,34,3,0,31,0,0
OPEN_ONLY,STRESS,R2_Z_CONFIRM_D100_L3,27,8,0,18,1,0
OPEN_ONLY,STRESS,V1_CLIMAX_RECOVERY_D50_L1,7,3,0,4,0,0
OPEN_ONLY,STRESS,V1_CLIMAX_RECOVERY_D50_L3,7,3,0,4,0,0
OPEN_ONLY,STRESS,V1_CLIMAX_RECOVERY_D100_L1,7,1,0,6,0,0
OPEN_ONLY,STRESS,V1_CLIMAX_RECOVERY_D100_L3,7,1,0,6,0,0
PENETRATION,BASE,S1_TREND_REBOUND_D50_L1,81,35,29,46,0,0
PENETRATION,BASE,S1_TREND_REBOUND_D50_L3,64,38,31,21,5,0
PENETRATION,BASE,S1_TREND_REBOUND_D100_L1,87,18,15,69,0,0
PENETRATION,BASE,S1_TREND_REBOUND_D100_L3,67,27,22,30,10,0
PENETRATION,BASE,R2_Z_CONFIRM_D50_L1,25,16,12,9,0,0
PENETRATION,BASE,R2_Z_CONFIRM_D50_L3,25,18,13,7,0,0
PENETRATION,BASE,R2_Z_CONFIRM_D100_L1,29,10,7,19,0,0
PENETRATION,BASE,R2_Z_CONFIRM_D100_L3,26,14,10,11,1,0
PENETRATION,BASE,V1_CLIMAX_RECOVERY_D50_L1,7,4,1,3,0,0
PENETRATION,BASE,V1_CLIMAX_RECOVERY_D50_L3,7,4,1,3,0,0
PENETRATION,BASE,V1_CLIMAX_RECOVERY_D100_L1,7,2,1,5,0,0
PENETRATION,BASE,V1_CLIMAX_RECOVERY_D100_L3,7,2,1,5,0,0
PENETRATION,STRESS,S1_TREND_REBOUND_D50_L1,82,34,29,48,0,0
PENETRATION,STRESS,S1_TREND_REBOUND_D50_L3,64,38,32,21,5,0
PENETRATION,STRESS,S1_TREND_REBOUND_D100_L1,88,18,15,70,0,0
PENETRATION,STRESS,S1_TREND_REBOUND_D100_L3,67,26,21,31,10,0
PENETRATION,STRESS,R2_Z_CONFIRM_D50_L1,25,15,11,10,0,0
PENETRATION,STRESS,R2_Z_CONFIRM_D50_L3,25,18,13,7,0,0
PENETRATION,STRESS,R2_Z_CONFIRM_D100_L1,30,10,7,20,0,0
PENETRATION,STRESS,R2_Z_CONFIRM_D100_L3,26,14,10,11,1,0
PENETRATION,STRESS,V1_CLIMAX_RECOVERY_D50_L1,7,4,1,3,0,0
PENETRATION,STRESS,V1_CLIMAX_RECOVERY_D50_L3,7,4,1,3,0,0
PENETRATION,STRESS,V1_CLIMAX_RECOVERY_D100_L1,7,2,1,5,0,0
PENETRATION,STRESS,V1_CLIMAX_RECOVERY_D100_L3,7,2,1,5,0,0
