year,cost,model,assumption,kind,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown,trading_days,mean_exposure,trade_count,commission,slippage_cost,terminal_unliquidated,max_accounting_error
2020,BASE,S1_TREND_REBOUND_D50_L1,OPEN_ONLY,LIMIT_POLICY,0.032115357000000073,0.031981103915644196,0.0325568365559184,0.04666431112887924,0.6976817136762549,-0.029974838399999978,243,0.04430256249212816,4,157.12860000000003,501.5999999999686,False,2.7966962079517543e-11
2021,BASE,S1_TREND_REBOUND_D50_L1,OPEN_ONLY,LIMIT_POLICY,0.0,0.0,0.0,0.0,,0.0,243,0.0,0,0.0,0.0,False,0.0
2022,BASE,S1_TREND_REBOUND_D50_L1,OPEN_ONLY,LIMIT_POLICY,-0.04599136993559892,-0.04599136993559892,-0.04328502467026596,0.08671545753004335,-0.49916157860632254,-0.10325671638761852,242,0.05317819504606886,4,157.87984,487.60000000001116,False,2.9118041311448906e-11
2023,BASE,S1_TREND_REBOUND_D50_L1,OPEN_ONLY,LIMIT_POLICY,-0.011705057745520442,-0.011705057745520442,-0.01145068398778748,0.025436408589423906,-0.45016905383995565,-0.03543705009167931,242,0.04124801633609789,2,78.16990000000001,228.4000000000002,False,2.2964741219766438e-11
2024,BASE,S1_TREND_REBOUND_D50_L1,OPEN_ONLY,LIMIT_POLICY,0.0,0.0,0.0,0.0,,0.0,242,0.0,0,0.0,0.0,False,0.0
2025,BASE,S1_TREND_REBOUND_D50_L1,OPEN_ONLY,LIMIT_POLICY,0.03621775377238855,0.03606605360616615,0.035899751777434145,0.030678390956945367,1.1701966973371105,-0.020646671010163056,243,0.049203938104326155,4,160.74424000000002,465.799999999972,False,2.901856532844249e-11
2026,BASE,S1_TREND_REBOUND_D50_L1,OPEN_ONLY,LIMIT_POLICY,0.0,0.0,0.0,0.0,,0.0,149,0.0,0,0.0,0.0,False,0.0
2020,BASE,S1_TREND_REBOUND_D50_L3,OPEN_ONLY,LIMIT_POLICY,-0.002278569100000123,-0.0022692029194634673,0.0021250420920584877,0.09346057051219392,0.022737311364702518,-0.06735405686063997,243,0.09747180436060117,6,237.81382000000005,761.3999999999785,False,2.7966962079517543e-11
2021,BASE,S1_TREND_REBOUND_D50_L3,OPEN_ONLY,LIMIT_POLICY,-0.012770633771499338,-0.012718415354031086,-0.011925031082410975,0.041769717184474614,-0.28549465704410826,-0.04235024262391974,243,0.039917777606575715,2,77.307,211.80000000000803,False,2.319211489520967e-11
2022,BASE,S1_TREND_REBOUND_D50_L3,OPEN_ONLY,LIMIT_POLICY,-0.055574023721553324,-0.055574023721553324,-0.05061836241479545,0.11451592609295398,-0.4420202861015847,-0.12325509705795165,242,0.15970846107137848,10,372.15922,1094.1999999999832,False,2.523847797419876e-11
2023,BASE,S1_TREND_REBOUND_D50_L3,OPEN_ONLY,LIMIT_POLICY,-0.009699813147201121,-0.009699813147201121,-0.008463522491465203,0.05072923289501026,-0.16683718653860577,-0.04175627310501909,242,0.16447402609055398,12,446.432,1350.4000000000428,False,2.3646862246096134e-11
2024,BASE,S1_TREND_REBOUND_D50_L3,OPEN_ONLY,LIMIT_POLICY,0.0040810951221420195,0.0040810951221420195,0.0041399349705592,0.011620311424274402,0.3562671273947985,-0.006389070211086811,242,0.020615538867857882,2,73.68480000000001,206.4000000000002,False,1.1596057447604835e-11
2025,BASE,S1_TREND_REBOUND_D50_L3,OPEN_ONLY,LIMIT_POLICY,0.031496972900242656,0.03136534395286195,0.03148098591208849,0.03463719760479452,0.9088779719214598,-0.03468902115667755,243,0.06970992848152587,8,304.20480000000003,970.9999999999935,False,2.8322233447397593e-11
2026,BASE,S1_TREND_REBOUND_D50_L3,OPEN_ONLY,LIMIT_POLICY,0.025837471543528334,0.04230150294031896,0.042959689333603696,0.05585018277500354,0.7691951431326534,-0.019389358683035197,149,0.05363676837170236,2,77.23688000000001,256.80000000000973,False,1.2789769243681803e-11
2020,BASE,S1_TREND_REBOUND_D100_L1,OPEN_ONLY,LIMIT_POLICY,0.05942757999999997,0.05917592502568174,0.05841109798421686,0.043088720122709485,1.3556006727020855,-0.010600519697251815,243,0.040409049535337006,2,80.88400000000001,221.6000000000002,False,2.3874235921539366e-11
2021,BASE,S1_TREND_REBOUND_D100_L1,OPEN_ONLY,LIMIT_POLICY,0.0,0.0,0.0,0.0,,0.0,243,0.0,0,0.0,0.0,False,0.0
2022,BASE,S1_TREND_REBOUND_D100_L1,OPEN_ONLY,LIMIT_POLICY,-0.046192806968457296,-0.046192806968457296,-0.043455965501002836,0.08717179457221423,-0.49850947447231175,-0.10375894592708984,242,0.05348377155219631,4,162.88674000000003,503.00000000001154,False,1.887201506178826e-11
2023,BASE,S1_TREND_REBOUND_D100_L1,OPEN_ONLY,LIMIT_POLICY,0.0,0.0,0.0,0.0,,0.0,242,0.0,0,0.0,0.0,False,0.0
2024,BASE,S1_TREND_REBOUND_D100_L1,OPEN_ONLY,LIMIT_POLICY,0.0,0.0,0.0,0.0,,0.0,242,0.0,0,0.0,0.0,False,0.0
2025,BASE,S1_TREND_REBOUND_D100_L1,OPEN_ONLY,LIMIT_POLICY,0.0,0.0,0.0,0.0,,0.0,243,0.0,0,0.0,0.0,False,0.0
2026,BASE,S1_TREND_REBOUND_D100_L1,OPEN_ONLY,LIMIT_POLICY,0.0,0.0,0.0,0.0,,0.0,149,0.0,0,0.0,0.0,False,0.0
2020,BASE,S1_TREND_REBOUND_D100_L3,OPEN_ONLY,LIMIT_POLICY,0.012370042600000084,0.012318824809060889,0.015892466844959464,0.0849843966136266,0.1870045264569335,-0.049603138895062474,243,0.06894940387699132,4,162.99148000000002,484.40000000001015,False,2.6147972675971687e-11
2021,BASE,S1_TREND_REBOUND_D100_L3,OPEN_ONLY,LIMIT_POLICY,-0.012835425242955566,-0.01278294361560247,-0.011981555587639211,0.04197942148847515,-0.28541497626232354,-0.04255931061827362,243,0.04011926626270579,2,78.84,216.00000000000819,False,2.4797941478027496e-11
2022,BASE,S1_TREND_REBOUND_D100_L3,OPEN_ONLY,LIMIT_POLICY,-0.03186346561785519,-0.03186346561785519,-0.026088931733444176,0.11219493908260858,-0.23253216184943087,-0.10369105994217948,242,0.15591043646480462,10,378.51556,1115.7999999999827,False,2.48121523327427e-11
2023,BASE,S1_TREND_REBOUND_D100_L3,OPEN_ONLY,LIMIT_POLICY,0.02481137608879877,0.02481137608879877,0.02514700022121963,0.03580385120308363,0.7023546176243137,-0.03550538694994832,242,0.07836560613668421,6,234.73862,707.0000000000339,False,2.8194335754960775e-11
2024,BASE,S1_TREND_REBOUND_D100_L3,OPEN_ONLY,LIMIT_POLICY,0.0,0.0,0.0,0.0,,0.0,242,0.0,0,0.0,0.0,False,0.0
2025,BASE,S1_TREND_REBOUND_D100_L3,OPEN_ONLY,LIMIT_POLICY,0.024931564612154965,0.02482770236489551,0.024716925591386014,0.019709007351414096,1.2540928698579334,0.0,243,0.003965972775004975,2,77.38090000000001,248.99999999997257,False,1.6910917111090384e-11
