market_id,instrument_id,field,xml_raw,sse_raw,xml_normalized,sse_normalized,xml_presence,sse_presence,match
101,600000,InstrumentID,600000,600000,600000,600000,True,True,True
101,600000,InstrumentName,浦发银行,浦发银行,浦发银行,浦发银行,True,True,True
101,600000,Quantity,2100,2100,2100,2100,True,True,True
101,600000,SubstitutionFlag,1,1,1,1,True,True,True
101,600000,CreationPremiumRate,0.34,34%,0.34,0.34,True,True,True
101,600000,RedemptionDiscountRate,0,0%,0,0,True,True,True
101,600000,SubstitutionCashAmount,,-,,,False,True,True
101,600000,UnderlyingSecurityID,101,101,101,101,True,True,True
101,600009,InstrumentID,600009,600009,600009,600009,True,True,True
101,600009,InstrumentName,上海机场,上海机场,上海机场,上海机场,True,True,True
101,600009,Quantity,200,200,200,200,True,True,True
101,600009,SubstitutionFlag,1,1,1,1,True,True,True
101,600009,CreationPremiumRate,0.34,34%,0.34,0.34,True,True,True
101,600009,RedemptionDiscountRate,0,0%,0,0,True,True,True
101,600009,SubstitutionCashAmount,,-,,,False,True,True
101,600009,UnderlyingSecurityID,101,101,101,101,True,True,True
101,600010,InstrumentID,600010,600010,600010,600010,True,True,True
101,600010,InstrumentName,包钢股份,包钢股份,包钢股份,包钢股份,True,True,True
101,600010,Quantity,3600,3600,3600,3600,True,True,True
101,600010,SubstitutionFlag,1,1,1,1,True,True,True
101,600010,CreationPremiumRate,0.34,34%,0.34,0.34,True,True,True
101,600010,RedemptionDiscountRate,0,0%,0,0,True,True,True
101,600010,SubstitutionCashAmount,,-,,,False,True,True
101,600010,UnderlyingSecurityID,101,101,101,101,True,True,True
101,600011,InstrumentID,600011,600011,600011,600011,True,True,True
101,600011,InstrumentName,华能国际,华能国际,华能国际,华能国际,True,True,True
101,600011,Quantity,700,700,700,700,True,True,True
101,600011,SubstitutionFlag,1,1,1,1,True,True,True
101,600011,CreationPremiumRate,0.34,34%,0.34,0.34,True,True,True
101,600011,RedemptionDiscountRate,0,0%,0,0,True,True,True
101,600011,SubstitutionCashAmount,,-,,,False,True,True
101,600011,UnderlyingSecurityID,101,101,101,101,True,True,True
101,600015,InstrumentID,600015,600015,600015,600015,True,True,True
101,600015,InstrumentName,华夏银行,华夏银行,华夏银行,华夏银行,True,True,True
101,600015,Quantity,1000,1000,1000,1000,True,True,True
101,600015,SubstitutionFlag,1,1,1,1,True,True,True
101,600015,CreationPremiumRate,0.34,34%,0.34,0.34,True,True,True
101,600015,RedemptionDiscountRate,0,0%,0,0,True,True,True
101,600015,SubstitutionCashAmount,,-,,,False,True,True
101,600015,UnderlyingSecurityID,101,101,101,101,True,True,True
101,600016,InstrumentID,600016,600016,600016,600016,True,True,True
101,600016,InstrumentName,民生银行,民生银行,民生银行,民生银行,True,True,True
101,600016,Quantity,4000,4000,4000,4000,True,True,True
101,600016,SubstitutionFlag,1,1,1,1,True,True,True
101,600016,CreationPremiumRate,0.34,34%,0.34,0.34,True,True,True
101,600016,RedemptionDiscountRate,0,0%,0,0,True,True,True
101,600016,SubstitutionCashAmount,,-,,,False,True,True
101,600016,UnderlyingSecurityID,101,101,101,101,True,True,True
101,600018,InstrumentID,600018,600018,600018,600018,True,True,True
101,600018,InstrumentName,上港集团,上港集团,上港集团,上港集团,True,True,True
101,600018,Quantity,500,500,500,500,True,True,True
101,600018,SubstitutionFlag,1,1,1,1,True,True,True
101,600018,CreationPremiumRate,0.34,34%,0.34,0.34,True,True,True
101,600018,RedemptionDiscountRate,0,0%,0,0,True,True,True
101,600018,SubstitutionCashAmount,,-,,,False,True,True
101,600018,UnderlyingSecurityID,101,101,101,101,True,True,True
101,600019,InstrumentID,600019,600019,600019,600019,True,True,True
101,600019,InstrumentName,宝钢股份,宝钢股份,宝钢股份,宝钢股份,True,True,True
101,600019,Quantity,1400,1400,1400,1400,True,True,True
101,600019,SubstitutionFlag,1,1,1,1,True,True,True
101,600019,CreationPremiumRate,0.34,34%,0.34,0.34,True,True,True
101,600019,RedemptionDiscountRate,0,0%,0,0,True,True,True
101,600019,SubstitutionCashAmount,,-,,,False,True,True
101,600019,UnderlyingSecurityID,101,101,101,101,True,True,True
101,600023,InstrumentID,600023,600023,600023,600023,True,True,True
101,600023,InstrumentName,浙能电力,浙能电力,浙能电力,浙能电力,True,True,True
101,600023,Quantity,600,600,600,600,True,True,True
101,600023,SubstitutionFlag,1,1,1,1,True,True,True
101,600023,CreationPremiumRate,0.34,34%,0.34,0.34,True,True,True
101,600023,RedemptionDiscountRate,0,0%,0,0,True,True,True
101,600023,SubstitutionCashAmount,,-,,,False,True,True
