xml_field,sse_field,xml_raw,sse_raw,xml_normalized,sse_normalized,match
FundInstrumentID,TRADE_CODE,510300,510300,510300,510300,True
TradingDay,TRADING_DAY,20260907,20260907,20260907,20260907,True
PreTradingDay,PRE_TRADING_DAY,20260904,20260904,20260904,20260904,True
CreationRedemptionUnit,CREATION_REDEMPTION_UNIT,900000,900000,900000,900000,True
NAVperCU,NAVPERCU,4153197.66,￥4153197.66,4153197.66,4153197.66,True
NAV,NAV,4.6147,￥4.6147,4.6147,4.6147,True
PreCashComponent,PRE_CASH_COMPONENT,106010.66,￥106010.66,106010.66,106010.66,True
EstimatedCashComponent,ESTIMATED_CASH_COMPONENT,104767.66,￥104767.66,104767.66,104767.66,True
MaxCashRatio,MAX_CASH_RATIO,0.5,50%,0.5,0.5,True
RedemptionLimit,REDEMPTION_LIMIT,3600000000,3600000000,3600000000,3600000000,True
RecordNumber,RECORD_NUM,300,300,300,300,True
CreationRedemptionMechanism,CREATION_REDEMPTION_MECHANISM,1,1,1,1,True
CreationRedemptionSwitch,CREATION_REDEMPTION,1,申购和赎回皆允许,申购和赎回皆允许,申购和赎回皆允许,True
PublishIOPVFlag,PUBLISH_IOPV,B,是,是,是,True
