period,cost,model,cycle,entry_date,entry_origin,buy_debit,gross_price_profit,commission,slippage,dividend_recognized,held_closes,buy_trades,sell_trades,exit_date,exit_origin,terminal_exit,net_profit,cycle_net_return
evaluation,STRESS,CONDITIONAL_VARIANCE_BUDGET,3,2021-10-29,2021-10-28,13373.04708,75.60000000000218,10.713600000000001,27.000000000001823,0.0,16,1,1,2021-11-22,2021-11-19,False,37.886400000000364,0.002833041697479791
evaluation,STRESS,CONDITIONAL_VARIANCE_BUDGET,4,2021-11-25,2021-11-24,15015.0036,240.0,12.09,33.00000000000036,0.0,10,1,1,2021-12-09,2021-12-08,False,194.90999999999963,0.01298101586868748
evaluation,STRESS,CONDITIONAL_VARIANCE_BUDGET,5,2022-05-13,2022-05-12,18370.545280000002,418.59999999999854,14.84144,41.39999999999952,0.0,6,1,1,2022-05-23,2022-05-20,False,362.35855999999904,0.019724975741166405
evaluation,STRESS,CONDITIONAL_VARIANCE_BUDGET,6,2022-06-08,2022-06-07,21377.547600000005,-132.59999999999854,17.02176,51.00000000000344,0.0,2,1,1,2022-06-10,2022-06-09,False,-200.62176000000198,-0.009384694809427154
evaluation,STRESS,CONDITIONAL_VARIANCE_BUDGET,7,2022-08-10,2022-08-09,39982.4866,-218.5,31.8478,94.99999999999798,0.0,12,1,1,2022-08-26,2022-08-25,False,-345.34779999999796,-0.008637476789650145
evaluation,STRESS,CONDITIONAL_VARIANCE_BUDGET,8,2024-02-19,2024-02-08,34131.447120000004,1020.0999999999985,27.669960000000003,80.80000000000007,0.0,4,1,1,2024-02-23,2024-02-22,False,911.6300399999985,0.026709387293040107
evaluation,STRESS,CONDITIONAL_VARIANCE_BUDGET,9,2024-06-18,2024-06-17,54382.64436,-122.40000000000146,43.3908,122.4000000000001,0.0,22,1,1,2024-07-18,2024-07-17,False,-288.19080000000156,-0.005299315680426422
evaluation,STRESS,CONDITIONAL_VARIANCE_BUDGET,10,2024-08-02,2024-08-01,43317.32,-400.0,34.44,100.00000000000009,0.0,2,1,1,2024-08-06,2024-08-05,False,-534.44,-0.012337790057187287
evaluation,STRESS,CONDITIONAL_VARIANCE_BUDGET,11,2024-08-28,2024-08-27,55018.19848000001,-1809.300000000003,43.22108,130.40000000000012,0.0,11,1,1,2024-09-12,2024-09-11,False,-1982.921080000003,-0.03604118518567682
evaluation,STRESS,CONDITIONAL_VARIANCE_BUDGET,12,2024-09-25,2024-09-24,32148.45424,4765.599999999995,27.5816,82.79999999999905,0.0,3,1,1,2024-09-30,2024-09-27,False,4655.218399999995,0.1448038019261232
evaluation,STRESS,CONDITIONAL_VARIANCE_BUDGET,13,2025-04-09,2025-04-08,93104.42688,3164.0,75.64032,197.60000000000548,0.0,10,3,1,2025-04-23,2025-04-22,False,2890.7596799999947,0.03104857391717607
evaluation,STRESS,CONDITIONAL_VARIANCE_BUDGET,14,2025-06-03,2025-05-30,8695.0,-94.60000000000036,10.0,17.600000000000016,193.6,11,1,1,2025-06-18,2025-06-17,False,71.39999999999961,0.008211615871190294
evaluation,STRESS,CONDITIONAL_VARIANCE_BUDGET,15,2025-12-19,2025-12-18,105923.35240000002,4512.999999999993,86.41960000000002,226.00000000001523,0.0,18,1,2,2026-01-16,2026-01-15,False,4200.580399999977,0.03965679243361992
evaluation,STRESS,CONDITIONAL_VARIANCE_BUDGET,16,2026-05-06,2026-04-30,53602.432400000005,264.0000000000073,42.9264,110.00000000000742,0.0,2,1,1,2026-05-08,2026-05-07,False,111.07359999999986,0.0020721746201950316
evaluation,STRESS,CONDITIONAL_VARIANCE_BUDGET,17,2026-05-13,2026-05-12,48480.3844,-833.0,38.3964,97.99999999999791,0.0,3,1,1,2026-05-18,2026-05-15,False,-969.3963999999979,-0.01999564178373136
evaluation,STRESS,CONDITIONAL_VARIANCE_BUDGET,18,2026-06-05,2026-06-04,48176.46288,1666.0,39.14904,107.79999999999248,0.0,11,1,1,2026-06-23,2026-06-22,False,1519.0509600000075,0.03153097735264884
evaluation,STRESS,CONDITIONAL_VARIANCE_BUDGET,19,2026-07-23,2026-07-22,34422.56352,-676.8000000000029,27.227520000000002,71.99999999999847,0.0,6,1,1,2026-07-31,2026-07-30,False,-776.0275200000015,-0.02254415245828854
evaluation,STRESS,CONDITIONAL_VARIANCE_BUDGET,20,2026-08-07,2026-08-06,44772.4018,294.4999999999927,35.8834,94.99999999999798,0.0,5,1,1,2026-08-14,2026-08-13,True,163.61659999999475,0.003654407479207308
evaluation,BASE,ROLLING_VARIANCE_BUDGET_CONTROL,1,2020-02-05,2020-02-04,56044.00656,3909.6000000000076,27.23344,72.8000000000046,0.0,18,1,2,2020-03-02,2020-02-28,False,3809.566560000003,0.0679745577418975
evaluation,BASE,ROLLING_VARIANCE_BUDGET_CONTROL,2,2021-07-29,2021-07-28,95608.1178,3880.5,38.9883,117.00000000000443,0.0,9,1,1,2021-08-11,2021-08-10,False,3724.5116999999955,0.03895601948561731
evaluation,BASE,ROLLING_VARIANCE_BUDGET_CONTROL,3,2021-10-29,2021-10-28,18316.3,103.59999999999854,10.0,22.20000000000084,0.0,16,1,1,2021-11-22,2021-11-19,False,71.3999999999977,0.0038981672062587806
evaluation,BASE,ROLLING_VARIANCE_BUDGET_CONTROL,4,2021-11-25,2021-11-24,21009.2,336.0,10.0,25.200000000000955,0.0,10,1,1,2021-12-09,2021-12-08,False,300.79999999999905,0.014317537078993919
evaluation,BASE,ROLLING_VARIANCE_BUDGET_CONTROL,5,2022-05-13,2022-05-12,16364.0,373.09999999999854,10.0,20.49999999999774,0.0,6,1,1,2022-05-23,2022-05-20,False,342.6000000000008,0.02093620141774632
evaluation,BASE,ROLLING_VARIANCE_BUDGET_CONTROL,6,2022-06-08,2022-06-07,24714.199999999997,-153.39999999999782,10.0,35.40000000000134,0.0,2,1,1,2022-06-10,2022-06-09,False,-198.79999999999916,-0.008043958533960201
evaluation,BASE,ROLLING_VARIANCE_BUDGET_CONTROL,7,2022-08-10,2022-08-09,48787.7556,-266.79999999999563,19.443920000000002,69.60000000000264,0.0,12,1,1,2022-08-26,2022-08-25,False,-355.84391999999826,-0.007293713671058856
evaluation,BASE,ROLLING_VARIANCE_BUDGET_CONTROL,8,2024-02-19,2024-02-08,31740.74688,949.3999999999978,12.87612,37.60000000000004,0.0,4,1,1,2024-02-23,2024-02-22,False,898.9238799999978,0.028320816879278104
evaluation,BASE,ROLLING_VARIANCE_BUDGET_CONTROL,9,2024-06-18,2024-06-17,66416.98074,-149.60000000000582,26.5166,74.80000000000007,0.0,22,1,1,2024-07-18,2024-07-17,False,-250.9166000000059,-0.0037778983206457318
evaluation,BASE,ROLLING_VARIANCE_BUDGET_CONTROL,10,2024-08-02,2024-08-01,45015.0012,-416.0,17.9088,52.00000000000004,0.0,2,1,1,2024-08-06,2024-08-05,False,-485.90880000000004,-0.010794374920509834
evaluation,BASE,ROLLING_VARIANCE_BUDGET_CONTROL,11,2024-08-28,2024-08-27,56323.66248,-1853.7000000000044,22.14086,66.79999999999265,0.0,11,1,1,2024-09-12,2024-09-11,False,-1942.640859999997,-0.03449067007476317
evaluation,BASE,ROLLING_VARIANCE_BUDGET_CONTROL,12,2024-09-25,2024-09-24,34567.81218,5128.199999999997,14.840100000000001,49.49999999999454,0.0,3,1,1,2024-09-30,2024-09-27,False,5063.859900000002,0.14649061021367774
evaluation,BASE,ROLLING_VARIANCE_BUDGET_CONTROL,13,2025-04-09,2025-04-08,78815.49524,3363.699999999997,32.211040000000004,84.39999999999719,0.0,10,2,1,2025-04-23,2025-04-22,False,3247.0889599999996,0.041198611391228754
evaluation,BASE,ROLLING_VARIANCE_BUDGET_CONTROL,14,2025-06-03,2025-05-30,12638.6,-137.60000000000036,10.0,12.79999999999859,281.59999999999997,11,1,1,2025-06-18,2025-06-17,False,121.20000000000101,0.009589669741901872
evaluation,BASE,ROLLING_VARIANCE_BUDGET_CONTROL,15,2025-12-19,2025-12-18,150499.5939,6246.799999999988,61.39864000000001,192.59999999999388,0.0,18,2,2,2026-01-16,2026-01-15,False,5992.801359999994,0.03981938558573077
evaluation,BASE,ROLLING_VARIANCE_BUDGET_CONTROL,16,2026-05-06,2026-04-30,46751.748479999995,230.40000000000146,18.73152,57.599999999993656,0.0,2,1,1,2026-05-08,2026-05-07,False,154.0684800000078,0.003295459207604118
evaluation,BASE,ROLLING_VARIANCE_BUDGET_CONTROL,17,2026-05-13,2026-05-12,68227.04268000001,-1173.0,27.034200000000006,82.80000000000314,0.0,3,1,1,2026-05-18,2026-05-15,False,-1282.8342000000032,-0.018802430086509548
