period,cost,model,holding_closes,buy_trades,sell_trades,unfilled_requests,no_view_target_origins,no_new_variance_view_origins,mean_exposure
evaluation,BASE,CONDITIONAL_VARIANCE_BUDGET,181,23,22,0,0,0,0.023468862906579985
evaluation,BASE,ROLLING_VARIANCE_BUDGET_CONTROL,181,22,22,0,0,0,0.02729891604604428
evaluation,STRESS,CONDITIONAL_VARIANCE_BUDGET,181,23,22,0,0,0,0.023464836241229477
evaluation,STRESS,ROLLING_VARIANCE_BUDGET_CONTROL,181,22,22,0,0,0,0.027332228310712685
earlier_diagnostic,BASE,CONDITIONAL_VARIANCE_BUDGET,339,16,18,0,0,0,0.04817884935600525
earlier_diagnostic,BASE,ROLLING_VARIANCE_BUDGET_CONTROL,339,17,19,0,0,0,0.05865488196662461
earlier_diagnostic,STRESS,CONDITIONAL_VARIANCE_BUDGET,339,16,18,0,0,0,0.0481838260208501
earlier_diagnostic,STRESS,ROLLING_VARIANCE_BUDGET_CONTROL,339,17,19,0,0,0,0.05865874995771521
