fit_origin,observations,omega,alpha,beta,objective_error,next_variance_error,iterations
2014-12-31,632,0.06159405894506996,0.05924679104918644,0.9068369274746816,0.0,0.0,15
2015-01-05,633,0.05935208276341223,0.05978157170012776,0.9080555219829644,0.0,5.329070518200751e-15,15
2015-02-02,653,0.02790512894329883,0.05435163033769926,0.9354214212350066,0.0,0.0,16
2015-03-02,668,0.03741362900658926,0.05450697461638249,0.9283616827437269,0.0,0.0,14
2015-04-01,690,0.039310055009033784,0.05404310701516901,0.9273456529027588,0.0,5.329070518200751e-15,14
2015-05-04,711,0.03899777392841638,0.053390400744547914,0.9281127388687301,1.1102230246251565e-16,8.881784197001252e-16,14
2015-06-01,731,0.03152021773348751,0.06060827261631909,0.9287789848790285,0.0,8.881784197001252e-16,16
2015-07-01,752,0.02898743306660444,0.07146608991488379,0.9228049063873883,0.0,1.0658141036401503e-14,16
2015-08-03,756,0.03304624473741118,0.0801943230686958,0.914538873433308,0.0,0.0,18
2015-09-01,756,0.023329601336317812,0.07300584192625416,0.9259884686039581,0.0,0.0,30
2015-10-08,756,0.02831483759300366,0.07407447646552745,0.9208831687269298,1.1102230246251565e-16,1.5987211554602254e-14,18
2015-11-02,756,0.03947090221904299,0.08451750603265035,0.9059219484817195,0.0,5.773159728050814e-15,15
2015-12-01,756,0.02774400703239659,0.0722985584734055,0.9226829495662817,0.0,7.993605777301127e-15,16
2016-01-04,756,0.021833537867515882,0.06802602859195125,0.9292583704094696,1.1102230246251565e-16,7.105427357601002e-15,19
2016-02-01,756,0.021448036024090688,0.0721145098644402,0.9264523739589334,2.220446049250313e-16,1.687538997430238e-14,25
2016-03-01,756,0.01990168673325764,0.0701911489121447,0.928803144324102,0.0,7.993605777301127e-15,31
2016-04-01,756,0.022736502869737378,0.07054332078488158,0.9258849820760787,0.0,0.0,20
2016-05-03,756,0.02375248915049562,0.07584268565496781,0.9205448752652202,0.0,2.886579864025407e-15,20
2016-06-01,756,0.02551254500175142,0.07093471162006353,0.9240644333845198,1.1102230246251565e-16,2.220446049250313e-15,19
2016-07-01,756,0.02156263702600372,0.06506501148676279,0.9293453795538406,1.1102230246251565e-16,1.9984014443252818e-15,16
2016-08-01,756,0.021203129817399875,0.06532604356234936,0.9287565063249497,1.1102230246251565e-16,1.9984014443252818e-15,17
2016-09-01,756,0.019635919778477215,0.0660930280986702,0.9288073452977958,1.1102230246251565e-16,1.5543122344752192e-15,18
2016-10-10,756,0.018139784890634093,0.06739899765449492,0.9281366125935128,0.0,1.1102230246251565e-16,18
2016-11-01,756,0.01418400460210367,0.06877334201386913,0.9286089150205055,0.0,0.0,21
2016-12-01,756,0.011287283875916985,0.06951359993052583,0.9292363180890189,0.0,0.0,25
2017-01-03,756,0.013288184014996726,0.06997854086139746,0.9281068661305414,0.0,0.0,22
2017-02-03,756,0.009452439361738686,0.06963109658307828,0.9293631932121091,2.220446049250313e-16,9.992007221626409e-16,29
2017-03-01,756,0.008435082627280287,0.06945853971504037,0.9295357490199275,0.0,1.5543122344752192e-15,27
2017-04-05,756,0.009358842861653978,0.07227368160071893,0.9267206244309725,0.0,0.0,28
2017-05-02,756,0.007980401256575051,0.07289348062253526,0.9261008292173093,0.0,6.106226635438361e-16,24
2017-06-01,756,0.009629502873822015,0.07486704075217361,0.9241272812135691,0.0,0.0,25
2017-07-03,756,0.008706278273378259,0.07225589060419992,0.9267384153181804,0.0,0.0,24
2017-08-01,756,0.007756360748566432,0.06869946196528577,0.930294822105776,0.0,1.1102230246251565e-16,25
2017-09-01,756,0.007615660129495943,0.06844445973100055,0.930549822773283,1.1102230246251565e-16,1.1102230246251565e-15,26
2017-10-09,756,0.005358166759196106,0.06584454150914908,0.933149725020783,0.0,6.106226635438361e-16,24
2017-11-01,756,0.003388302347256088,0.06187436803042273,0.9371198741060701,0.0,0.0,26
2017-12-01,756,0.005873007811062948,0.06390774329386238,0.9350865113360431,0.0,2.220446049250313e-16,29
2018-01-02,756,0.006106093789303191,0.059782386478512424,0.9373270963444982,0.0,1.7763568394002505e-15,18
2018-02-01,756,0.006133766979982625,0.05649841848517718,0.9394996114442979,0.0,0.0,17
2018-03-01,756,0.006934597379111269,0.06732834303128682,0.9316659326153809,0.0,3.552713678800501e-15,28
2018-04-02,756,0.006951750624037731,0.06488599755592432,0.9332481477449114,1.1102230246251565e-16,2.4424906541753444e-15,21
2018-05-02,756,0.00709511458789626,0.06344493447063751,0.9339375364744775,1.1102230246251565e-16,3.1086244689504383e-15,19
2018-06-01,756,0.007585519654255472,0.06227820521294348,0.9337714234303665,0.0,1.9984014443252818e-15,17
2018-07-02,756,0.008323388643456624,0.061667938580795036,0.9335930690320596,0.0,0.0,18
2018-08-01,756,0.00920433248310473,0.06118333152133122,0.9324105176952625,0.0,0.0,15
2018-09-03,756,0.007998062469364998,0.060680145276088164,0.9349986320439674,1.1102230246251565e-16,3.9968028886505635e-15,17
2018-10-08,756,0.005905023613740141,0.04855718009487183,0.9480419691136209,0.0,4.440892098500626e-15,18
2018-11-01,756,0.005577690648006244,0.05475460630738321,0.9442395920840505,0.0,0.0,29
2018-12-03,756,0.006368301408985838,0.052617041484294934,0.9444406021653724,1.1102230246251565e-16,0.0,21
2019-01-02,756,0.009392508398719102,0.06135551425368619,0.9327741409624748,0.0,3.774758283725532e-15,17
2019-02-01,756,0.010979357207938092,0.05804492556984661,0.9324133307644433,1.1102230246251565e-16,4.440892098500626e-16,16
2019-03-01,756,0.0104058285146776,0.07629215088826401,0.9212299112302506,0.0,7.993605777301127e-15,19
2019-04-01,756,0.00827440556862448,0.06482297585468826,0.932871158092237,0.0,0.0,20
2019-05-06,756,0.005159624534948473,0.04759632810649486,0.9513978263032279,0.0,0.0,26
2019-06-03,756,0.006217995639761715,0.053866352218317065,0.9445011276874932,0.0,7.105427357601002e-15,22
2019-07-01,756,0.007858621264359463,0.06428193973092237,0.9332373163586234,0.0,0.0,21
2019-08-01,756,0.010750136956702027,0.08097082762220754,0.9151735097013317,0.0,1.3322676295501878e-15,19
2019-09-02,756,0.010549951515362865,0.08297586344749697,0.9140078005727432,0.0,1.4432899320127035e-15,20
2019-10-08,756,0.010652576391556447,0.0882763786413538,0.9093044451448686,1.1102230246251565e-16,1.2212453270876722e-15,21
2019-11-01,756,0.011702362098912452,0.09090389827775779,0.906366138752588,0.0,1.1102230246251565e-16,20
2019-12-02,756,0.0107049978331379,0.08511526319228208,0.9119820045180383,0.0,1.1102230246251565e-16,20
2020-01-02,756,0.011451769677705028,0.08048572862472461,0.914989113129215,0.0,1.1102230246251565e-15,17
2020-02-03,756,0.02241228854882831,0.1279566217453181,0.8710380264120798,1.1102230246251565e-16,3.552713678800501e-15,25
2020-03-02,756,0.02246882190533096,0.12179558778565544,0.8771990225172742,0.0,2.6645352591003757e-15,25
2020-04-01,756,0.024066545390678953,0.12321466845727597,0.875779950564733,0.0,3.552713678800501e-15,28
2020-05-06,756,0.030657121642981865,0.1335145333913424,0.862043400798064,0.0,2.220446049250313e-16,20
2020-06-01,756,0.035889048176986765,0.13146500630659433,0.8611899804810402,0.0,0.0,19
2020-07-01,756,0.036021228341584346,0.13066317150218842,0.8612833195687235,1.1102230246251565e-16,2.220446049250313e-16,19
2020-08-03,756,0.041984849247071375,0.15643006050520508,0.8422972805432539,0.0,8.881784197001252e-16,30
2020-09-01,756,0.04846542594635671,0.1601244915164876,0.8346440460953989,0.0,0.0,21
2020-10-09,756,0.05893691422351142,0.1662958981413619,0.8245882328129869,0.0,4.440892098500626e-16,18
2020-11-02,756,0.0916990252943297,0.15571349308190222,0.8126430278517004,0.0,2.220446049250313e-16,14
2020-12-01,756,0.12504341818040118,0.142238244339262,0.8046165008519421,0.0,4.440892098500626e-16,12
2021-01-04,756,0.11554355110999091,0.1348737777060818,0.8147662014938705,0.0,2.220446049250313e-16,14
