period,cost,model,days,cycles,net_sharpe
evaluation,BASE,CONDITIONAL_VARIANCE_BUDGET,1604,20,1.0106733109333645
evaluation,STRESS,CONDITIONAL_VARIANCE_BUDGET,1604,20,0.9382600692814558
evaluation,BASE,ROLLING_VARIANCE_BUDGET_CONTROL,1604,20,1.0321712001890893
evaluation,STRESS,ROLLING_VARIANCE_BUDGET_CONTROL,1604,20,0.9655982617528783
earlier_diagnostic,BASE,CONDITIONAL_VARIANCE_BUDGET,1219,16,0.5611974199540661
earlier_diagnostic,STRESS,CONDITIONAL_VARIANCE_BUDGET,1219,16,0.5251140469232436
earlier_diagnostic,BASE,ROLLING_VARIANCE_BUDGET_CONTROL,1219,16,0.7769721025633998
earlier_diagnostic,STRESS,ROLLING_VARIANCE_BUDGET_CONTROL,1219,16,0.7452193033877509
