period,cost,model,parent,terminal_nav_difference,price_pnl_difference,dividend_recognized_difference,commission_difference,slippage_cost_difference
evaluation,BASE,CONDITIONAL_VARIANCE_BUDGET,CONTINUOUS_REFERENCE_MIN_VARIANCE,-31936.157000000152,-33341.900000000016,-123.19999999999996,-372.9430000000001,-1155.9999999999936
evaluation,STRESS,CONDITIONAL_VARIANCE_BUDGET,CONTINUOUS_REFERENCE_MIN_VARIANCE,-30506.4503599999,-33217.80000000002,-123.19999999999996,-758.3496399999999,-2076.2000000000144
evaluation,BASE,ROLLING_VARIANCE_BUDGET_CONTROL,CONTINUOUS_REFERENCE_MIN_VARIANCE,-28606.123800000147,-29984.90000000001,-35.19999999999999,-351.0762000000001,-1062.8999999999867
evaluation,STRESS,ROLLING_VARIANCE_BUDGET_CONTROL,CONTINUOUS_REFERENCE_MIN_VARIANCE,-27244.719640000025,-29825.20000000001,-35.19999999999999,-702.08036,-1913.6000000000136
earlier_diagnostic,BASE,CONDITIONAL_VARIANCE_BUDGET,CONTINUOUS_REFERENCE_MIN_VARIANCE,-18784.740360000054,-20396.299999999996,-679.0000000000001,-547.25964,-1743.2999999999638
earlier_diagnostic,STRESS,CONDITIONAL_VARIANCE_BUDGET,CONTINUOUS_REFERENCE_MIN_VARIANCE,-16575.663680000056,-20243.299999999996,-679.0000000000001,-1113.93632,-3232.700000000003
earlier_diagnostic,BASE,ROLLING_VARIANCE_BUDGET_CONTROL,CONTINUOUS_REFERENCE_MIN_VARIANCE,-10346.633840000111,-11766.899999999998,-752.5000000000001,-518.0661600000001,-1654.6999999999593
earlier_diagnostic,STRESS,ROLLING_VARIANCE_BUDGET_CONTROL,CONTINUOUS_REFERENCE_MIN_VARIANCE,-8213.799039999954,-11582.199999999993,-752.5000000000001,-1057.7009600000001,-3063.2000000000035
