指标,数值,统一单位,报告范围,原文数值,原文全部数值列,所用数值列序号,来源页码,来源网址,原始文件哈希
归母净利润,93615000000.0,人民币元,2021年1至9月累计,"93,615","32,465；21.07；93,615；22.21",3,2,https://static.cninfo.com.cn/finalpage/2021-10-23/1211361859.PDF,ca3ca27b3cb171f3445d28b53dde8ab7c05fe17dcd83af3591724671720623aa
营业收入,251410000000.0,人民币元,2021年1至9月累计,"251,410","82,661；13.11；251,410；13.54",3,2,https://static.cninfo.com.cn/finalpage/2021-10-23/1211361859.PDF,ca3ca27b3cb171f3445d28b53dde8ab7c05fe17dcd83af3591724671720623aa
普通股基本每股盈利,3.62,人民币元每股,2021年1至9月累计,3.62,1.27；20.95；3.62；19.87,3,2,https://static.cninfo.com.cn/finalpage/2021-10-23/1211361859.PDF,ca3ca27b3cb171f3445d28b53dde8ab7c05fe17dcd83af3591724671720623aa
普通股稀释每股盈利,3.62,人民币元每股,2021年1至9月累计,3.62,1.27；20.95；3.62；19.87,3,2,https://static.cninfo.com.cn/finalpage/2021-10-23/1211361859.PDF,ca3ca27b3cb171f3445d28b53dde8ab7c05fe17dcd83af3591724671720623aa
期末总资产,8917440000000.0,人民币元,2021年9月30日余额,"8,917,440","8,917,440；8,361,448；6.65",1,2,https://static.cninfo.com.cn/finalpage/2021-10-23/1211361859.PDF,ca3ca27b3cb171f3445d28b53dde8ab7c05fe17dcd83af3591724671720623aa
期末归母权益,788967000000.0,人民币元,2021年9月30日余额,"788,967","788,967；723,750；9.01",1,2,https://static.cninfo.com.cn/finalpage/2021-10-23/1211361859.PDF,ca3ca27b3cb171f3445d28b53dde8ab7c05fe17dcd83af3591724671720623aa
