announcement_id,ts_code,sec_name,report_period,event_publication_date,affected_member_days,official_pdf_url
1205543842,601108.SH,财通证券,2018-09-30,2018-10-27,238,https://static.cninfo.com.cn/finalpage/2018-10-27/1205543842.PDF
1206994162,601108.SH,财通证券,2019-09-30,2019-10-19,236,https://static.cninfo.com.cn/finalpage/2019-10-19/1206994162.PDF
1207022065,601229.SH,上海银行,2019-09-30,2019-10-26,235,https://static.cninfo.com.cn/finalpage/2019-10-26/1207022065.PDF
1206997452,300059.SZ,东方财富,2019-09-30,2019-10-22,234,https://static.cninfo.com.cn/finalpage/2019-10-22/1206997452.PDF
1211336976,600926.SH,杭州银行,2021-09-30,2021-10-21,234,https://static.cninfo.com.cn/finalpage/2021-10-21/1211336976.PDF
1204056363,002310.SZ,东方园林,2017-09-30,2017-10-21,233,https://static.cninfo.com.cn/finalpage/2017-10-21/1204056363.PDF
1205545111,600926.SH,杭州银行,2018-09-30,2018-10-27,233,https://static.cninfo.com.cn/finalpage/2018-10-27/1205545111.PDF
1205547293,601229.SH,上海银行,2018-09-30,2018-10-27,233,https://static.cninfo.com.cn/finalpage/2018-10-27/1205547293.PDF
1204056965,002411.SZ,必康股份,2017-09-30,2017-10-23,232,https://static.cninfo.com.cn/finalpage/2017-10-23/1204056965.PDF
1221489540,601009.SH,南京银行,2024-09-30,2024-10-24,232,https://static.cninfo.com.cn/finalpage/2024-10-24/1221489540.PDF
1208608076,601229.SH,上海银行,2020-09-30,2020-10-24,232,https://static.cninfo.com.cn/finalpage/2020-10-24/1208608076.PDF
1205552757,000783.SZ,长江证券,2018-09-30,2018-10-30,231,https://static.cninfo.com.cn/finalpage/2018-10-30/1205552757.PDF
1204089204,600926.SH,杭州银行,2017-09-30,2017-10-28,231,https://static.cninfo.com.cn/finalpage/2017-10-28/1204089204.PDF
1208663452,600926.SH,杭州银行,2020-09-30,2020-10-31,231,https://static.cninfo.com.cn/finalpage/2020-10-31/1208663452.PDF
1204089323,601166.SH,兴业银行,2017-09-30,2017-10-28,231,https://static.cninfo.com.cn/finalpage/2017-10-28/1204089323.PDF
1204089424,601229.SH,上海银行,2017-09-30,2017-10-28,231,https://static.cninfo.com.cn/finalpage/2017-10-28/1204089424.PDF
1207021346,000783.SZ,长江证券,2019-09-30,2019-10-26,230,https://static.cninfo.com.cn/finalpage/2019-10-26/1207021346.PDF
1207012854,002939.SZ,长城证券,2019-09-30,2019-10-25,230,https://static.cninfo.com.cn/finalpage/2019-10-25/1207012854.PDF
1207014571,600926.SH,杭州银行,2019-09-30,2019-10-25,230,https://static.cninfo.com.cn/finalpage/2019-10-25/1207014571.PDF
1214923780,600926.SH,杭州银行,2022-09-30,2022-10-27,230,https://static.cninfo.com.cn/finalpage/2022-10-27/1214923780.PDF
1218203975,601009.SH,南京银行,2023-09-30,2023-10-31,230,https://static.cninfo.com.cn/finalpage/2023-10-31/1218203975.PDF
1205547307,601166.SH,兴业银行,2018-09-30,2018-10-27,230,https://static.cninfo.com.cn/finalpage/2018-10-27/1205547307.PDF
1211407249,601229.SH,上海银行,2021-09-30,2021-10-28,230,https://static.cninfo.com.cn/finalpage/2021-10-28/1211407249.PDF
1214924007,601229.SH,上海银行,2022-09-30,2022-10-27,230,https://static.cninfo.com.cn/finalpage/2022-10-27/1214924007.PDF
1204078614,000783.SZ,长江证券,2017-09-30,2017-10-27,229,https://static.cninfo.com.cn/finalpage/2017-10-27/1204078614.PDF
1205553633,002411.SZ,必康股份,2018-09-30,2018-10-30,229,https://static.cninfo.com.cn/finalpage/2018-10-30/1205553633.PDF
1204080501,002736.SZ,国信证券,2017-09-30,2017-10-27,229,https://static.cninfo.com.cn/finalpage/2017-10-27/1204080501.PDF
