fit_index,fit_origin,complete_paired_cycles,complete_paired_states,supports_original_minimum
632,2014-12-31,0,0,False
633,2015-01-05,0,0,False
653,2015-02-02,0,0,False
668,2015-03-02,0,0,False
690,2015-04-01,0,0,False
711,2015-05-04,0,0,False
731,2015-06-01,0,0,False
752,2015-07-01,0,0,False
775,2015-08-03,0,0,False
796,2015-09-01,0,0,False
816,2015-10-08,0,0,False
833,2015-11-02,0,0,False
854,2015-12-01,0,0,False
877,2016-01-04,0,0,False
897,2016-02-01,0,0,False
913,2016-03-01,0,0,False
936,2016-04-01,0,0,False
956,2016-05-03,0,0,False
977,2016-06-01,0,0,False
997,2016-07-01,0,0,False
1018,2016-08-01,0,0,False
1041,2016-09-01,0,0,False
1061,2016-10-10,0,0,False
1077,2016-11-01,0,0,False
1099,2016-12-01,0,0,False
1121,2017-01-03,0,0,False
1139,2017-02-03,0,0,False
1157,2017-03-01,0,0,False
1180,2017-04-05,0,0,False
1198,2017-05-02,0,0,False
1218,2017-06-01,0,0,False
1240,2017-07-03,0,0,False
1261,2017-08-01,0,0,False
1284,2017-09-01,1,59,False
1305,2017-10-09,1,59,False
1322,2017-11-01,1,59,False
1344,2017-12-01,2,118,False
1365,2018-01-02,2,118,False
1387,2018-02-01,2,118,False
1402,2018-03-01,3,174,False
1424,2018-04-02,3,174,False
1442,2018-05-02,3,174,False
1464,2018-06-01,3,174,False
1484,2018-07-02,3,174,False
1506,2018-08-01,3,174,False
1529,2018-09-03,3,174,False
1548,2018-10-08,3,174,False
1566,2018-11-01,4,181,False
1588,2018-12-03,4,181,False
1608,2019-01-02,4,181,False
1630,2019-02-01,4,181,False
1645,2019-03-01,4,181,False
1666,2019-04-01,4,181,False
1687,2019-05-06,4,181,False
1707,2019-06-03,5,224,False
1726,2019-07-01,5,224,False
1749,2019-08-01,6,262,False
1771,2019-09-02,6,262,False
1791,2019-10-08,6,262,False
1809,2019-11-01,6,262,False
1830,2019-12-02,6,262,False
1852,2020-01-02,6,262,False
1868,2020-02-03,6,262,False
1888,2020-03-02,6,262,False
1910,2020-04-01,7,290,False
1931,2020-05-06,7,290,False
1949,2020-06-01,8,332,False
1969,2020-07-01,8,332,False
1992,2020-08-03,8,332,False
2013,2020-09-01,8,332,False
2035,2020-10-09,9,391,False
2051,2020-11-02,9,391,False
2072,2020-12-01,9,391,False
2095,2021-01-04,9,391,False
2115,2021-02-01,9,391,False
2130,2021-03-01,10,424,True
2153,2021-04-01,10,424,True
2174,2021-05-06,10,424,True
2192,2021-06-01,10,424,True
2213,2021-07-01,10,424,True
2235,2021-08-02,11,458,True
2257,2021-09-01,11,458,True
2277,2021-10-08,11,458,True
2293,2021-11-01,11,458,True
2315,2021-12-01,11,458,True
2338,2022-01-04,11,458,True
2357,2022-02-07,12,512,True
2373,2022-03-01,12,512,True
2396,2022-04-01,12,512,True
2415,2022-05-05,12,512,True
2434,2022-06-01,12,512,True
2455,2022-07-01,12,512,True
2476,2022-08-01,12,512,True
2499,2022-09-01,13,569,True
2520,2022-10-10,14,589,True
2536,2022-11-01,14,589,True
2558,2022-12-01,14,589,True
2580,2023-01-03,14,589,True
2596,2023-02-01,14,589,True
2616,2023-03-01,14,589,True
2639,2023-04-03,14,589,True
2658,2023-05-04,14,589,True
2678,2023-06-01,14,589,True
2698,2023-07-03,14,589,True
2719,2023-08-01,14,589,True
2742,2023-09-01,14,589,True
2762,2023-10-09,14,589,True
2779,2023-11-01,14,589,True
2801,2023-12-01,14,589,True
2822,2024-01-02,14,589,True
2844,2024-02-01,14,589,True
2859,2024-03-01,14,589,True
2880,2024-04-01,14,589,True
2900,2024-05-06,14,589,True
2920,2024-06-03,15,648,True
2939,2024-07-01,15,648,True
2962,2024-08-01,16,679,True
2984,2024-09-02,16,679,True
3003,2024-10-08,17,719,True
3021,2024-11-01,18,724,True
3042,2024-12-02,18,724,True
3064,2025-01-02,18,724,True
3082,2025-02-05,18,724,True
3100,2025-03-03,18,724,True
3121,2025-04-01,18,724,True
3142,2025-05-06,18,724,True
3161,2025-06-03,18,724,True
3181,2025-07-01,18,724,True
3204,2025-08-01,19,783,True
3225,2025-09-01,19,783,True
3247,2025-10-09,19,783,True
3264,2025-11-03,20,842,True
3284,2025-12-01,20,842,True
3307,2026-01-05,20,842,True
3327,2026-02-02,20,842,True
3341,2026-03-02,20,795,True
3363,2026-04-01,20,795,True
3384,2026-05-06,20,795,True
3402,2026-06-01,20,795,True
3423,2026-07-01,20,795,True
3446,2026-08-03,20,790,True
