date,status,window_observations,panic_budget,learned_budget,absolute_difference
2013-06-03,NO_VIEW_WARMUP_KEEP_BUDGET,1,0.5,0.5,0.0
2013-07-01,NO_VIEW_WARMUP_KEEP_BUDGET,18,0.5,0.5,0.0
2013-08-01,NO_VIEW_WARMUP_KEEP_BUDGET,41,0.5,0.5,0.0
2013-09-02,NO_VIEW_WARMUP_KEEP_BUDGET,63,0.5,0.5,0.0
2013-10-08,NO_VIEW_WARMUP_KEEP_BUDGET,82,0.5,0.5,0.0
2013-11-01,NO_VIEW_WARMUP_KEEP_BUDGET,100,0.5,0.5,0.0
2013-12-02,NO_VIEW_WARMUP_KEEP_BUDGET,121,0.5,0.5,0.0
2014-01-02,NO_VIEW_WARMUP_KEEP_BUDGET,143,0.5,0.5,0.0
2014-02-07,NO_VIEW_WARMUP_KEEP_BUDGET,164,0.5,0.5,0.0
2014-03-03,NO_VIEW_WARMUP_KEEP_BUDGET,180,0.5,0.5,0.0
2014-04-01,NO_VIEW_WARMUP_KEEP_BUDGET,201,0.5,0.5,0.0
2014-05-05,NO_VIEW_WARMUP_KEEP_BUDGET,222,0.5,0.5,0.0
2014-06-03,NO_VIEW_NONPOSITIVE_DEFINITE_COVARIANCE_KEEP_BUDGET,242,0.5,0.5,0.0
2014-07-01,EXPLICIT_CASH_NO_POSITIVE_PAST_MEAN,242,0.0,0.0,0.0
2014-08-01,NO_VIEW_NONPOSITIVE_DEFINITE_COVARIANCE_KEEP_BUDGET,242,0.0,0.0,0.0
2014-09-01,NO_VIEW_NONPOSITIVE_DEFINITE_COVARIANCE_KEEP_BUDGET,242,0.0,0.0,0.0
2014-10-08,NO_VIEW_NONPOSITIVE_DEFINITE_COVARIANCE_KEEP_BUDGET,242,0.0,0.0,0.0
2014-11-03,NO_VIEW_NONPOSITIVE_DEFINITE_COVARIANCE_KEEP_BUDGET,242,0.0,0.0,0.0
2014-12-01,NO_VIEW_NONPOSITIVE_DEFINITE_COVARIANCE_KEEP_BUDGET,242,0.0,0.0,0.0
2015-01-05,NO_VIEW_NONPOSITIVE_DEFINITE_COVARIANCE_KEEP_BUDGET,242,0.0,0.0,0.0
2015-02-02,NO_VIEW_NONPOSITIVE_DEFINITE_COVARIANCE_KEEP_BUDGET,242,0.0,0.0,0.0
2015-03-02,NO_VIEW_NONPOSITIVE_DEFINITE_COVARIANCE_KEEP_BUDGET,242,0.0,0.0,0.0
2015-04-01,NO_VIEW_NONPOSITIVE_DEFINITE_COVARIANCE_KEEP_BUDGET,242,0.0,0.0,0.0
2015-05-04,NO_VIEW_NONPOSITIVE_DEFINITE_COVARIANCE_KEEP_BUDGET,242,0.0,0.0,0.0
