period,cost,holding_decisions,model_available_rows,no_model_rows,learned_exit_cycles,completed_round_trips,unfilled_requests
evaluation,BASE,329,329,0,12,20,0
evaluation,STRESS,330,330,0,11,18,0
earlier_diagnostic,BASE,298,94,204,3,9,0
earlier_diagnostic,STRESS,298,94,204,3,9,0
