period,cost,year,return_difference_vs128
evaluation,BASE,2020,-0.02529700359999948
evaluation,BASE,2021,-0.065916681906938
evaluation,BASE,2022,1.510130370187962e-05
evaluation,BASE,2023,0.0
evaluation,BASE,2024,-0.0008059099861888741
evaluation,BASE,2025,-0.00797604376444526
evaluation,BASE,2026,-0.0721916305026064
evaluation,STRESS,2020,-0.024874326199999575
evaluation,STRESS,2021,-0.06531465843253786
evaluation,STRESS,2022,-1.5282941268200678e-05
evaluation,STRESS,2023,0.0
evaluation,STRESS,2024,0.0008048347944766276
evaluation,STRESS,2025,-0.009847554441268079
evaluation,STRESS,2026,0.01582876514629697
earlier_diagnostic,BASE,2015,0.0
earlier_diagnostic,BASE,2016,0.0
earlier_diagnostic,BASE,2017,-0.011418878624261566
earlier_diagnostic,BASE,2018,-2.1315836956595224e-05
earlier_diagnostic,BASE,2019,0.06584469130486234
earlier_diagnostic,STRESS,2015,0.0
earlier_diagnostic,STRESS,2016,0.0
earlier_diagnostic,STRESS,2017,-0.011406950383496026
earlier_diagnostic,STRESS,2018,-1.3973920119925154e-05
earlier_diagnostic,STRESS,2019,0.03853940068099766
