period,cycle_id_base,mode_base,entry_date,entry_index_base,entry_origin_base,entry_quantity_base,entry_cost_cny_base,exit_date_base,exit_origin_base,exit_reasons_base,holding_intervals_base,dividend_cny_base,net_profit_cny_base,cycle_id_stress,mode_stress,entry_index_stress,entry_origin_stress,entry_quantity_stress,entry_cost_cny_stress,exit_date_stress,exit_origin_stress,exit_reasons_stress,holding_intervals_stress,dividend_cny_stress,net_profit_cny_stress,_merge
evaluation,13,1,2025-04-10,3127,2025-04-09,68200,260507.89116,2025-04-23,2025-04-22,连续两个收盘预测继续持有收益为负，学习条件请求退出,9,0.0,4737.049240000022,13.0,1.0,3127.0,2025-04-09,67000.0,256109.4028,2025-04-24,2025-04-23,连续两个收盘预测继续持有收益为负，学习条件请求退出,10.0,0.0,3612.666799999977,both
evaluation,14,1,2025-06-03,3161,2025-05-30,66900,264174.02424,2025-06-13,2025-06-12,连续两个收盘预测继续持有收益为负，学习条件请求退出,8,0.0,3104.9092800000217,14.0,1.0,3161.0,2025-05-30,65500.0,258828.49,2025-06-26,2025-06-25,连续两个收盘预测继续持有收益为负，学习条件请求退出,17.0,5764.0,8241.445799999987,both
evaluation,15,1,2025-06-18,3172,2025-06-17,67200,262468.4832,2025-06-27,2025-06-26,连续两个收盘预测继续持有收益为负，学习条件请求退出,7,0.0,5471.518079999951,,,,,,,,,,,,,left_only
evaluation,18,1,2026-05-06,3384,2026-04-30,57300,279049.49874,2026-05-13,2026-05-12,连续两个收盘预测继续持有收益为负，学习条件请求退出,5,0.0,3784.0232400000095,17.0,1.0,3384.0,2026-04-30,55900.0,272397.81556,2026-06-23,2026-06-22,连续两个收盘预测继续持有收益为负，学习条件请求退出,33.0,0.0,11069.452159999986,both
evaluation,19,1,2026-06-05,3406,2026-06-04,57400,282005.18976,2026-07-20,2026-07-17,持仓含分红收益触及固定止损；含分红持仓价值从周期高点回落至追踪退出线,30,0.0,-16468.507719999994,,,,,,,,,,,,,left_only
