period,cost,entry_date,exit_date_new,exit_date_old,net_profit_cny_new,net_profit_cny_old,exit_reasons_new,exit_reasons_old
evaluation,BASE,2020-02-05,2020-02-19,2020-02-24,12959.031360000025,17551.712640000012,连续两个收盘预测继续持有收益为负，学习条件请求退出,连续两个收盘预测继续持有收益为负，学习条件请求退出
evaluation,BASE,2021-02-03,2021-03-01,2021-02-19,-5341.482879999996,11215.207079999993,含分红持仓价值从周期高点回落至追踪退出线,连续两个收盘预测继续持有收益为负，学习条件请求退出
evaluation,BASE,2024-02-19,2024-02-23,2024-02-26,6674.987959999999,7363.206000000006,连续两个收盘预测继续持有收益为负，学习条件请求退出,连续两个收盘预测继续持有收益为负，学习条件请求退出
evaluation,BASE,2024-06-18,2024-09-03,2024-07-18,-15324.867140000017,-999.6410000000031,持仓含分红收益触及固定止损,连续两个收盘预测继续持有收益为负，学习条件请求退出
evaluation,BASE,2024-08-02,,2024-09-12,,-15599.591279999991,,持仓含分红收益触及固定止损
evaluation,BASE,2025-04-10,2025-04-23,2025-05-08,4737.049240000022,7101.703200000047,连续两个收盘预测继续持有收益为负，学习条件请求退出,连续两个收盘预测继续持有收益为负，学习条件请求退出
evaluation,BASE,2025-06-03,2025-06-13,2025-06-26,3104.9092800000217,9658.767300000009,连续两个收盘预测继续持有收益为负，学习条件请求退出,连续两个收盘预测继续持有收益为负，学习条件请求退出
evaluation,BASE,2025-06-18,2025-06-27,,5471.518079999951,,连续两个收盘预测继续持有收益为负，学习条件请求退出,
evaluation,BASE,2026-06-05,2026-07-20,2026-06-22,-16468.507719999994,4165.9629600000335,持仓含分红收益触及固定止损；含分红持仓价值从周期高点回落至追踪退出线,连续两个收盘预测继续持有收益为负，学习条件请求退出
evaluation,STRESS,2020-02-05,2020-02-19,2020-02-24,12641.275479999982,17224.341519999987,连续两个收盘预测继续持有收益为负，学习条件请求退出,连续两个收盘预测继续持有收益为负，学习条件请求退出
evaluation,STRESS,2021-02-03,2021-03-01,2021-02-19,-5673.061119999999,10763.862119999976,含分红持仓价值从周期高点回落至追踪退出线,连续两个收盘预测继续持有收益为负，学习条件请求退出
evaluation,STRESS,2024-02-19,2024-02-23,2024-02-26,6218.9415599999775,6853.626000000018,连续两个收盘预测继续持有收益为负，学习条件请求退出,连续两个收盘预测继续持有收益为负，学习条件请求退出
evaluation,STRESS,2024-06-18,2024-09-03,2024-07-18,-15462.282679999977,-1380.6787999999651,持仓含分红收益触及固定止损,连续两个收盘预测继续持有收益为负，学习条件请求退出
evaluation,STRESS,2024-08-02,,2024-09-12,,-15728.388680000033,,持仓含分红收益触及固定止损
evaluation,STRESS,2025-04-10,2025-04-24,2025-05-08,3612.666799999977,6563.138000000035,连续两个收盘预测继续持有收益为负，学习条件请求退出,连续两个收盘预测继续持有收益为负，学习条件请求退出
evaluation,STRESS,2026-05-06,2026-06-23,2026-05-13,11069.452159999986,3694.7724000000735,连续两个收盘预测继续持有收益为负，学习条件请求退出,连续两个收盘预测继续持有收益为负，学习条件请求退出
evaluation,STRESS,2026-06-05,,2026-06-22,,3692.656799999997,,连续两个收盘预测继续持有收益为负，学习条件请求退出
earlier_diagnostic,BASE,2017-05-18,2017-07-17,2017-07-21,27631.799100000004,30731.679000000004,连续两个收盘预测继续持有收益为负，学习条件请求退出,连续两个收盘预测继续持有收益为负，学习条件请求退出
earlier_diagnostic,BASE,2019-02-28,2019-04-03,2019-03-06,19910.86499999999,10195.433519999904,连续两个收盘预测继续持有收益为负，学习条件请求退出,连续两个收盘预测继续持有收益为负，学习条件请求退出
earlier_diagnostic,BASE,2019-05-31,2019-07-03,2019-06-25,24551.64526000002,16392.54739999998,连续两个收盘预测继续持有收益为负，学习条件请求退出,连续两个收盘预测继续持有收益为负，学习条件请求退出
earlier_diagnostic,STRESS,2017-05-18,2017-07-17,2017-07-21,26960.600480000023,30032.571199999948,连续两个收盘预测继续持有收益为负，学习条件请求退出,连续两个收盘预测继续持有收益为负，学习条件请求退出
earlier_diagnostic,STRESS,2019-02-28,2019-04-03,2019-03-06,19262.769239999998,9662.759120000002,连续两个收盘预测继续持有收益为负，学习条件请求退出,连续两个收盘预测继续持有收益为负，学习条件请求退出
