fit_index,fit_origin,source_input_identity,first_fit_index,reused,independent_full_kkt_max_violation,nonzero_factor_count
1157,2017-03-01,77eb974da0cbf7b82fdaeaff5365746c7f32aead04218efc7b9703c627f75e02,1157,False,6.42902181144378e-13,2
1180,2017-04-05,77eb974da0cbf7b82fdaeaff5365746c7f32aead04218efc7b9703c627f75e02,1157,True,6.42902181144378e-13,2
1198,2017-05-02,77eb974da0cbf7b82fdaeaff5365746c7f32aead04218efc7b9703c627f75e02,1157,True,6.42902181144378e-13,2
1218,2017-06-01,600a4d0e7767a561089d4f8962e38a9e57151d97bca4084ea0afb435d4359050,1218,False,5.854084578205132e-13,2
1240,2017-07-03,600a4d0e7767a561089d4f8962e38a9e57151d97bca4084ea0afb435d4359050,1218,True,5.854084578205132e-13,2
1261,2017-08-01,600a4d0e7767a561089d4f8962e38a9e57151d97bca4084ea0afb435d4359050,1218,True,5.854084578205132e-13,2
1284,2017-09-01,7a270df278db7b6093fd061517d7ddebc62889d594e06920b15ea062530e297c,1284,False,5.847173873557709e-13,2
1305,2017-10-09,7a270df278db7b6093fd061517d7ddebc62889d594e06920b15ea062530e297c,1284,True,5.847173873557709e-13,2
1322,2017-11-01,7a270df278db7b6093fd061517d7ddebc62889d594e06920b15ea062530e297c,1284,True,5.847173873557709e-13,2
1344,2017-12-01,62c3890db920fa5d75accff65f5f30c09e89980787c11c5f241971cd0b689209,1344,False,6.795603576387199e-13,2
1365,2018-01-02,62c3890db920fa5d75accff65f5f30c09e89980787c11c5f241971cd0b689209,1344,True,6.795603576387199e-13,2
1387,2018-02-01,62c3890db920fa5d75accff65f5f30c09e89980787c11c5f241971cd0b689209,1344,True,6.795603576387199e-13,2
1402,2018-03-01,16553e812c0ffc4155c3d7b8a440f7a4b8ac10e11094373039a9a1b13244b84c,1402,False,6.149072136890643e-13,2
1424,2018-04-02,16553e812c0ffc4155c3d7b8a440f7a4b8ac10e11094373039a9a1b13244b84c,1402,True,6.149072136890643e-13,2
1442,2018-05-02,16553e812c0ffc4155c3d7b8a440f7a4b8ac10e11094373039a9a1b13244b84c,1402,True,6.149072136890643e-13,2
1464,2018-06-01,16553e812c0ffc4155c3d7b8a440f7a4b8ac10e11094373039a9a1b13244b84c,1402,True,6.149072136890643e-13,2
1484,2018-07-02,16553e812c0ffc4155c3d7b8a440f7a4b8ac10e11094373039a9a1b13244b84c,1402,True,6.149072136890643e-13,2
1506,2018-08-01,16553e812c0ffc4155c3d7b8a440f7a4b8ac10e11094373039a9a1b13244b84c,1402,True,6.149072136890643e-13,2
1529,2018-09-03,16553e812c0ffc4155c3d7b8a440f7a4b8ac10e11094373039a9a1b13244b84c,1402,True,6.149072136890643e-13,2
1548,2018-10-08,16553e812c0ffc4155c3d7b8a440f7a4b8ac10e11094373039a9a1b13244b84c,1402,True,6.149072136890643e-13,2
1566,2018-11-01,c2a0d1da23bdde454b7cce8edafa92e2d429fa18500e599ab26019ce7799cdd9,1566,False,7.912876083537856e-13,2
1588,2018-12-03,c2a0d1da23bdde454b7cce8edafa92e2d429fa18500e599ab26019ce7799cdd9,1566,True,7.912876083537856e-13,2
1608,2019-01-02,c2a0d1da23bdde454b7cce8edafa92e2d429fa18500e599ab26019ce7799cdd9,1566,True,7.912876083537856e-13,2
1630,2019-02-01,c2a0d1da23bdde454b7cce8edafa92e2d429fa18500e599ab26019ce7799cdd9,1566,True,7.912876083537856e-13,2
1645,2019-03-01,c2a0d1da23bdde454b7cce8edafa92e2d429fa18500e599ab26019ce7799cdd9,1566,True,7.912876083537856e-13,2
1666,2019-04-01,c2a0d1da23bdde454b7cce8edafa92e2d429fa18500e599ab26019ce7799cdd9,1566,True,7.912876083537856e-13,2
1687,2019-05-06,c2a0d1da23bdde454b7cce8edafa92e2d429fa18500e599ab26019ce7799cdd9,1566,True,7.912876083537856e-13,2
1707,2019-06-03,49fc07d4c718b5ebaad0d3882b655d5700aacaa895c94f99aac4cdd1680763ca,1707,False,1.0121929336359692e-12,2
1726,2019-07-01,49fc07d4c718b5ebaad0d3882b655d5700aacaa895c94f99aac4cdd1680763ca,1707,True,1.0121929336359692e-12,2
1749,2019-08-01,fa40909a00422014d43f9e4734f7c01ccd63dd56e0ddf81feda3721aa31ad428,1749,False,5.43576251718636e-13,2
1771,2019-09-02,fa40909a00422014d43f9e4734f7c01ccd63dd56e0ddf81feda3721aa31ad428,1749,True,5.43576251718636e-13,2
1791,2019-10-08,fa40909a00422014d43f9e4734f7c01ccd63dd56e0ddf81feda3721aa31ad428,1749,True,5.43576251718636e-13,2
1809,2019-11-01,fa40909a00422014d43f9e4734f7c01ccd63dd56e0ddf81feda3721aa31ad428,1749,True,5.43576251718636e-13,2
1830,2019-12-02,fa40909a00422014d43f9e4734f7c01ccd63dd56e0ddf81feda3721aa31ad428,1749,True,5.43576251718636e-13,2
1852,2020-01-02,fa40909a00422014d43f9e4734f7c01ccd63dd56e0ddf81feda3721aa31ad428,1749,True,5.43576251718636e-13,2
1868,2020-02-03,fa40909a00422014d43f9e4734f7c01ccd63dd56e0ddf81feda3721aa31ad428,1749,True,5.43576251718636e-13,2
1888,2020-03-02,fa40909a00422014d43f9e4734f7c01ccd63dd56e0ddf81feda3721aa31ad428,1749,True,5.43576251718636e-13,2
1910,2020-04-01,5022f750a25dd3d9b21b7ba904dec1aeb9db160c8b3752e86fd9afcf324dc68d,1910,False,7.574277576666288e-13,2
1931,2020-05-06,5022f750a25dd3d9b21b7ba904dec1aeb9db160c8b3752e86fd9afcf324dc68d,1910,True,7.574277576666288e-13,2
1949,2020-06-01,771821f762f178507f73d0d30034d907d73fad6d5e8a79742ac8242b6aee03dc,1949,False,4.271338057554308e-13,2
1969,2020-07-01,771821f762f178507f73d0d30034d907d73fad6d5e8a79742ac8242b6aee03dc,1949,True,4.271338057554308e-13,2
1992,2020-08-03,771821f762f178507f73d0d30034d907d73fad6d5e8a79742ac8242b6aee03dc,1949,True,4.271338057554308e-13,2
2013,2020-09-01,771821f762f178507f73d0d30034d907d73fad6d5e8a79742ac8242b6aee03dc,1949,True,4.271338057554308e-13,2
2035,2020-10-09,c93c9330082689bd759ce894df874f48d5a0a8ea05466dcc0e01f46902b9c46e,2035,False,3.9114696724629194e-13,2
2051,2020-11-02,c93c9330082689bd759ce894df874f48d5a0a8ea05466dcc0e01f46902b9c46e,2035,True,3.9114696724629194e-13,2
2072,2020-12-01,c93c9330082689bd759ce894df874f48d5a0a8ea05466dcc0e01f46902b9c46e,2035,True,3.9114696724629194e-13,2
2095,2021-01-04,c93c9330082689bd759ce894df874f48d5a0a8ea05466dcc0e01f46902b9c46e,2035,True,3.9114696724629194e-13,2
2115,2021-02-01,c93c9330082689bd759ce894df874f48d5a0a8ea05466dcc0e01f46902b9c46e,2035,True,3.9114696724629194e-13,2
2130,2021-03-01,43b20f45f70366a47c04997d21c287f7da0ea4e8e0c9eb76cd0c045e94791a47,2130,False,3.850687130269037e-13,2
2153,2021-04-01,43b20f45f70366a47c04997d21c287f7da0ea4e8e0c9eb76cd0c045e94791a47,2130,True,3.850687130269037e-13,2
2174,2021-05-06,43b20f45f70366a47c04997d21c287f7da0ea4e8e0c9eb76cd0c045e94791a47,2130,True,3.850687130269037e-13,2
2192,2021-06-01,43b20f45f70366a47c04997d21c287f7da0ea4e8e0c9eb76cd0c045e94791a47,2130,True,3.850687130269037e-13,2
2213,2021-07-01,43b20f45f70366a47c04997d21c287f7da0ea4e8e0c9eb76cd0c045e94791a47,2130,True,3.850687130269037e-13,2
2235,2021-08-02,9936e2c850db8dce699d64cef87b101b27e039cc30dbb6173badab02a59e52d3,2235,False,4.5412523567989194e-13,2
2257,2021-09-01,9936e2c850db8dce699d64cef87b101b27e039cc30dbb6173badab02a59e52d3,2235,True,4.5412523567989194e-13,2
2277,2021-10-08,9936e2c850db8dce699d64cef87b101b27e039cc30dbb6173badab02a59e52d3,2235,True,4.5412523567989194e-13,2
2293,2021-11-01,9936e2c850db8dce699d64cef87b101b27e039cc30dbb6173badab02a59e52d3,2235,True,4.5412523567989194e-13,2
2315,2021-12-01,9936e2c850db8dce699d64cef87b101b27e039cc30dbb6173badab02a59e52d3,2235,True,4.5412523567989194e-13,2
2338,2022-01-04,9936e2c850db8dce699d64cef87b101b27e039cc30dbb6173badab02a59e52d3,2235,True,4.5412523567989194e-13,2
2357,2022-02-07,2e80c9ed490b8915b741733cc90e9aa8e6b62f8830b7727679adc91e51916958,2357,False,5.209775753162171e-13,2
2373,2022-03-01,2e80c9ed490b8915b741733cc90e9aa8e6b62f8830b7727679adc91e51916958,2357,True,5.209775753162171e-13,2
2396,2022-04-01,2e80c9ed490b8915b741733cc90e9aa8e6b62f8830b7727679adc91e51916958,2357,True,5.209775753162171e-13,2
