period,cost,days,cycles,net_sharpe,net_profit
evaluation,BASE,1604,20,0.5173886772337755,64276.93252000003
evaluation,STRESS,1604,18,0.6470662131037426,80877.73264
earlier_diagnostic,BASE,1219,9,0.8165922624200894,120078.78570000001
earlier_diagnostic,STRESS,1219,9,0.7940289356810744,115592.53500000015
