period,cost,cycle_id,entry_date,selected_model_date,prediction_identity,states
earlier_diagnostic,BASE,1.0,2015-01-05,2015-01-05,NO_MODEL,11
earlier_diagnostic,BASE,2.0,2015-02-11,2015-02-02,NO_MODEL,60
earlier_diagnostic,BASE,3.0,2015-06-03,2015-06-01,NO_MODEL,13
earlier_diagnostic,BASE,4.0,2015-09-29,2015-09-01,NO_MODEL,60
earlier_diagnostic,BASE,5.0,2016-05-03,2016-05-03,NO_MODEL,60
earlier_diagnostic,BASE,6.0,2017-05-18,2017-05-02,ff3307202ed369d8dc94d998065d698840b4466d1b40bfd778e8aa6acbbfdec2,40
earlier_diagnostic,BASE,7.0,2018-10-09,2018-10-08,8d1afdac67b797c2120c3cd10e778ed59ca795e00d5853d0b586c8342ce49dd3,8
earlier_diagnostic,BASE,8.0,2019-02-28,2019-02-01,1b03cca0bc702e4fc6dd8d713b30d0cbd58b0d9d1876b72c228c47cfb26c526f,24
earlier_diagnostic,BASE,9.0,2019-05-31,2019-05-06,1b03cca0bc702e4fc6dd8d713b30d0cbd58b0d9d1876b72c228c47cfb26c526f,22
earlier_diagnostic,STRESS,1.0,2015-01-05,2015-01-05,NO_MODEL,11
earlier_diagnostic,STRESS,2.0,2015-02-11,2015-02-02,NO_MODEL,60
earlier_diagnostic,STRESS,3.0,2015-06-03,2015-06-01,NO_MODEL,13
earlier_diagnostic,STRESS,4.0,2015-09-29,2015-09-01,NO_MODEL,60
earlier_diagnostic,STRESS,5.0,2016-05-03,2016-05-03,NO_MODEL,60
earlier_diagnostic,STRESS,6.0,2017-05-18,2017-05-02,ff3307202ed369d8dc94d998065d698840b4466d1b40bfd778e8aa6acbbfdec2,40
earlier_diagnostic,STRESS,7.0,2018-10-09,2018-10-08,8d1afdac67b797c2120c3cd10e778ed59ca795e00d5853d0b586c8342ce49dd3,8
earlier_diagnostic,STRESS,8.0,2019-02-28,2019-02-01,1b03cca0bc702e4fc6dd8d713b30d0cbd58b0d9d1876b72c228c47cfb26c526f,24
earlier_diagnostic,STRESS,9.0,2019-05-31,2019-05-06,1b03cca0bc702e4fc6dd8d713b30d0cbd58b0d9d1876b72c228c47cfb26c526f,22
