period,cost,comparison,terminal_nav_difference,sharpe_difference,price_pnl_difference,dividend_recognized_difference,commission_difference,slippage_cost_difference
evaluation,BASE,ENTRY_VINTAGE_EXIT,-48276.34454000014,-0.36648891512188353,-41749.39999999998,-7181.4,-159.55545999999958,-494.89999999996144
evaluation,BASE,VINTAGE_REFERENCE_RISK,9003.931999999942,-0.22823688184187363,15086.100000000028,-3554.5999999999985,635.0680000000002,1892.50000000001
evaluation,BASE,TREND_NOISE_REFERENCE_BLEND,-2125.1401200000546,-0.7736030110812344,-2633.499999999942,4508.9,988.3401200000003,3012.200000000049
evaluation,BASE,BUY_HOLD,11025.868280000024,0.22948928657858203,35200.700000000026,-16568.9,1907.2317200000002,5698.69999999999
evaluation,STRESS,ENTRY_VINTAGE_EXIT,-23089.55168000009,-0.18441503738068665,-24386.500000000044,-1260.800000000001,-710.6483200000002,-1847.100000000024
evaluation,STRESS,VINTAGE_REFERENCE_RISK,30622.97599999982,-0.040026663054841594,31595.999999999956,2214.7999999999993,840.6239999999998,2347.19999999999
evaluation,STRESS,TREND_NOISE_REFERENCE_BLEND,18127.898440000077,-0.5847825614091822,13878.999999999985,10134.099999999999,1561.2015599999995,4324.000000000023
evaluation,STRESS,BUY_HOLD,27906.004159999982,0.3601577827935149,51429.19999999995,-10964.800000000003,3356.7958399999998,9201.600000000057
earlier_diagnostic,BASE,ENTRY_VINTAGE_EXIT,15011.60828000016,0.05055283578534231,15015.799999999988,0.0,3.391719999999964,0.7999999999665306
earlier_diagnostic,BASE,VINTAGE_REFERENCE_RISK,57841.47120000009,-0.2288072903643119,58271.90000000001,1295.0,444.32879999999994,1281.0999999999624
earlier_diagnostic,BASE,TREND_NOISE_REFERENCE_BLEND,61264.31284000003,-0.20553041742249478,61450.00000000001,1295.0,383.4871599999999,1097.1999999999427
earlier_diagnostic,BASE,BUY_HOLD,77616.59146,0.5378702762675374,96008.49999999999,-15124.199999999997,845.30854,2422.3999999999755
earlier_diagnostic,STRESS,ENTRY_VINTAGE_EXIT,7335.886400000076,0.014280676867804765,7341.199999999968,0.0,3.713600000000042,1.599999999965803
earlier_diagnostic,STRESS,VINTAGE_REFERENCE_RISK,51658.47748000012,-0.26660325187118494,53710.09999999998,1295.0,879.02252,2467.5999999999794
earlier_diagnostic,STRESS,TREND_NOISE_REFERENCE_BLEND,54232.674000000174,-0.24976096715180085,55838.39999999997,1295.0,757.9259999999999,2142.7999999999615
earlier_diagnostic,STRESS,BUY_HOLD,73436.94652000014,0.5163211615003498,94993.19999999997,-15124.199999999997,1676.15348,4755.899999999975
