period,cost,final_equity_difference,price_pnl_difference,dividend_difference,extra_commission_and_slippage
evaluation,BASE,-4919.386680000229,-9799.599999999904,836.1000000000004,-4044.113319999831
evaluation,STRESS,-959.192480000318,-9229.599999999919,880.2000000000007,-7390.207519999958
earlier_diagnostic,BASE,-5887.438659999985,-5906.099999999991,0.0,-18.661339999983284
earlier_diagnostic,STRESS,-5819.996840000094,-5857.299999999988,0.0,-37.30316000000039
