period,cost,first_partial_exit,checked_account_days,all_economic_fields_equal_before_first_change
evaluation,BASE,2020-03-02,36,True
evaluation,STRESS,2020-03-02,36,True
earlier_diagnostic,BASE,2018-10-15,920,True
earlier_diagnostic,STRESS,2018-10-15,920,True
