period,cost,cycle_id,entry_date,partial_exit_date,final_exit_date,remaining_quantity,remaining_holding_intervals,remaining_execution_price_difference_cny,additional_dividend_rights_cny,extra_commission_cny,fixed_cycle_increment_cny,increment_over_remaining_value,comparison
evaluation,BASE,1,2020-02-05,2020-03-02,2020-03-17,26400,11,-4989.600000000001,0.0,-0.9979200000000006,-4988.6020800000015,-0.047862765957446825,实际分批退出减同日立即全部卖出；固定本次进入、份额和实际终点，不是新策略账户
evaluation,BASE,2,2020-07-01,2020-07-15,2020-09-23,24300,50,-3815.100000000001,0.0,-0.7630199999999974,-3814.336980000001,-0.0322980658436214,实际分批退出减同日立即全部卖出；固定本次进入、份额和实际终点，不是新策略账户
evaluation,BASE,3,2021-01-05,2021-01-21,2021-03-01,21700,22,-2213.400000000007,0.0,-0.44268000000000285,-2212.957320000007,-0.018599233995987657,实际分批退出减同日立即全部卖出；固定本次进入、份额和实际终点，不是新策略账户
evaluation,BASE,4,2021-06-08,2021-07-21,2021-07-28,22600,5,-8520.200000000015,0.0,-1.7040400000000062,-8518.495960000015,-0.07276536679536692,实际分批退出减同日立即全部卖出；固定本次进入、份额和实际终点，不是新策略账户
evaluation,BASE,5,2021-10-29,2021-11-22,2022-01-17,22800,39,-4012.8000000000034,0.0,-0.8025599999999997,-4011.9974400000033,-0.03537691998391639,实际分批退出减同日立即全部卖出；固定本次进入、份额和实际终点，不是新策略账户
evaluation,BASE,6,2022-05-13,2022-05-23,2022-08-04,27900,52,1673.999999999989,0.0,0.3348000000000013,1673.665199999989,0.014706545721990589,实际分批退出减同日立即全部卖出；固定本次进入、份额和实际终点，不是新策略账户
evaluation,BASE,7,2022-08-10,2022-08-26,2022-09-08,27200,9,-1523.2000000000014,0.0,-0.30463999999999913,-1522.8953600000013,-0.013397654941373545,实际分批退出减同日立即全部卖出；固定本次进入、份额和实际终点，不是新策略账户
evaluation,BASE,8,2024-02-19,2024-02-23,2024-05-20,33400,56,6913.80000000001,0.0,1.3827599999999975,6912.41724000001,0.05955643165467634,实际分批退出减同日立即全部卖出；固定本次进入、份额和实际终点，不是新策略账户
evaluation,BASE,9,2024-06-18,2024-07-18,2024-09-03,33600,33,-7089.599999999995,0.0,-1.4179200000000023,-7088.182079999995,-0.05957576955662239,实际分批退出减同日立即全部卖出；固定本次进入、份额和实际终点，不是新策略账户
evaluation,BASE,10,2024-09-25,2024-09-30,2024-10-10,33100,3,2085.2999999999906,0.0,0.4170600000000064,2084.8829399999904,0.01571934115298221,实际分批退出减同日立即全部卖出；固定本次进入、份额和实际终点，不是新策略账户
evaluation,BASE,11,2025-04-10,2025-04-23,2025-07-09,34900,51,5409.499999999994,3071.2,1.0819000000000045,8479.618099999994,0.0624278006166495,实际分批退出减同日立即全部卖出；固定本次进入、份额和实际终点，不是新策略账户
evaluation,BASE,12,2025-12-19,2026-01-16,2026-02-04,29900,13,-7564.7000000000035,3677.7,-1.5129400000000075,-3885.4870600000036,-0.02649325178389401,实际分批退出减同日立即全部卖出；固定本次进入、份额和实际终点，不是新策略账户
evaluation,BASE,13,2026-05-06,2026-05-08,2026-07-20,29700,50,-7722.00000000002,0.0,-1.544400000000003,-7720.45560000002,-0.05315910020449912,实际分批退出减同日立即全部卖出；固定本次进入、份额和实际终点，不是新策略账户
evaluation,BASE,14,2026-07-23,2026-07-31,2026-08-14,29600,10,1687.199999999985,0.0,0.33743999999999374,1686.862559999985,0.012177051282051174,实际分批退出减同日立即全部卖出；固定本次进入、份额和实际终点，不是新策略账户
evaluation,STRESS,1,2020-02-05,2020-03-02,2020-03-17,26400,11,-4989.600000000001,0.0,-1.9958400000000012,-4987.604160000002,-0.04785319148936172,实际分批退出减同日立即全部卖出；固定本次进入、份额和实际终点，不是新策略账户
evaluation,STRESS,2,2020-07-01,2020-07-15,2020-09-23,24200,50,-3799.4000000000005,0.0,-1.519760000000005,-3797.8802400000004,-0.03229160493827161,实际分批退出减同日立即全部卖出；固定本次进入、份额和实际终点，不是新策略账户
evaluation,STRESS,3,2021-01-05,2021-01-21,2021-03-01,21600,22,-2203.2000000000066,0.0,-0.8812800000000038,-2202.3187200000066,-0.018595513405070273,实际分批退出减同日立即全部卖出；固定本次进入、份额和实际终点，不是新策略账户
evaluation,STRESS,4,2021-06-08,2021-07-21,2021-07-28,22500,5,-8460.000000000007,0.0,-3.3840000000000003,-8456.616000000007,-0.0725578378378379,实际分批退出减同日立即全部卖出；固定本次进入、份额和实际终点，不是新策略账户
evaluation,STRESS,5,2021-10-29,2021-11-22,2022-01-17,22600,39,-3977.6000000000035,0.0,-1.5910400000000067,-3976.0089600000038,-0.03536984318455974,实际分批退出减同日立即全部卖出；固定本次进入、份额和实际终点，不是新策略账户
evaluation,STRESS,6,2022-05-13,2022-05-23,2022-08-04,27700,52,1662.0000000000139,0.0,0.6647999999999996,1661.3352000000139,0.014703603824466905,实际分批退出减同日立即全部卖出；固定本次进入、份额和实际终点，不是新策略账户
evaluation,STRESS,7,2022-08-10,2022-08-26,2022-09-08,26900,9,-1506.4000000000012,0.0,-0.6025599999999969,-1505.7974400000012,-0.013394974874371869,实际分批退出减同日立即全部卖出；固定本次进入、份额和实际终点，不是新策略账户
evaluation,STRESS,8,2024-02-19,2024-02-23,2024-05-20,33100,56,6851.699999999995,0.0,2.7406800000000118,6848.959319999995,0.05954451798561147,实际分批退出减同日立即全部卖出；固定本次进入、份额和实际终点，不是新策略账户
evaluation,STRESS,9,2024-06-18,2024-07-18,2024-09-03,33200,33,-7005.199999999995,0.0,-2.8020800000000037,-7002.397919999995,-0.05956385201920357,实际分批退出减同日立即全部卖出；固定本次进入、份额和实际终点，不是新策略账户
