period,cost,difference,entry_date,exit_date,entry_quantity,net_profit_cny
evaluation,BASE,原进入日期在新账户中未出现,2020-08-19,2020-09-11,49500,-12122.520299999976
evaluation,BASE,原进入日期在新账户中未出现,2021-02-03,2021-02-26,43400,-4781.638399999967
evaluation,BASE,原进入日期在新账户中未出现,2021-11-25,2021-12-09,45900,3304.1023199999763
evaluation,BASE,原进入日期在新账户中未出现,2022-06-08,2022-06-10,56800,-1912.3878400000103
evaluation,BASE,原进入日期在新账户中未出现,2024-08-02,2024-08-06,68900,-2575.316640000005
evaluation,BASE,原进入日期在新账户中未出现,2024-08-28,2024-09-12,70300,-8177.703739999997
evaluation,BASE,原进入日期在新账户中未出现,2025-06-03,2025-06-18,67600,2665.4815200000303
evaluation,BASE,原进入日期在新账户中未出现,2026-05-13,2026-05-18,57100,-5307.958900000027
evaluation,BASE,原进入日期在新账户中未出现,2026-06-05,2026-06-23,56500,9153.135600000038
evaluation,BASE,原进入日期在新账户中未出现,2026-08-07,2026-08-14,59700,1379.7505799999344
evaluation,STRESS,原进入日期在新账户中未出现,2020-08-19,2020-09-11,49300,-12364.380839999998
evaluation,STRESS,原进入日期在新账户中未出现,2021-02-03,2021-02-26,43200,-5112.806400000001
evaluation,STRESS,原进入日期在新账户中未出现,2021-11-25,2021-12-09,45500,2956.1350000000093
evaluation,STRESS,原进入日期在新账户中未出现,2022-06-08,2022-06-10,56100,-2206.8393600000127
evaluation,STRESS,原进入日期在新账户中未出现,2024-08-02,2024-08-06,67600,-2890.25152000002
evaluation,STRESS,原进入日期在新账户中未出现,2024-08-28,2024-09-12,68800,-8369.630080000003
evaluation,STRESS,原进入日期在新账户中未出现,2025-06-03,2025-06-18,65900,2231.40036
evaluation,STRESS,原进入日期在新账户中未出现,2026-05-13,2026-05-18,55500,-5489.948999999906
evaluation,STRESS,原进入日期在新账户中未出现,2026-06-05,2026-06-23,54800,8494.284960000019
evaluation,STRESS,原进入日期在新账户中未出现,2026-08-07,2026-08-14,57800,995.477840000065
