period,cost,partial_exit_cycles,positive_remaining_increment_cycles,negative_remaining_increment_cycles,sum_fixed_cycle_increment_cny,sum_remaining_execution_price_difference_cny,sum_additional_dividend_rights_cny,sum_extra_commission_cny,new_completed_cycles,old_completed_cycles,common_entry_dates,old_entry_dates_absent_in_new,new_entry_dates_absent_in_old
evaluation,BASE,14,5,9,-22925.96384000008,-29680.80000000008,6748.9,-5.936160000000015,14,24,14,10,0
evaluation,STRESS,14,5,9,-22763.932359999963,-29419.099999999966,6643.4,-11.767639999999957,14,24,14,10,0
earlier_diagnostic,BASE,2,1,1,-5531.593460000013,-5532.700000000013,0.0,-1.1065400000000025,9,9,9,0,0
earlier_diagnostic,STRESS,2,1,1,-5481.706439999995,-5483.899999999995,0.0,-2.193559999999991,9,9,9,0,0
