origin,actual_index_members,pooled_eps_growth_company_count,pooled_eps_growth_median,pooled_profit_revision_company_count,pooled_profit_revision_median,pooled_reported_earnings_yield_company_count,pooled_reported_earnings_yield_median,pooled_source_valid,soochow_eps_growth_company_count,soochow_eps_growth_median,soochow_profit_revision_company_count,soochow_profit_revision_median,soochow_reported_earnings_yield_company_count,soochow_reported_earnings_yield_median,soochow_source_valid,dual_institution_growth_share,pooled_report_age_mean_days,pooled_profit_revision_breadth,common_sources_valid,qualified_pe_company_count,pooled_qualified_reported_earnings_yield_median,common_quality_features_valid
2015-01-30,300,0,,0,,0,,False,0,,0,,0,,False,,,,False,0,,False
2015-02-27,300,0,,0,,0,,False,0,,0,,0,,False,,,,False,0,,False
2015-03-31,300,0,,0,,0,,False,0,,0,,0,,False,,,,False,0,,False
2015-04-30,300,0,,0,,0,,False,0,,0,,0,,False,,,,False,0,,False
2015-05-29,300,0,,0,,0,,False,0,,0,,0,,False,,,,False,0,,False
2015-06-30,300,0,,0,,0,,False,0,,0,,0,,False,,,,False,0,,False
2015-07-31,300,0,,0,,0,,False,0,,0,,0,,False,,,,False,0,,False
2015-08-31,300,0,,0,,0,,False,0,,0,,0,,False,,,,False,0,,False
2015-09-30,300,0,,0,,0,,False,0,,0,,0,,False,,,,False,0,,False
2015-10-30,300,0,,0,,0,,False,0,,0,,0,,False,,,,False,0,,False
2015-11-30,300,0,,0,,0,,False,0,,0,,0,,False,,,,False,0,,False
2015-12-31,300,0,,0,,0,,False,0,,0,,0,,False,,,,False,0,,False
2016-01-29,300,0,,0,,0,,False,0,,0,,0,,False,,,,False,0,,False
2016-02-29,300,0,,0,,0,,False,0,,0,,0,,False,,,,False,0,,False
2016-03-31,300,0,,0,,0,,False,0,,0,,0,,False,,,,False,0,,False
2016-04-29,300,0,,0,,0,,False,0,,0,,0,,False,,,,False,0,,False
2016-05-31,300,0,,0,,0,,False,0,,0,,0,,False,,,,False,0,,False
2016-06-30,300,0,,0,,0,,False,0,,0,,0,,False,,,,False,0,,False
2016-07-29,300,0,,0,,0,,False,0,,0,,0,,False,,,,False,0,,False
2016-08-31,300,0,,0,,0,,False,0,,0,,0,,False,,,,False,0,,False
2016-09-30,300,0,,0,,0,,False,0,,0,,0,,False,,,,False,0,,False
2016-10-31,300,0,,0,,0,,False,0,,0,,0,,False,,,,False,0,,False
2016-11-30,300,0,,0,,0,,False,0,,0,,0,,False,,,,False,0,,False
2016-12-30,300,0,,0,,0,,False,0,,0,,0,,False,,,,False,0,,False
2017-01-26,300,5,0.14705882352941174,0,,3,0.08333333333333333,False,5,0.14705882352941174,0,,3,0.08333333333333333,False,0.0,12.4,,False,3,0.08333333333333333,False
2017-02-28,300,9,0.16993464052287585,0,,6,0.08103674540682415,False,9,0.16993464052287585,0,,6,0.08103674540682415,False,0.0,29.666666666666668,,False,5,0.07874015748031496,False
2017-03-31,300,18,0.19622298172147118,0,,13,0.05770340450086556,False,18,0.19622298172147118,0,,13,0.05770340450086556,False,0.0,26.38888888888889,,False,8,0.07367280606717228,False
2017-04-28,300,27,0.19954853273137696,4,0.0,18,0.05732550635066057,False,27,0.19954853273137696,4,0.0,18,0.05732550635066057,False,0.0,28.74074074074074,0.25,False,12,0.05933950712848156,False
2017-05-31,300,29,0.19954853273137696,6,0.0,21,0.056947608200455586,False,29,0.19954853273137696,6,0.0,21,0.056947608200455586,False,0.0,48.172413793103445,0.0,False,14,0.06894934333958724,False
2017-06-30,300,33,0.22014051522248254,9,0.0,23,0.05162622612287041,False,32,0.22118136872235233,9,0.0,23,0.05162622612287041,False,0.0,64.33333333333333,0.0,False,13,0.056947608200455586,False
2017-07-31,300,32,0.21454786955153982,11,0.0,22,0.05306106946470496,False,31,0.22014051522248254,11,0.0,22,0.05306106946470496,False,0.0,76.90625,0.09090909090909091,False,14,0.05483979621910656,False
2017-08-31,300,58,0.19048482806872064,11,0.0,50,0.05291153415453527,False,57,0.1879194630872482,11,0.0,48,0.05252124020743683,False,0.034482758620689655,40.456896551724135,0.2727272727272727,False,38,0.05396301342743015,False
2017-09-29,300,63,0.18025751072961368,11,0.0,55,0.052410901467505246,False,63,0.18025751072961368,10,0.0,53,0.05162622612287041,False,0.06349206349206349,49.62698412698413,0.36363636363636365,False,42,0.05252124020743683,False
2017-10-31,300,62,0.18889457443674318,5,0.0,59,0.0502008032128514,False,62,0.18889457443674318,4,0.0020541769153198915,57,0.0501002004008016,False,0.06451612903225806,35.63709677419355,0.2,False,50,0.04998775606074993,False
2017-11-30,300,65,0.18623481781376516,34,0.0,62,0.05080734248046169,True,64,0.19311740890688261,32,0.0,59,0.049776007964161276,True,0.07692307692307693,48.738461538461536,-0.029411764705882353,True,51,0.04870920603994155,True
2017-12-29,300,73,0.20000000000000004,43,0.0,67,0.04870920603994155,True,72,0.20358565737051798,42,0.0,64,0.04849752914261683,True,0.0684931506849315,71.83561643835617,-0.09302325581395349,True,58,0.04737100992928682,True
2018-01-31,300,72,0.1847852597503381,50,0.0,66,0.062330528556666584,True,71,0.18469656992084427,47,0.0,63,0.05995203836930456,True,0.06944444444444445,93.68055555555556,0.06,True,56,0.05872508968248795,True
2018-02-28,300,65,0.18469656992084427,41,0.0,57,0.05720823798627002,True,63,0.18487394957983191,39,0.0,55,0.05720823798627002,True,0.03076923076923077,88.86153846153846,0.024390243902439025,True,51,0.056818181818181816,True
2018-03-30,300,61,0.19889502762430944,33,0.0,52,0.05680204945537143,True,59,0.20270270270270258,31,0.0,50,0.05680204945537143,True,0.03278688524590164,80.14754098360656,0.21212121212121213,True,48,0.05665751479274746,True
2018-04-27,300,60,0.20175368545463251,29,0.0,54,0.05795503857847424,True,59,0.2047244094488189,27,0.0,53,0.057736720554272515,True,0.03333333333333333,53.483333333333334,0.1724137931034483,True,51,0.05678591709256105,True
2018-05-31,300,54,0.2048832131277708,23,0.0,49,0.0617283950617284,True,54,0.2048832131277708,23,0.0,49,0.0617283950617284,True,0.0,47.48148148148148,0.08695652173913043,True,48,0.0603801361377119,True
2018-06-29,300,56,0.2048832131277708,24,0.0,52,0.06227123270674359,True,54,0.2048832131277708,23,0.0,50,0.06227123270674359,True,0.0,68.92857142857143,0.08333333333333333,True,49,0.0617283950617284,True
2018-07-31,300,58,0.21454251415064995,22,0.0,55,0.05903187721369539,True,57,0.2145922746781116,22,0.0,54,0.06092297378272709,True,0.0,72.1896551724138,-0.045454545454545456,True,52,0.05892770331273005,True
2018-08-31,300,66,0.21728967449048592,20,0.0,63,0.06501950585175552,True,64,0.21728967449048592,19,0.0,61,0.06501950585175552,True,0.0,35.166666666666664,0.2,True,58,0.06335144177205843,True
2018-09-28,300,67,0.2160919540229886,18,0.0,65,0.06765899864682003,True,65,0.2160919540229886,17,0.0,63,0.06765899864682003,True,0.0,47.3134328358209,0.16666666666666666,True,61,0.06743088334457181,True
2018-10-31,300,65,0.20209059233449478,21,-0.010178117048346057,63,0.078064012490242,True,62,0.20163701214357876,20,-0.013638332829958678,60,0.07794251208169688,True,0.0,24.307692307692307,-0.3333333333333333,True,57,0.07722007722007722,True
2018-11-30,300,69,0.19878296146044616,39,0.0,67,0.0818330605564648,True,66,0.19722876188367314,37,0.0,64,0.0799485365233534,True,0.0,42.0,-0.358974358974359,True,61,0.07782101167315175,True
2018-12-28,300,73,0.2047244094488189,45,0.0,71,0.07722007722007722,True,70,0.20402579067635027,43,0.0,68,0.07671979470759958,True,0.0,65.67123287671232,-0.28888888888888886,True,65,0.06747638326585695,True
2019-01-31,300,71,0.19607843137254907,48,0.0,69,0.08718395815170009,True,68,0.19327731092436978,45,0.0,66,0.08607286267822897,True,0.0,78.16901408450704,0.0,True,63,0.0827129859387924,True
2019-02-28,300,67,0.20000000000000004,45,0.0,67,0.0827129859387924,True,65,0.20527859237536647,43,0.0,65,0.07818608287724786,True,0.0,71.11940298507463,-0.08888888888888889,True,62,0.07587270885143226,True
2019-03-29,300,70,0.19900990099009908,47,0.0,70,0.07272731119461087,True,68,0.20130391173520562,45,0.0,68,0.0722309637890449,True,0.014285714285714285,73.4,-0.19148936170212766,True,65,0.07012622720897616,True
2019-04-30,300,66,0.19890603491994496,45,-0.03225357729081079,66,0.05684684760147862,True,64,0.20169262499111018,44,-0.03270853399927692,64,0.05316863587540279,True,0.0,29.924242424242426,-0.4,True,62,0.05684684760147862,True
2019-05-31,300,67,0.1962616822429907,48,-0.00042422814046665097,67,0.05370569280343716,True,65,0.20155038759689922,47,-0.0008484562809333019,65,0.05263157894736842,True,0.0,45.92537313432836,-0.10416666666666667,True,62,0.05316863587540279,True
2019-06-28,300,69,0.1962616822429907,53,0.0,69,0.05370569280343716,True,67,0.20155038759689922,51,0.0,67,0.05263157894736842,True,0.0,66.68115942028986,-0.11320754716981132,True,64,0.05316863587540279,True
2019-07-31,300,66,0.19556673855739282,58,0.0,66,0.052410959054624964,True,64,0.19890603491994496,56,0.0,64,0.052111620429710404,True,0.0,71.0909090909091,0.05172413793103448,True,61,0.051867219917012444,True
2019-08-30,300,70,0.19948764015038095,60,0.0,70,0.052111620429710404,True,68,0.19948764015038095,58,0.0,68,0.050933609958506224,True,0.014285714285714285,48.18571428571428,0.06666666666666667,True,66,0.052111620429710404,True
