period,model,cost,decision_origins,positive_target_origins,zero_target_origins,unknown_target_origins,both_parent_positive_origins,only_reference_positive_origins,only_runs_positive_origins,both_parent_zero_origins,mean_target
evaluation,RUNS_REFERENCE_BLEND,BASE,1604,445,1159,0,11,301,133,1159,0.06410628813541741
evaluation,RUNS_REFERENCE_BLEND,STRESS,1604,445,1159,0,11,301,133,1159,0.06410628813541741
earlier_diagnostic,RUNS_REFERENCE_BLEND,BASE,1219,449,770,0,49,253,147,770,0.11006446726096022
earlier_diagnostic,RUNS_REFERENCE_BLEND,STRESS,1219,455,764,0,49,259,147,764,0.11213121058380253
