period,cost,all_factor_rows,decision_origins,combined_target_max_error,saved_parent_close_targets_checked,parent_fee_dates_and_next_open_aligned,independent_half_sum_and_unknown_semantics_equal
evaluation,BASE,3456,1604,0.0,3208,True,True
evaluation,STRESS,3456,1604,0.0,3208,True,True
earlier_diagnostic,BASE,1852,1219,0.0,2438,True,True
earlier_diagnostic,STRESS,1852,1219,0.0,2438,True,True
