cost,model,year,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown,trading_days,mean_exposure,trade_count,commission,slippage_cost,terminal_unliquidated,max_accounting_error
BASE,S1_PRICE_PLUS_EPS_RESIDUAL,2020,0.08683715689999877,0.08646478090238845,0.08915004748608987,0.11090283962403953,0.8038572122076261,-0.09796746778545593,243,0.4493149918427913,9,125.66862,358.30000000000234,False,3.433342499192804e-11
BASE,S1_PRICE_PLUS_EPS_RESIDUAL,2021,-0.013065456319603121,-0.013012040351206131,-0.0053516054410869636,0.12460116368649372,-0.04294988331370662,-0.12062195695714843,243,0.7030081378758128,8,98.60468,291.00000000000153,False,5.2295945351943374e-11
BASE,S1_PRICE_PLUS_EPS_RESIDUAL,2022,-0.1689325576569734,-0.1689325576569734,-0.1731085440365916,0.15417465983603926,-1.1228080167044834,-0.2341024141879565,242,0.5994898037947441,9,104.46688000000002,301.49999999999136,False,3.785771696129814e-11
BASE,S1_PRICE_PLUS_EPS_RESIDUAL,2023,-0.061092934612737626,-0.061092934612737626,-0.060978229910503286,0.0642173382707342,-0.949560220846041,-0.06950929533522625,242,0.3242113169615654,6,129.66136,384.5999999999969,False,3.581135388230905e-11
BASE,S1_PRICE_PLUS_EPS_RESIDUAL,2024,0.0657724800205128,0.0657724800205128,0.08099867091909163,0.18822363059311178,0.4303321036995014,-0.17395540520632516,242,0.6585630825110605,5,112.83554000000001,328.10000000000144,False,3.83124643121846e-11
BASE,S1_PRICE_PLUS_EPS_RESIDUAL,2025,0.18856384070569449,0.18771920549463053,0.1826719111993064,0.14508221532063326,1.259092375971786,-0.10064918470594346,243,0.9580143982085597,3,53.13155999999999,155.4000000000125,False,5.547917680814862e-11
BASE,S1_PRICE_PLUS_EPS_RESIDUAL,2026,0.021911499820346347,0.03583049687825016,0.052761586519090166,0.18781759769150402,0.28091929173619096,-0.09843993325425301,149,0.9900051626000574,2,48.26876,140.40000000000532,False,5.547917680814862e-11
BASE,S2_PRICE_ALL_MATURE_MONTHS,2020,0.08683715689999877,0.08646478090238845,0.08915004748608987,0.11090283962403953,0.8038572122076261,-0.09796746778545593,243,0.4493149918427913,9,125.66862,358.30000000000234,False,3.433342499192804e-11
BASE,S2_PRICE_ALL_MATURE_MONTHS,2021,-0.013065456319603121,-0.013012040351206131,-0.0053516054410869636,0.12460116368649372,-0.04294988331370662,-0.12062195695714843,243,0.7030081378758128,8,98.60468,291.00000000000153,False,5.2295945351943374e-11
BASE,S2_PRICE_ALL_MATURE_MONTHS,2022,-0.1689325576569734,-0.1689325576569734,-0.1731085440365916,0.15417465983603926,-1.1228080167044834,-0.2341024141879565,242,0.5994898037947441,9,104.46688000000002,301.49999999999136,False,3.785771696129814e-11
BASE,S2_PRICE_ALL_MATURE_MONTHS,2023,-0.08533803247846862,-0.08533803247846862,-0.08647996066149333,0.07371988710438238,-1.173088620429431,-0.11863088583040228,242,0.4282164283235302,7,121.1413,359.39999999999964,False,4.865796654485166e-11
BASE,S2_PRICE_ALL_MATURE_MONTHS,2024,0.11359558978028536,0.11359558978028536,0.11216395108904764,0.0963462159606236,1.1641759873048747,-0.06402967500605643,242,0.3028602810964167,9,93.22652000000001,267.2999999999904,False,3.106492840743158e-11
BASE,S2_PRICE_ALL_MATURE_MONTHS,2025,0.013585541721556304,0.013529257646051215,0.015369792543708547,0.06206486782795911,0.2476407842567697,-0.05190372875446977,243,0.30889140188686065,5,72.51464000000001,239.20000000000226,False,3.916511559509672e-11
BASE,S2_PRICE_ALL_MATURE_MONTHS,2026,0.08286406797677047,0.13802984704240193,0.1330875282603853,0.08704092618735702,1.5290224276096536,-0.037612878055719105,149,0.47426219343625287,7,115.8515,367.2000000000044,False,4.126832209294662e-11
BASE,BUY_HOLD,2020,0.2814884467999998,0.2801811402090982,0.27355207408866355,0.22973862748596008,1.1907099693340903,-0.16055455715202166,243,0.9980743079350705,1,39.91064,145.2000000000055,False,2.7284841053187847e-11
BASE,BUY_HOLD,2021,-0.03909048117061911,-0.03893278801219865,-0.02383188177217863,0.17830056468572633,-0.13366128040135403,-0.16951436057712796,243,0.9850610403433633,0,0.0,0.0,False,8.185452315956354e-11
BASE,BUY_HOLD,2022,-0.1955425417304226,-0.1955425417304226,-0.19953602070306542,0.18977907942455732,-1.0514121014186222,-0.2688464292333853,242,0.9646426639612224,0,0.0,0.0,False,2.8194335754960775e-11
