date,entry_event,weak_exit_event,opening_gap_after_dividend,close_recovery_after_dividend,intraday_change,policy_intent,target
2012-05-28,,,,,,,
2012-05-29,1.0,0.0,-0.002,0.04,0.042,1.0,1.0
2012-05-30,0.0,1.0,-0.002,-0.008,-0.006,0.0,0.0
2012-05-31,0.0,0.0,-0.015,-0.006,0.009,0.0,0.0
2012-06-01,0.0,0.0,-0.001,0.0,0.001,0.0,0.0
2012-06-04,0.0,1.0,-0.029,-0.072,-0.043,0.0,0.0
2012-06-05,0.0,1.0,0.004,0.003,-0.001,0.0,0.0
2012-06-06,0.0,1.0,0.002,-0.002,-0.004,0.0,0.0
2012-06-07,0.0,1.0,0.019,-0.016,-0.035,0.0,0.0
2012-06-08,0.0,1.0,0.015,-0.009,-0.024,0.0,0.0
2012-06-11,0.0,0.0,0.009,0.03,0.021,0.0,0.0
2012-06-12,0.0,1.0,-0.014,-0.016,-0.002,0.0,0.0
2012-06-13,0.0,0.0,0.012,0.037,0.025,0.0,0.0
2012-06-14,0.0,1.0,-0.005,-0.011,-0.006,0.0,0.0
2012-06-15,0.0,0.0,0.008,0.01,0.002,0.0,0.0
2012-06-18,0.0,0.0,0.005,0.008,0.003,0.0,0.0
2012-06-19,0.0,1.0,-0.002,-0.019,-0.017,0.0,0.0
2012-06-20,0.0,1.0,0.007,-0.003,-0.01,0.0,0.0
2012-06-21,0.0,1.0,-0.007,-0.04,-0.033,0.0,0.0
2012-06-25,0.0,1.0,-0.003,-0.05,-0.047,0.0,0.0
2012-06-26,0.0,0.0,-0.008,0.0,0.008,0.0,0.0
2012-06-27,0.0,1.0,-0.002,-0.009,-0.007,0.0,0.0
2012-06-28,0.0,1.0,0.009,-0.014,-0.023,0.0,0.0
2012-06-29,1.0,0.0,-0.006,0.028,0.034,1.0,1.0
2012-07-02,0.0,1.0,0.01,0.0,-0.01,0.0,0.0
2012-07-03,0.0,0.0,0.003,0.004,0.001,0.0,0.0
2012-07-04,0.0,1.0,0.005,0.0,-0.005,0.0,0.0
2012-07-05,0.0,1.0,-0.01,-0.028,-0.018,0.0,0.0
2012-07-06,0.0,0.0,0.005,0.04,0.035,0.0,0.0
2012-07-09,0.0,1.0,-0.012,-0.05,-0.038,0.0,0.0
2012-07-10,0.0,1.0,-0.002,-0.01,-0.008,0.0,0.0
2012-07-11,1.0,0.0,-0.003,0.011,0.014,1.0,1.0
2012-07-12,1.0,0.0,-0.006,0.022,0.028,1.0,1.0
2012-07-13,1.0,0.0,-0.001,0.004,0.005,1.0,1.0
2012-07-16,0.0,1.0,0.003,-0.04,-0.043,0.0,0.0
2012-07-17,1.0,0.0,-0.001,0.005,0.006,1.0,1.0
2012-07-18,0.0,0.0,-0.002,0.0,0.002,1.0,1.0
2012-07-19,1.0,0.0,-0.002,0.008,0.01,1.0,1.0
2012-07-20,0.0,1.0,-0.006,-0.018,-0.012,0.0,0.0
2012-07-23,0.0,1.0,-0.022,-0.03,-0.008,0.0,0.0
2012-07-24,1.0,0.0,-0.006,0.005,0.011,1.0,1.0
2012-07-25,0.0,1.0,-0.008,-0.015,-0.007,0.0,0.0
2012-07-26,0.0,1.0,0.002,-0.011,-0.013,0.0,0.0
2012-07-27,0.0,1.0,0.007,0.003,-0.004,0.0,0.0
2012-07-30,0.0,1.0,0.004,-0.008,-0.012,0.0,0.0
2012-07-31,0.0,1.0,0.001,-0.006,-0.007,0.0,0.0
2012-08-01,0.0,0.0,0.001,0.018,0.017,0.0,0.0
2012-08-02,0.0,1.0,-0.003,-0.018,-0.015,0.0,0.0
2012-08-03,0.0,0.0,0.004,0.014,0.01,0.0,0.0
2012-08-06,1.0,0.0,-0.002,0.031,0.033,1.0,1.0
