period,cost,origin,entry_date,origin_has_entry_event,signal_day_intraday_return_not_earned,actual_entry_day_intraday_return_before_cost
evaluation,BASE,2019-12-31,2020-01-02,True,0.006635536986974611,0.0070388349514562965
evaluation,BASE,2020-01-13,2020-01-14,True,0.011068334937439861,-0.004283674440742402
evaluation,BASE,2020-01-22,2020-01-23,True,0.007336757153338036,-0.020828228375398328
evaluation,BASE,2020-02-04,2020-02-05,True,0.03287671232876721,0.0060782241014798455
evaluation,BASE,2020-02-14,2020-02-17,True,0.008111533586818709,0.019568489713998938
evaluation,BASE,2020-02-19,2020-02-20,True,0.0009910802775026095,0.01874229346485823
evaluation,BASE,2020-03-04,2020-03-05,True,0.009102091020910086,0.01180438448566612
evaluation,BASE,2020-04-01,2020-04-02,True,0.002456331877729312,0.01776927282668117
evaluation,BASE,2020-04-16,2020-04-17,True,0.003978779840848823,0.0013109596224436526
evaluation,BASE,2020-04-22,2020-04-23,True,0.013231013495633936,-0.0026096033402922547
evaluation,BASE,2020-04-29,2020-04-30,True,0.006534239414532017,0.011125485122897683
evaluation,BASE,2020-05-13,2020-05-14,True,0.005339435545385296,-0.004822335025380764
evaluation,BASE,2020-05-18,2020-05-19,True,0.0033324788515765036,-0.0017721518987342533
evaluation,BASE,2020-05-25,2020-05-26,True,0.0013116474291712255,0.007563901930099037
evaluation,BASE,2020-05-29,2020-06-01,True,0.009399477806788514,0.017957927142124186
evaluation,BASE,2020-06-05,2020-06-08,True,0.0060316662478010485,0.0004975124378110429
evaluation,BASE,2020-06-12,2020-06-15,True,0.012872286723876858,-0.006529382219989999
evaluation,BASE,2020-06-18,2020-06-19,True,0.009967605282830805,0.013580246913580396
evaluation,BASE,2020-07-02,2020-07-03,True,0.023419203747072626,0.01618787049703596
evaluation,BASE,2020-07-08,2020-07-09,True,0.013519222644697848,0.015846538782318564
evaluation,BASE,2020-07-13,2020-07-14,True,0.02153910497699707,-0.007176542956735754
evaluation,BASE,2020-07-22,2020-07-23,True,0.012679628064243387,0.005061155630535552
evaluation,BASE,2020-07-29,2020-07-30,True,0.03127035830618885,-0.0075789473684210185
evaluation,BASE,2020-07-31,2020-08-03,True,0.00849256900212314,0.007306889352818313
evaluation,BASE,2020-08-05,2020-08-06,True,0.0018664454583161572,-0.003725936659076945
evaluation,BASE,2020-08-10,2020-08-11,True,0.010141559264736921,-0.01065830721003136
evaluation,BASE,2020-08-28,2020-08-31,True,0.02587106196536615,-0.014357937310414681
evaluation,BASE,2020-09-01,2020-09-02,True,0.008631319358816336,-0.0030494002846106483
evaluation,BASE,2020-09-11,2020-09-14,True,0.011879049676025932,0.0010622477161674748
