period,cost,cycles,positive_cycles,negative_cycles,net_profit,gross_price_profit,dividend_recognized,commission,slippage,held_closes,mean_held_closes,additional_buys,initial_target,last_decision_target
evaluation,BASE,258,73,185,-112548.91383999982,-64181.9999999999,6878.3,13580.81384,41664.39999999993,486,1.8837209302325582,0,1.0,0.0
evaluation,STRESS,258,61,197,-138924.0864,-55850.39999999981,5182.0,23352.886400000003,64902.80000000019,486,1.8837209302325582,0,1.0,0.0
earlier_diagnostic,BASE,167,66,101,-40515.77911999976,1967.3000000002503,2886.6,11384.57912,33985.100000000006,340,2.035928143712575,0,0.0,1.0
earlier_diagnostic,STRESS,167,60,107,-75894.06627999997,-337.8999999999942,2748.8999999999996,20221.66628,58083.39999999997,340,2.035928143712575,0,0.0,1.0
