period,cost,buy_trades,sell_trades,holding_closes,mean_exposure,unfilled_requests,zero_target_origins,full_target_origins,no_view_origins
evaluation,BASE,258,258,486,0.30202348944385465,0,1118,486,0
evaluation,STRESS,258,258,486,0.3019938869809026,0,1118,486,0
earlier_diagnostic,BASE,167,167,340,0.27820485800988654,0,878,341,0
earlier_diagnostic,STRESS,167,167,340,0.2782200641910345,0,878,341,0
