period,cost,control,terminal_nav_difference,price_difference,dividend_difference,commission_difference,slippage_difference,identity_error
evaluation,BASE,REARM_RIDGE,-195682.48954000016,-147842.39999999988,-2159.2999999999993,11203.089540000003,34477.700000000135,-1.382431946694851e-10
evaluation,BASE,PANIC_LEARNED_HALF,-172128.46512,-124585.59999999989,2582.2999999999993,12304.965120000003,37820.20000000001,-1.0913936421275139e-10
evaluation,BASE,BUY_HOLD,-165799.9780799999,-94044.79999999992,-16886.100000000002,13495.078080000003,41373.99999999991,-7.275957614183426e-11
evaluation,STRESS,REARM_RIDGE,-212754.73712000027,-138298.3999999999,-3691.5999999999985,18680.53712,52084.20000000015,-2.0372681319713593e-10
evaluation,STRESS,PANIC_LEARNED_HALF,-193697.31288000016,-115839.49999999993,928.4000000000005,20824.912880000003,57961.30000000016,-5.820766091346741e-11
evaluation,STRESS,BUY_HOLD,-191895.81488000014,-85713.19999999994,-18582.4,23181.414880000004,64418.80000000019,7.275957614183426e-12
earlier_diagnostic,BASE,REARM_RIDGE,-144078.67049999945,-103272.79999999999,947.5999999999997,10460.170500000002,31293.300000000036,5.711626727133989e-10
earlier_diagnostic,BASE,PANIC_LEARNED_HALF,-86448.53165999948,-45916.99999999997,1910.1,10658.131660000003,31783.50000000004,5.311449058353901e-10
earlier_diagnostic,BASE,BUY_HOLD,-82977.97335999948,-23793.700000000004,-14176.599999999997,11299.573360000002,33708.10000000001,5.384208634495735e-10
earlier_diagnostic,STRESS,REARM_RIDGE,-175217.62743999937,-104797.3,809.8999999999994,18386.92744,52843.299999999974,6.111804395914078e-10
earlier_diagnostic,STRESS,PANIC_LEARNED_HALF,-118947.78815999931,-48009.399999999994,1772.3999999999996,18776.78816,53933.99999999998,6.621121428906918e-10
earlier_diagnostic,STRESS,BUY_HOLD,-118049.65475999935,-26098.90000000003,-14314.299999999997,20051.65476,57584.79999999999,6.83940015733242e-10
